,Date,deaths,confirmed,recovered,active,new_confirmed,new_recovered,new_deaths,Unnamed: 0,EVT,JNJ,PFE,FMS,ABT,KMB,MDT,PHG,GE,BDX,CAH,SYK,SIEGY,DUK,NGG,NEE,EDF,CVX,XOM,PTR_x,PTR_y,RDS-A,TOT,BP,SNP_x,MT,PKX,DB,CMC,GS,WFC,CICHY,ACGBY,CRARY,C,DAX,SNP_y,NDAQ,TM,GM,TSLA,DTE,DRI,TEF,T,TMUS,VOD,VZ,SFTBY,AMOV,CHA,AAPL,AMZN,GOOGL,SAP,CSCO,IBM,INTC,EBAY,EA_x,EA_y,QCOM,TXN,SNE,PS3,PS4,Vita,bitrate,Weekly_average_change_views,Weekly_average_views,Users,In-Game,av_conc_viewers,av_conc_channels,time_watched,active_streamers
0,2017-01-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53200.0,228900.0,9400.0,,,,,,811003.0,24137.0,601088390.0,1942933.0
1,2017-01-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49300.0,221200.0,8500.0,,,,,,,,,
2,2017-01-03 00:00:00+00:00,,,,,,,,903.0,20.69,115.78,32.7,42.17,38.63,114.16,70.25,30.08,31.67,161.95,71.99,119.81,120.66,77.65,58.11,119.54,14.71,118.38,90.94,75.13,75.13,55.24,51.06,38.1,72.16,7.39,53.01,18.44,22.19,242.7,55.67,14.73,10.18,6.275,60.68,25.1,72.16,67.47,118.17,34.98,214.86,98.74,73.2,9.19,42.69,58.1,24.84,53.96,33.0,12.31,46.81,115.8,757.92,800.62,86.25,30.37,167.0,36.61,29.83,79.52,79.52,65.86,73.53,28.1,47500.0,188000.0,7700.0,,,,,,,,,
3,2017-01-04 00:00:00+00:00,,,,,,,,902.0,20.79,115.5,33.13,42.19,39.06,114.91,70.9,29.74,31.75,165.46,74.5,119.64,120.335,77.65,57.38,119.23,14.92,118.41,91.12,74.28,74.28,55.75,51.13,38.045,71.58,7.39,52.94,19.02,22.24,241.44,56.16,15.05,10.24,6.372000000000001,60.69,25.01,71.58,66.65,120.27,35.6,214.75,98.34,72.15,9.38,42.94,58.36,25.24,54.55,33.98,12.6841,47.13,115.85,758.39,809.89,85.66,30.235,167.77,36.71,29.91,79.39,79.39,65.67,73.65,28.48,46500.0,167800.0,7800.0,,,,,,,,,
4,2017-01-05 00:00:00+00:00,,,,,,,,901.0,20.68,116.0,33.37,42.41,39.24,115.25,71.48,29.92,31.57,163.81,75.33,120.1,120.39,77.9,57.68,119.78,15.08,118.0,90.19,76.76,76.76,55.95,51.28,38.14,73.57,7.78,52.6,19.46,22.83,242.72,55.49,15.01,10.61,6.48,60.97,25.22,73.57,67.49,121.19,37.01,226.42,98.62,72.96,9.55,42.85,58.77,25.88,54.78,35.125,12.67,48.24,115.92,761.55,807.5,86.37,30.1,169.25,36.45,29.73,79.98,79.98,65.21,73.29,28.54,44700.0,155900.0,6700.0,,,,,,,,,
5,2017-01-06 00:00:00+00:00,,,,,,,,900.0,20.74,116.67,33.66,42.64,39.7,116.01,71.14,30.03,31.58,165.29,74.62,117.5,121.736,77.5,57.94,118.41,15.22,117.45,88.79,77.85,77.85,55.61,51.27,38.16,74.86,7.72,52.29,19.15,22.84,242.29,55.26,14.85,10.33,6.448,60.68,25.52,74.86,67.62,119.84,36.41,226.93,98.35,72.09,9.61,41.98,57.87,26.19,53.67,35.85,12.46,48.19,116.78,782.36,814.99,87.82,30.17,168.69,36.59,29.97,79.11,79.11,65.48,72.88,28.57,47400.0,207800.0,7000.0,,,,,,,,,
6,2017-01-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56000.0,231000.0,7700.0,,,,,,,,,
7,2017-01-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55200.0,197500.0,8200.0,,,,,,,,,
8,2017-01-09 00:00:00+00:00,,,,,,,,899.0,21.17,116.35,33.43,39.57,40.79,115.52,73.3,30.08,31.64,168.23,75.03,117.88,122.38,77.61,58.06,119.12,15.28,116.29,88.22,78.78,78.78,55.08,50.77,37.58,75.14,7.58,50.79,18.95,21.65,243.25,54.68,14.74,10.42,6.34,60.15,25.31,75.14,68.37,119.48,36.12,228.97,98.5,71.49,9.62,41.29,56.57,25.68,53.22,36.25,12.51,47.87,117.95,798.0,826.37,88.97,30.22,169.47,36.48,31.0,79.19,79.19,65.53,74.51,28.74,41200.0,136900.0,6300.0,,,,,,,,,
9,2017-01-10 00:00:00+00:00,,,,,,,,898.0,21.18,116.03,33.59,40.51,40.81,114.5,74.27,30.39,31.46,168.56,74.58,119.56,124.74,76.49,57.12,118.13,15.4,115.56,87.17,79.22,79.22,54.66,50.98,37.25,75.72,7.91,52.36,18.6,20.85,240.87,54.35,15.19,10.42,6.38,60.2,25.59,75.72,67.62,119.09,36.19,232.0,97.93,71.66,9.65,40.66,55.72,26.14,52.69,36.085,12.5506,47.87,118.77,796.6,827.07,89.03,30.19,167.98,36.55,30.67,78.49,78.49,65.95,74.62,29.4,36700.0,122800.0,4900.0,,,,,,,,,
10,2017-01-11 00:00:00+00:00,,,,,,,,897.0,21.15,116.08,33.37,39.97,41.05,114.11,75.12,30.52,31.24,170.51,75.15,123.49,122.26,76.28,56.65,118.24,15.27,115.15,85.9,79.72,79.72,54.81,50.75,37.2,75.54,8.13,55.71,18.77,20.57,242.77,54.6,15.15,10.33,6.27,59.66,25.22,75.54,67.19,119.09,37.54,229.07,97.43,72.04,9.57,40.38,58.54,26.16,52.62,36.79,12.5,48.19,118.74,793.66,826.62,87.83,30.33,166.05,36.51,30.3,78.8,78.8,65.75,74.64,30.19,35800.0,118600.0,4200.0,,,,,,,,,
11,2017-01-12 00:00:00+00:00,,,,,,,,896.0,21.17,114.27,32.53,40.03,40.79,114.26,74.06,30.55,31.45,172.87,73.4,122.86,123.18,76.97,58.47,119.59,15.03,116.5,87.27,79.81,79.81,55.99,51.93,37.99,76.17,8.09,56.37,19.02,20.54,245.06,54.65,15.3,10.33,6.422999999999999,59.53,25.64,76.17,67.44,119.64,38.0,229.06,98.41,72.87,9.67,40.57,57.4,26.4,52.43,36.65,12.97,48.19,118.895,800.31,828.38,88.72,30.15,167.77,36.83,30.8,78.85,78.85,65.35,75.0,30.79,34200.0,112200.0,5400.0,,,,,,,,,
12,2017-01-13 00:00:00+00:00,,,,,,,,895.0,21.15,114.94,32.67,40.51,40.75,114.19,75.0,30.68,31.36,173.4,74.48,123.22,123.514,77.34,58.29,119.3,14.84,115.86,86.27,80.31,80.31,55.57,52.03,37.82,78.16,7.96,56.44,19.22,20.29,245.43,55.11,14.85,10.27,6.6,59.45,25.57,78.16,67.33,119.82,37.55,230.0,98.32,73.68,9.76,40.92,57.25,26.47,52.72,36.54,11.85,48.11,119.11,814.32,831.0,89.28,30.1,167.97,36.71,30.21,79.14,79.14,66.25,74.83,30.88,41200.0,132500.0,5500.0,,,,,,,,,
13,2017-01-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52700.0,183300.0,6800.0,,,,,,,,,
14,2017-01-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52300.0,168800.0,7100.0,,,,,,,,,
15,2017-01-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42500.0,126700.0,4800.0,,,,,,,,,
16,2017-01-17 00:00:00+00:00,,,,,,,,894.0,21.12,113.94,32.35,40.79,40.67,114.88,75.06,30.28,31.17,172.53,74.61,122.12,124.616,77.47,59.17,119.4,15.14,116.4,86.58,80.88,80.88,55.59,51.77,37.58,79.46,8.06,57.03,19.03,20.43,242.94,54.8,15.15,10.48,6.65,59.01,25.74,79.46,67.36,118.85,37.34,236.7,98.55,73.14,9.65,41.0,57.25,25.95,52.55,35.975,12.35,47.89,118.34,815.7,830.0,89.51,30.0,166.69,36.67,30.33,80.0,80.0,66.71,74.67,31.0,36600.0,98800.0,4700.0,,,,,,,,,
17,2017-01-18 00:00:00+00:00,,,,,,,,893.0,21.21,114.94,32.09,40.76,41.05,115.84,76.27,30.13,31.21,173.92,75.65,122.93,123.9282,77.38,58.5,120.22,15.15,115.68,87.06,81.03,81.03,55.14,51.16,37.18,79.17,8.09,57.14,18.55,20.14,236.0,53.78,14.81,10.4,6.525,57.99,25.79,79.17,66.71,118.71,37.45,236.65,99.01,73.26,9.72,41.15,57.54,26.02,52.52,36.63,12.2527,48.21,120.0,809.5,829.8,88.9,30.12,167.45,36.89,30.29,80.51,80.51,64.67,74.73,30.81,34300.0,104800.0,4300.0,,,,,,,,,
18,2017-01-19 00:00:00+00:00,,,,,,,,892.0,21.18,114.68,32.06,40.2,40.64,116.4,75.3,30.19,31.25,173.3,75.6,122.0,123.86,77.27,57.85,119.37,15.15,115.89,85.97,80.34,80.34,54.54,51.06,37.01,78.65,8.21,58.05,18.97,20.53,234.07,54.24,15.08,10.33,6.52,57.53,25.65,78.65,67.06,119.56,37.63,247.25,98.35,72.92,9.63,40.89,58.52,25.81,52.55,35.77,12.07,47.9,119.4,810.0,829.0,88.8,30.01,166.96,36.51,30.26,80.4,80.4,64.97,74.22,30.5,33100.0,98700.0,4200.0,,,,,,,,,
