,Unnamed: 0,DE_Confirmed,DE_Deaths,DE_Recovered,DE_Active,TR_Confirmed,TR_Deaths,TR_Recovered,TR_Active,MX_Confirmed,MX_Deaths,MX_Recovered,MX_Active,KW_Confirmed,KW_Deaths,KW_Recovered,KW_Active,DK_Confirmed,DK_Deaths,DK_Recovered,DK_Active,SE_Confirmed,SE_Deaths,SE_Recovered,SE_Active,CH_Confirmed,CH_Deaths,CH_Recovered,CH_Active,CA_Confirmed,CA_Deaths,CA_Recovered,CA_Active,BD_Confirmed,BD_Deaths,BD_Recovered,BD_Active,IL_Confirmed,IL_Deaths,IL_Recovered,IL_Active,RS_Confirmed,RS_Deaths,RS_Recovered,RS_Active,ZA_Confirmed,ZA_Deaths,ZA_Recovered,ZA_Active,RU_Confirmed,RU_Deaths,RU_Recovered,RU_Active,IT_Confirmed,IT_Deaths,IT_Recovered,IT_Active,IR_Confirmed,IR_Deaths,IR_Recovered,IR_Active,GH_Confirmed,GH_Deaths,GH_Recovered,GH_Active,AT_Confirmed,AT_Deaths,AT_Recovered,AT_Active,FI_Confirmed,FI_Deaths,FI_Recovered,FI_Active,US_Confirmed,US_Deaths,US_Recovered,US_Active,SA_Confirmed,SA_Deaths,SA_Recovered,SA_Active,BY_Confirmed,BY_Deaths,BY_Recovered,BY_Active,SN_Confirmed,SN_Deaths,SN_Recovered,SN_Active,GB_Confirmed,GB_Deaths,GB_Recovered,GB_Active,CO_Confirmed,CO_Deaths,CO_Recovered,CO_Active,PE_Confirmed,PE_Deaths,PE_Recovered,PE_Active,PA_Confirmed,PA_Deaths,PA_Recovered,PA_Active,FR_Confirmed,FR_Deaths,FR_Recovered,FR_Active,NL_Confirmed,NL_Deaths,NL_Recovered,NL_Active,DO_Confirmed,DO_Deaths,DO_Recovered,DO_Active,BO_Confirmed,BO_Deaths,BO_Recovered,BO_Active,EG_Confirmed,EG_Deaths,EG_Recovered,EG_Active,AE_Confirmed,AE_Deaths,AE_Recovered,AE_Active,HT_Confirmed,HT_Deaths,HT_Recovered,HT_Active,CZ_Confirmed,CZ_Deaths,CZ_Recovered,CZ_Active,HN_Confirmed,HN_Deaths,HN_Recovered,HN_Active,NO_Confirmed,NO_Deaths,NO_Recovered,NO_Active,PT_Confirmed,PT_Deaths,PT_Recovered,PT_Active,BE_Confirmed,BE_Deaths,BE_Recovered,BE_Active,KZ_Confirmed,KZ_Deaths,KZ_Recovered,KZ_Active,EC_Confirmed,EC_Deaths,EC_Recovered,EC_Active,ES_Confirmed,ES_Deaths,ES_Recovered,ES_Active,BR_Confirmed,BR_Deaths,BR_Recovered,BR_Active,CL_Confirmed,CL_Deaths,CL_Recovered,CL_Active,CN_Confirmed,CN_Deaths,CN_Recovered,CN_Active,BH_Confirmed,BH_Deaths,BH_Recovered,BH_Active,PL_Confirmed,PL_Deaths,PL_Recovered,PL_Active,RO_Confirmed,RO_Deaths,RO_Recovered,RO_Active,SG_Confirmed,SG_Deaths,SG_Recovered,SG_Active,QA_Confirmed,QA_Deaths,QA_Recovered,QA_Active,OM_Confirmed,OM_Deaths,OM_Recovered,OM_Active,LU_Confirmed,LU_Deaths,LU_Recovered,LU_Active,AM_Confirmed,AM_Deaths,AM_Recovered,AM_Active,IE_Confirmed,IE_Deaths,IE_Recovered,IE_Active
0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0,0,3,1,0,0,1,1,0,0,1,1,0,0,1,2,0,0,2,2,0,0,2,2,2,0,0,3,0,0,3,2,0,0,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,2,0,0,2,1,0,0,1,1,0,0,1,1,0,0,1,2,0,0,2,1,0,0,1,1,0,0,1,2,0,0,2,1,0,0,1,4,0,0,4,2,0,0,2,3,0,0,3,2,0,0,2,1,0,0,1,2,0,0,2,1,0,0,1,4,0,0,4,6,0,0,6,1,0,0,1,1,0,0,1,1,0,0,1,5,0,0,5,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,2,0,0,2,1,0,0,1,1,0,0,1,1,0,0,1
1,1,4,0,0,4,1,0,0,1,4,0,0,4,11,0,0,11,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0,0,3,1,0,0,1,1,0,0,1,1,0,0,1,2,0,0,2,2,0,0,2,5,2,0,3,6,0,0,6,2,0,0,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,2,0,0,2,2,0,0,2,1,0,0,1,1,0,0,1,8,1,0,7,3,0,0,3,1,0,0,1,1,0,0,1,2,0,0,2,1,0,0,1,4,0,0,4,2,0,0,2,3,0,0,3,2,0,0,2,1,0,0,1,2,0,0,2,1,0,0,1,6,0,0,6,6,0,0,6,1,0,0,1,1,0,0,1,1,0,0,1,4,0,0,4,23,0,0,23,1,0,0,1,1,0,0,1,3,0,0,3,3,0,0,3,2,0,0,2,1,0,0,1,1,0,0,1,1,0,0,1
2,2,4,0,0,4,5,0,0,5,5,0,0,5,26,0,0,26,3,0,0,3,1,0,0,1,8,0,0,8,1,0,0,1,3,0,0,3,1,0,0,1,1,0,0,1,1,0,0,1,2,0,0,2,2,0,0,2,18,4,0,14,6,0,0,6,3,0,0,3,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,4,0,0,4,2,0,0,2,1,0,0,1,6,0,0,6,11,1,0,10,3,0,0,3,6,0,0,6,1,0,0,1,3,0,0,3,1,0,0,1,4,0,0,4,2,0,0,2,5,0,0,5,2,0,0,2,6,0,0,6,5,0,0,5,1,0,0,1,9,0,0,9,7,0,0,7,1,0,0,1,1,0,0,1,4,0,0,4,1,0,0,1,33,0,0,33,5,0,0,5,3,0,0,3,3,0,0,3,3,0,0,3,4,0,0,4,1,0,0,1,1,0,0,1,1,0,0,1
3,3,4,0,0,4,5,0,0,5,5,0,0,5,43,0,0,43,4,0,0,4,1,0,0,1,8,0,0,8,1,0,0,1,3,0,0,3,1,0,0,1,1,0,0,1,3,0,0,3,2,0,0,2,2,0,0,2,28,5,0,23,7,0,0,7,3,0,0,3,1,0,0,1,1,0,0,1,5,0,0,5,1,0,0,1,4,0,0,4,2,0,0,2,1,0,0,1,7,0,0,7,27,1,0,26,3,0,0,3,10,0,0,10,1,0,0,1,10,0,0,10,1,0,0,1,4,0,0,4,6,0,0,6,8,0,0,8,2,0,0,2,15,0,0,15,8,0,0,8,1,0,0,1,10,0,0,10,10,0,0,10,1,0,0,1,2,0,0,2,4,0,0,4,10,0,0,10,33,0,0,33,5,0,0,5,3,0,0,3,4,0,0,4,7,0,0,7,4,0,0,4,1,0,0,1,1,0,0,1,2,0,0,2
4,4,5,0,0,5,6,0,0,6,5,0,1,4,45,0,0,45,4,0,0,4,1,0,0,1,18,0,0,18,1,0,0,1,3,0,0,3,1,0,0,1,5,0,0,5,3,0,0,3,2,0,0,2,2,0,0,2,43,8,0,35,7,0,0,7,9,0,0,9,1,0,0,1,2,0,0,2,5,0,0,5,1,0,0,1,4,0,0,4,2,0,0,2,3,0,0,3,11,0,0,11,36,1,0,35,4,0,0,4,18,0,0,18,1,0,0,1,10,0,0,10,1,0,0,1,5,0,0,5,7,0,0,7,12,0,0,12,3,0,0,3,19,0,0,19,13,0,0,13,1,0,0,1,33,0,0,33,13,0,0,13,1,0,0,1,2,0,0,2,4,0,0,4,2,0,0,2,36,0,0,36,11,0,0,11,3,0,0,3,5,0,0,5,8,0,0,8,4,0,0,4,1,0,0,1,1,0,0,1,6,0,0,6
5,5,8,0,0,8,18,0,0,18,5,0,1,4,45,0,0,45,6,0,0,6,1,0,0,1,27,0,0,27,1,0,0,1,3,0,0,3,2,0,0,2,12,0,0,12,7,0,0,7,2,0,0,2,2,0,0,2,61,12,0,49,11,0,0,11,14,0,0,14,1,0,0,1,1,0,0,1,5,0,0,5,6,0,0,6,4,0,0,4,2,0,0,2,9,0,0,9,11,0,0,11,43,1,0,42,5,0,0,5,24,0,0,24,2,0,0,2,11,0,0,11,1,0,0,1,5,0,0,5,8,0,0,8,18,0,0,18,6,0,0,6,25,0,0,25,20,0,0,20,1,0,0,1,35,0,0,35,13,0,0,13,1,0,0,1,2,0,0,2,8,0,0,8,1,0,0,1,41,0,0,41,16,0,0,16,3,0,0,3,7,0,0,7,8,0,0,8,6,0,1,5,1,0,0,1,1,0,0,1,6,0,0,6
6,6,10,0,0,10,47,1,0,46,5,0,1,4,45,0,0,45,10,0,0,10,1,0,0,1,42,0,0,42,1,0,0,1,3,0,0,3,3,0,1,2,19,0,0,19,13,0,0,13,2,0,0,2,2,0,0,2,95,16,0,79,16,0,0,16,18,0,0,18,1,0,0,1,1,0,0,1,11,0,0,11,6,0,0,6,4,0,1,3,2,0,0,2,9,0,0,9,15,0,0,15,55,1,0,54,5,0,0,5,38,0,0,38,2,0,0,2,11,0,0,11,1,0,0,1,5,0,0,5,8,0,0,8,19,0,0,19,8,0,0,8,32,0,0,32,30,0,0,30,1,0,0,1,44,0,0,44,13,0,0,13,1,0,0,1,2,0,0,2,8,0,0,8,1,0,0,1,47,0,0,47,22,0,0,22,3,0,0,3,7,0,0,7,8,0,0,8,6,0,1,5,2,0,0,2,1,0,0,1,18,0,0,18
7,7,12,0,0,12,98,1,0,97,6,0,1,5,56,0,0,56,1,0,0,1,1,0,0,1,56,0,2,54,1,0,0,1,5,0,0,5,4,0,1,3,35,0,0,35,17,0,0,17,2,0,0,2,3,0,0,3,139,19,49,71,19,1,0,18,21,0,0,21,1,0,0,1,2,0,0,2,15,0,0,15,6,0,0,6,4,0,1,3,3,0,0,3,13,0,0,13,28,0,0,28,69,1,0,68,5,0,0,5,82,0,0,82,5,0,0,5,12,0,0,12,1,0,0,1,5,0,0,5,8,0,0,8,31,0,0,31,9,0,0,9,56,0,0,56,30,0,0,30,1,0,0,1,49,3,0,46,14,0,0,14,1,0,0,1,4,0,0,4,13,0,0,13,2,0,0,2,49,0,0,49,31,0,0,31,4,0,1,3,10,0,0,10,8,0,0,8,6,0,1,5,2,0,0,2,1,0,0,1,18,0,0,18
8,8,12,0,0,12,192,3,0,189,6,0,1,5,56,0,0,56,10,0,0,10,1,0,0,1,90,0,3,87,1,0,0,1,8,0,2,6,7,0,1,6,46,0,0,46,24,0,0,24,2,0,0,2,3,0,0,3,245,26,49,170,23,1,0,22,29,0,0,29,1,0,0,1,1,0,0,1,20,0,1,19,6,0,0,6,4,0,1,3,3,0,0,3,22,0,0,22,38,0,0,38,86,1,0,85,6,0,0,6,128,1,0,127,5,0,0,5,12,0,0,12,1,0,0,1,5,0,0,5,8,0,0,8,31,0,0,31,12,0,0,12,87,0,0,87,41,0,0,41,1,0,0,1,53,0,0,53,15,0,0,15,2,0,0,2,4,0,0,4,23,0,0,23,9,0,0,9,49,0,0,49,49,1,0,48,6,0,1,5,13,0,0,13,15,0,0,15,12,0,2,10,3,0,0,3,1,0,0,1,19,0,0,19
9,9,12,0,0,12,359,4,0,355,7,0,1,6,56,0,0,56,1,0,0,1,1,0,0,1,114,1,3,110,3,0,0,3,10,0,3,7,10,0,1,9,48,0,0,48,38,0,0,38,2,0,0,2,3,0,0,3,388,34,73,281,27,2,0,25,41,0,0,41,1,0,0,1,1,0,0,1,21,0,1,20,6,0,0,6,4,0,1,3,3,0,0,3,34,0,0,34,43,0,0,43,109,1,0,108,6,0,0,6,188,1,0,187,5,0,0,5,15,0,0,15,1,0,0,1,5,0,0,5,15,0,1,14,41,0,0,41,24,0,0,24,108,0,0,108,59,0,0,59,1,0,0,1,60,0,0,60,15,0,0,15,2,0,0,2,13,0,0,13,23,0,0,23,1,0,0,1,52,0,0,52,68,2,0,66,9,0,1,8,16,0,0,16,18,0,0,18,15,0,2,13,3,0,0,3,1,0,0,1,21,0,0,21
