,AM_Confirmed,AM_Deaths,AM_Recovered,AM_Active,Date
0,1013,13,197,803,2020-04-13 00:00:00+00:00
1,1039,14,211,814,2020-04-14 00:00:00+00:00
2,1067,16,265,786,2020-04-15 00:00:00+00:00
3,1159,18,358,783,2020-04-16 00:00:00+00:00
4,1159,18,358,783,2020-04-17 00:00:00+00:00
5,1201,19,402,780,2020-04-18 00:00:00+00:00
6,1248,20,523,705,2020-04-19 00:00:00+00:00
7,1291,20,545,726,2020-04-20 00:00:00+00:00
8,1339,22,580,737,2020-04-21 00:00:00+00:00
9,1401,24,609,768,2020-04-22 00:00:00+00:00
10,1473,24,633,816,2020-04-23 00:00:00+00:00
11,1523,24,659,840,2020-04-24 00:00:00+00:00
12,1596,27,728,841,2020-04-25 00:00:00+00:00
13,1677,28,803,846,2020-04-26 00:00:00+00:00
14,1746,28,833,885,2020-04-27 00:00:00+00:00
15,1808,29,848,931,2020-04-28 00:00:00+00:00
16,2386,35,1035,1316,2020-05-04 00:00:00+00:00
17,2507,39,1071,1397,2020-05-05 00:00:00+00:00
18,2619,40,1111,1468,2020-05-06 00:00:00+00:00
