,AT_Confirmed,AT_Deaths,AT_Recovered,AT_Active,Date
0,2,0,0,2,2020-02-25 00:00:00+00:00
1,2,0,0,2,2020-02-26 00:00:00+00:00
2,3,0,0,3,2020-02-27 00:00:00+00:00
3,3,0,0,3,2020-02-28 00:00:00+00:00
4,9,0,0,9,2020-02-29 00:00:00+00:00
5,14,0,0,14,2020-03-01 00:00:00+00:00
6,18,0,0,18,2020-03-02 00:00:00+00:00
7,21,0,0,21,2020-03-03 00:00:00+00:00
8,29,0,0,29,2020-03-04 00:00:00+00:00
9,41,0,0,41,2020-03-05 00:00:00+00:00
10,55,0,0,55,2020-03-06 00:00:00+00:00
11,79,0,0,79,2020-03-07 00:00:00+00:00
12,104,0,0,104,2020-03-08 00:00:00+00:00
13,131,0,2,129,2020-03-09 00:00:00+00:00
14,182,0,4,178,2020-03-10 00:00:00+00:00
15,246,0,4,242,2020-03-11 00:00:00+00:00
16,302,1,4,297,2020-03-12 00:00:00+00:00
17,504,1,6,497,2020-03-13 00:00:00+00:00
18,655,1,6,648,2020-03-14 00:00:00+00:00
19,860,1,6,853,2020-03-15 00:00:00+00:00
20,1018,3,6,1009,2020-03-16 00:00:00+00:00
21,1332,3,1,1328,2020-03-17 00:00:00+00:00
22,1646,4,9,1633,2020-03-18 00:00:00+00:00
23,2013,6,9,1998,2020-03-19 00:00:00+00:00
24,2388,6,9,2373,2020-03-20 00:00:00+00:00
25,2814,8,9,2797,2020-03-21 00:00:00+00:00
26,3582,16,9,3557,2020-03-22 00:00:00+00:00
27,4474,21,9,4444,2020-03-23 00:00:00+00:00
28,5283,28,9,5246,2020-03-24 00:00:00+00:00
29,5588,30,9,5549,2020-03-25 00:00:00+00:00
30,6909,49,112,6748,2020-03-26 00:00:00+00:00
31,7657,58,225,7374,2020-03-27 00:00:00+00:00
32,8271,68,225,7978,2020-03-28 00:00:00+00:00
33,8788,86,479,8223,2020-03-29 00:00:00+00:00
34,9618,108,636,8874,2020-03-30 00:00:00+00:00
35,10180,128,1095,8957,2020-03-31 00:00:00+00:00
36,10711,146,1436,9129,2020-04-01 00:00:00+00:00
37,11129,158,1749,9222,2020-04-02 00:00:00+00:00
38,11524,168,2022,9334,2020-04-03 00:00:00+00:00
39,11781,186,2507,9088,2020-04-04 00:00:00+00:00
40,12051,204,2998,8849,2020-04-05 00:00:00+00:00
41,12297,220,3463,8614,2020-04-06 00:00:00+00:00
42,12639,243,4046,8350,2020-04-07 00:00:00+00:00
43,12942,273,4512,8157,2020-04-08 00:00:00+00:00
44,13244,295,5240,7709,2020-04-09 00:00:00+00:00
45,13555,319,6064,7172,2020-04-10 00:00:00+00:00
46,13806,337,6604,6865,2020-04-11 00:00:00+00:00
47,13945,350,6987,6608,2020-04-12 00:00:00+00:00
48,14041,368,7343,6330,2020-04-13 00:00:00+00:00
49,14226,384,7633,6209,2020-04-14 00:00:00+00:00
50,14336,393,8098,5845,2020-04-15 00:00:00+00:00
51,14476,410,8986,5080,2020-04-16 00:00:00+00:00
52,14595,431,9704,4460,2020-04-17 00:00:00+00:00
