,BH_Confirmed,BH_Deaths,BH_Recovered,BH_Active,Date
0,1,0,0,1,2020-02-24 00:00:00+00:00
1,23,0,0,23,2020-02-25 00:00:00+00:00
2,33,0,0,33,2020-02-26 00:00:00+00:00
3,33,0,0,33,2020-02-27 00:00:00+00:00
4,36,0,0,36,2020-02-28 00:00:00+00:00
5,41,0,0,41,2020-02-29 00:00:00+00:00
6,47,0,0,47,2020-03-01 00:00:00+00:00
7,49,0,0,49,2020-03-02 00:00:00+00:00
8,49,0,0,49,2020-03-03 00:00:00+00:00
9,52,0,0,52,2020-03-04 00:00:00+00:00
10,55,0,0,55,2020-03-05 00:00:00+00:00
11,60,0,4,56,2020-03-06 00:00:00+00:00
12,85,0,4,81,2020-03-07 00:00:00+00:00
13,85,0,4,81,2020-03-08 00:00:00+00:00
14,95,0,14,81,2020-03-09 00:00:00+00:00
15,110,0,22,88,2020-03-10 00:00:00+00:00
16,195,0,35,160,2020-03-11 00:00:00+00:00
17,195,0,35,160,2020-03-12 00:00:00+00:00
18,195,0,44,151,2020-03-13 00:00:00+00:00
19,210,0,44,166,2020-03-14 00:00:00+00:00
20,214,0,60,154,2020-03-15 00:00:00+00:00
21,214,1,77,136,2020-03-16 00:00:00+00:00
22,228,1,81,146,2020-03-17 00:00:00+00:00
23,256,1,88,167,2020-03-18 00:00:00+00:00
24,278,1,100,177,2020-03-19 00:00:00+00:00
25,285,1,100,184,2020-03-20 00:00:00+00:00
26,305,1,125,179,2020-03-21 00:00:00+00:00
27,334,2,149,183,2020-03-22 00:00:00+00:00
28,377,2,149,226,2020-03-23 00:00:00+00:00
29,392,3,177,212,2020-03-24 00:00:00+00:00
30,419,4,177,238,2020-03-25 00:00:00+00:00
31,458,4,204,250,2020-03-26 00:00:00+00:00
32,466,4,227,235,2020-03-27 00:00:00+00:00
33,476,4,265,207,2020-03-28 00:00:00+00:00
34,499,4,272,223,2020-03-29 00:00:00+00:00
35,515,4,279,232,2020-03-30 00:00:00+00:00
36,567,4,295,268,2020-03-31 00:00:00+00:00
37,569,4,337,228,2020-04-01 00:00:00+00:00
38,643,4,381,258,2020-04-02 00:00:00+00:00
39,672,4,382,286,2020-04-03 00:00:00+00:00
40,688,4,423,261,2020-04-04 00:00:00+00:00
41,700,4,431,265,2020-04-05 00:00:00+00:00
42,756,4,458,294,2020-04-06 00:00:00+00:00
43,811,5,458,348,2020-04-07 00:00:00+00:00
44,823,5,477,341,2020-04-08 00:00:00+00:00
45,887,5,519,363,2020-04-09 00:00:00+00:00
46,925,6,539,380,2020-04-10 00:00:00+00:00
47,1040,6,555,479,2020-04-11 00:00:00+00:00
48,1136,6,558,572,2020-04-12 00:00:00+00:00
49,1361,6,591,764,2020-04-13 00:00:00+00:00
50,1528,7,645,876,2020-04-14 00:00:00+00:00
51,1671,7,663,1001,2020-04-15 00:00:00+00:00
52,1700,7,703,990,2020-04-16 00:00:00+00:00
53,1740,7,725,1008,2020-04-17 00:00:00+00:00
54,1773,7,755,1011,2020-04-18 00:00:00+00:00
55,1881,7,759,1115,2020-04-19 00:00:00+00:00
56,1907,7,769,1131,2020-04-20 00:00:00+00:00
57,1973,7,784,1182,2020-04-21 00:00:00+00:00
58,2027,7,1026,994,2020-04-22 00:00:00+00:00
59,2217,8,1082,1127,2020-04-23 00:00:00+00:00
60,2518,8,1113,1397,2020-04-24 00:00:00+00:00
61,2588,8,1160,1420,2020-04-25 00:00:00+00:00
62,2647,8,1189,1450,2020-04-26 00:00:00+00:00
63,2723,8,1218,1497,2020-04-27 00:00:00+00:00
64,2811,8,1310,1493,2020-04-28 00:00:00+00:00
65,2921,8,1455,1458,2020-04-29 00:00:00+00:00
66,3040,8,1500,1532,2020-04-30 00:00:00+00:00
67,3170,8,1555,1607,2020-05-01 00:00:00+00:00
68,3284,8,1568,1708,2020-05-02 00:00:00+00:00
69,3383,8,1718,1657,2020-05-03 00:00:00+00:00
70,3533,8,1744,1781,2020-05-04 00:00:00+00:00
71,3720,8,1762,1950,2020-05-05 00:00:00+00:00
72,3934,8,1860,2066,2020-05-06 00:00:00+00:00
73,4199,8,2000,2191,2020-05-07 00:00:00+00:00
74,4444,8,2028,2408,2020-05-08 00:00:00+00:00
75,4774,8,2055,2711,2020-05-09 00:00:00+00:00
76,4941,8,2070,2863,2020-05-10 00:00:00+00:00
77,5236,8,2152,3076,2020-05-11 00:00:00+00:00
78,5531,9,2192,3330,2020-05-12 00:00:00+00:00
79,5816,10,2205,3601,2020-05-13 00:00:00+00:00
80,6198,10,2353,3835,2020-05-14 00:00:00+00:00
81,6583,12,2640,3931,2020-05-15 00:00:00+00:00
82,6747,12,2762,3973,2020-05-16 00:00:00+00:00
83,6956,12,2910,4034,2020-05-17 00:00:00+00:00
84,7184,12,2931,4241,2020-05-18 00:00:00+00:00
85,7532,12,2952,4568,2020-05-19 00:00:00+00:00
86,7888,12,3568,4308,2020-05-20 00:00:00+00:00
87,8174,12,3873,4289,2020-05-21 00:00:00+00:00
88,8414,12,4096,4306,2020-05-22 00:00:00+00:00
89,8802,13,4465,4324,2020-05-23 00:00:00+00:00
90,9138,14,4587,4537,2020-05-24 00:00:00+00:00
91,9171,14,4753,4404,2020-05-25 00:00:00+00:00
92,9366,14,4938,4414,2020-05-26 00:00:00+00:00
93,9692,15,5152,4525,2020-05-27 00:00:00+00:00
94,10052,15,5419,4618,2020-05-28 00:00:00+00:00
95,10449,15,5700,4734,2020-05-29 00:00:00+00:00
96,10793,17,5826,4950,2020-05-30 00:00:00+00:00
97,11398,19,6673,4706,2020-05-31 00:00:00+00:00
98,11871,19,7070,4782,2020-06-01 00:00:00+00:00
99,12311,19,7407,4885,2020-06-02 00:00:00+00:00
100,12815,20,7410,5385,2020-06-03 00:00:00+00:00
101,13296,21,7728,5547,2020-06-04 00:00:00+00:00
102,13835,22,8585,5228,2020-06-05 00:00:00+00:00
103,14383,24,9056,5303,2020-06-06 00:00:00+00:00
104,14763,26,9468,5269,2020-06-07 00:00:00+00:00
105,15417,27,10326,5064,2020-06-08 00:00:00+00:00
106,15731,29,10606,5096,2020-06-09 00:00:00+00:00
107,16200,31,11109,5060,2020-06-10 00:00:00+00:00
108,16667,34,11487,5146,2020-06-11 00:00:00+00:00
109,17269,36,11903,5330,2020-06-12 00:00:00+00:00
110,17713,37,12191,5485,2020-06-13 00:00:00+00:00
111,18227,42,12818,5367,2020-06-14 00:00:00+00:00
112,19013,46,13267,5700,2020-06-15 00:00:00+00:00
113,19553,47,13866,5640,2020-06-16 00:00:00+00:00
114,19961,49,14185,5727,2020-06-17 00:00:00+00:00
115,20430,55,14696,5679,2020-06-18 00:00:00+00:00
116,20916,57,15287,5572,2020-06-19 00:00:00+00:00
117,21331,60,15790,5481,2020-06-20 00:00:00+00:00
118,21764,63,16419,5282,2020-06-21 00:00:00+00:00
119,22407,65,16862,5480,2020-06-22 00:00:00+00:00
120,23062,67,17450,5545,2020-06-23 00:00:00+00:00
