,BD_Confirmed,BD_Deaths,BD_Recovered,BD_Active,Date
0,3,0,0,3,2020-03-08 00:00:00+00:00
1,3,0,0,3,2020-03-09 00:00:00+00:00
2,3,0,0,3,2020-03-10 00:00:00+00:00
3,3,0,0,3,2020-03-11 00:00:00+00:00
4,3,0,0,3,2020-03-12 00:00:00+00:00
5,3,0,0,3,2020-03-13 00:00:00+00:00
6,3,0,0,3,2020-03-14 00:00:00+00:00
7,5,0,0,5,2020-03-15 00:00:00+00:00
8,8,0,2,6,2020-03-16 00:00:00+00:00
9,10,0,3,7,2020-03-17 00:00:00+00:00
10,14,1,3,10,2020-03-18 00:00:00+00:00
11,17,1,3,13,2020-03-19 00:00:00+00:00
12,20,1,3,16,2020-03-20 00:00:00+00:00
13,25,2,3,20,2020-03-21 00:00:00+00:00
14,27,2,3,22,2020-03-22 00:00:00+00:00
15,33,3,3,27,2020-03-23 00:00:00+00:00
16,39,4,5,30,2020-03-24 00:00:00+00:00
17,39,5,7,27,2020-03-25 00:00:00+00:00
18,44,5,11,28,2020-03-26 00:00:00+00:00
19,48,5,11,32,2020-03-27 00:00:00+00:00
20,48,5,15,28,2020-03-28 00:00:00+00:00
21,48,5,15,28,2020-03-29 00:00:00+00:00
22,49,5,19,25,2020-03-30 00:00:00+00:00
23,51,5,25,21,2020-03-31 00:00:00+00:00
24,54,6,25,23,2020-04-01 00:00:00+00:00
25,56,6,25,25,2020-04-02 00:00:00+00:00
26,61,6,26,29,2020-04-03 00:00:00+00:00
27,70,8,30,32,2020-04-04 00:00:00+00:00
28,88,9,33,46,2020-04-05 00:00:00+00:00
29,123,12,33,78,2020-04-06 00:00:00+00:00
30,164,17,33,114,2020-04-07 00:00:00+00:00
31,218,20,33,165,2020-04-08 00:00:00+00:00
32,330,21,33,276,2020-04-09 00:00:00+00:00
33,424,27,33,364,2020-04-10 00:00:00+00:00
34,482,30,36,416,2020-04-11 00:00:00+00:00
35,621,34,39,548,2020-04-12 00:00:00+00:00
36,803,39,42,722,2020-04-13 00:00:00+00:00
37,1012,46,42,924,2020-04-14 00:00:00+00:00
38,1231,50,49,1132,2020-04-15 00:00:00+00:00
39,1572,60,49,1463,2020-04-16 00:00:00+00:00
40,1838,75,58,1705,2020-04-17 00:00:00+00:00
41,2144,84,66,1994,2020-04-18 00:00:00+00:00
42,2456,91,75,2290,2020-04-19 00:00:00+00:00
43,2948,101,85,2762,2020-04-20 00:00:00+00:00
44,3382,110,87,3185,2020-04-21 00:00:00+00:00
45,3772,120,92,3560,2020-04-22 00:00:00+00:00
46,4186,127,108,3951,2020-04-23 00:00:00+00:00
47,4689,131,112,4446,2020-04-24 00:00:00+00:00
48,4998,140,113,4745,2020-04-25 00:00:00+00:00
49,5416,145,122,5149,2020-04-26 00:00:00+00:00
50,5913,152,131,5630,2020-04-27 00:00:00+00:00
51,6462,155,139,6168,2020-04-28 00:00:00+00:00
52,7103,163,150,6790,2020-04-29 00:00:00+00:00
53,7667,168,160,7339,2020-04-30 00:00:00+00:00
54,8238,170,174,7894,2020-05-01 00:00:00+00:00
55,8790,175,177,8438,2020-05-02 00:00:00+00:00
56,9455,177,1063,8215,2020-05-03 00:00:00+00:00
57,10143,182,1209,8752,2020-05-04 00:00:00+00:00
