,BY_Confirmed,BY_Deaths,BY_Recovered,BY_Active,Date
0,1,0,0,1,2020-02-28 00:00:00+00:00
1,1,0,0,1,2020-02-29 00:00:00+00:00
2,1,0,0,1,2020-03-01 00:00:00+00:00
3,1,0,0,1,2020-03-02 00:00:00+00:00
4,1,0,0,1,2020-03-03 00:00:00+00:00
5,6,0,0,6,2020-03-04 00:00:00+00:00
6,6,0,0,6,2020-03-05 00:00:00+00:00
7,6,0,0,6,2020-03-06 00:00:00+00:00
8,6,0,0,6,2020-03-07 00:00:00+00:00
9,6,0,0,6,2020-03-08 00:00:00+00:00
10,6,0,1,5,2020-03-09 00:00:00+00:00
11,9,0,3,6,2020-03-10 00:00:00+00:00
12,9,0,3,6,2020-03-11 00:00:00+00:00
13,12,0,3,9,2020-03-12 00:00:00+00:00
14,27,0,3,24,2020-03-13 00:00:00+00:00
15,27,0,3,24,2020-03-14 00:00:00+00:00
16,27,0,3,24,2020-03-15 00:00:00+00:00
17,36,0,3,33,2020-03-16 00:00:00+00:00
18,36,0,3,33,2020-03-17 00:00:00+00:00
19,51,0,5,46,2020-03-18 00:00:00+00:00
20,51,0,5,46,2020-03-19 00:00:00+00:00
21,69,0,5,64,2020-03-20 00:00:00+00:00
22,76,0,15,61,2020-03-21 00:00:00+00:00
23,76,0,15,61,2020-03-22 00:00:00+00:00
24,81,0,15,66,2020-03-23 00:00:00+00:00
25,81,0,22,59,2020-03-24 00:00:00+00:00
26,86,0,29,57,2020-03-25 00:00:00+00:00
27,86,0,29,57,2020-03-26 00:00:00+00:00
28,94,0,32,62,2020-03-27 00:00:00+00:00
29,94,0,32,62,2020-03-28 00:00:00+00:00
30,94,0,32,62,2020-03-29 00:00:00+00:00
31,152,0,32,120,2020-03-30 00:00:00+00:00
32,152,1,47,104,2020-03-31 00:00:00+00:00
33,163,2,53,108,2020-04-01 00:00:00+00:00
34,304,4,53,247,2020-04-02 00:00:00+00:00
35,351,4,53,294,2020-04-03 00:00:00+00:00
36,440,5,53,382,2020-04-04 00:00:00+00:00
37,562,8,52,502,2020-04-05 00:00:00+00:00
38,700,13,53,634,2020-04-06 00:00:00+00:00
39,861,13,54,794,2020-04-07 00:00:00+00:00
40,1066,13,77,976,2020-04-08 00:00:00+00:00
41,1486,16,139,1331,2020-04-09 00:00:00+00:00
42,1981,19,169,1793,2020-04-10 00:00:00+00:00
43,2226,23,172,2031,2020-04-11 00:00:00+00:00
44,2578,26,203,2349,2020-04-12 00:00:00+00:00
45,2919,29,203,2687,2020-04-13 00:00:00+00:00
46,3281,33,203,3045,2020-04-14 00:00:00+00:00
47,3728,36,203,3489,2020-04-15 00:00:00+00:00
48,4204,40,203,3961,2020-04-16 00:00:00+00:00
49,4779,42,342,4395,2020-04-17 00:00:00+00:00
50,4779,45,342,4392,2020-04-18 00:00:00+00:00
51,4779,47,494,4238,2020-04-19 00:00:00+00:00
52,6264,51,514,5699,2020-04-20 00:00:00+00:00
53,6723,55,577,6091,2020-04-21 00:00:00+00:00
54,7281,58,769,6454,2020-04-22 00:00:00+00:00
55,8022,60,938,7024,2020-04-23 00:00:00+00:00
56,8773,63,1120,7590,2020-04-24 00:00:00+00:00
57,9590,67,1573,7950,2020-04-25 00:00:00+00:00
58,10463,72,1695,8696,2020-04-26 00:00:00+00:00
59,11289,75,1740,9474,2020-04-27 00:00:00+00:00
60,12208,79,1993,10136,2020-04-28 00:00:00+00:00
61,13181,84,2072,11025,2020-04-29 00:00:00+00:00
62,14027,89,2386,11552,2020-04-30 00:00:00+00:00
63,14917,93,2918,11906,2020-05-01 00:00:00+00:00
64,15828,97,3117,12614,2020-05-02 00:00:00+00:00
65,16705,99,3196,13410,2020-05-03 00:00:00+00:00
66,17489,103,3259,14127,2020-05-04 00:00:00+00:00
67,18350,107,3771,14472,2020-05-05 00:00:00+00:00
68,19255,112,4388,14755,2020-05-06 00:00:00+00:00
69,20168,116,5067,14985,2020-05-07 00:00:00+00:00
70,21101,121,5484,15496,2020-05-08 00:00:00+00:00
71,22052,126,6050,15876,2020-05-09 00:00:00+00:00
72,22973,131,6406,16436,2020-05-10 00:00:00+00:00
73,23906,135,6531,17240,2020-05-11 00:00:00+00:00
74,24873,142,6974,17757,2020-05-12 00:00:00+00:00
75,25825,146,7711,17968,2020-05-13 00:00:00+00:00
76,26772,151,8168,18453,2020-05-14 00:00:00+00:00
77,27730,156,8807,18767,2020-05-15 00:00:00+00:00
78,28681,160,9498,19023,2020-05-16 00:00:00+00:00
79,29650,165,9932,19553,2020-05-17 00:00:00+00:00
80,30572,171,10130,20271,2020-05-18 00:00:00+00:00
81,31508,175,10620,20713,2020-05-19 00:00:00+00:00
82,32426,179,11415,20832,2020-05-20 00:00:00+00:00
83,33371,185,12057,21129,2020-05-21 00:00:00+00:00
84,34303,190,12833,21280,2020-05-22 00:00:00+00:00
85,35244,194,13528,21522,2020-05-23 00:00:00+00:00
86,36198,199,14155,21844,2020-05-24 00:00:00+00:00
87,37144,204,14449,22491,2020-05-25 00:00:00+00:00
88,38059,208,15086,22765,2020-05-26 00:00:00+00:00
89,38956,214,15923,22819,2020-05-27 00:00:00+00:00
90,39858,219,16660,22979,2020-05-28 00:00:00+00:00
91,40764,224,17390,23150,2020-05-29 00:00:00+00:00
92,41658,229,17964,23465,2020-05-30 00:00:00+00:00
93,42556,235,18514,23807,2020-05-31 00:00:00+00:00
94,43403,240,18776,24387,2020-06-01 00:00:00+00:00
95,44255,243,19195,24817,2020-06-02 00:00:00+00:00
96,45116,248,20171,24697,2020-06-03 00:00:00+00:00
97,45981,253,21162,24566,2020-06-04 00:00:00+00:00
98,46868,259,22066,24543,2020-06-05 00:00:00+00:00
99,47751,263,23015,24473,2020-06-06 00:00:00+00:00
100,48630,269,23647,24714,2020-06-07 00:00:00+00:00
101,49453,276,23880,25297,2020-06-08 00:00:00+00:00
102,50265,282,24506,25477,2020-06-09 00:00:00+00:00
103,51066,288,25667,25111,2020-06-10 00:00:00+00:00
104,51816,293,26643,24880,2020-06-11 00:00:00+00:00
105,52520,298,27760,24462,2020-06-12 00:00:00+00:00
106,53241,303,29111,23827,2020-06-13 00:00:00+00:00
107,53973,308,30103,23562,2020-06-14 00:00:00+00:00
108,54680,312,30420,23948,2020-06-15 00:00:00+00:00
109,55369,318,31273,23778,2020-06-16 00:00:00+00:00
110,56032,324,32735,22973,2020-06-17 00:00:00+00:00
111,56657,331,34023,22303,2020-06-18 00:00:00+00:00
112,57333,337,35275,21721,2020-06-19 00:00:00+00:00
113,57936,343,36749,20844,2020-06-20 00:00:00+00:00
114,58505,346,37666,20493,2020-06-21 00:00:00+00:00
115,59023,351,37923,20749,2020-06-22 00:00:00+00:00
116,59487,357,38688,20442,2020-06-23 00:00:00+00:00
