,BE_Confirmed,BE_Deaths,BE_Recovered,BE_Active,Date
0,1,0,0,1,2020-02-04 00:00:00+00:00
1,1,0,0,1,2020-02-05 00:00:00+00:00
2,1,0,0,1,2020-02-06 00:00:00+00:00
3,1,0,0,1,2020-02-07 00:00:00+00:00
4,1,0,0,1,2020-02-08 00:00:00+00:00
5,1,0,0,1,2020-02-09 00:00:00+00:00
6,1,0,0,1,2020-02-10 00:00:00+00:00
7,1,0,0,1,2020-02-11 00:00:00+00:00
8,1,0,0,1,2020-02-12 00:00:00+00:00
9,1,0,0,1,2020-02-13 00:00:00+00:00
10,1,0,0,1,2020-02-14 00:00:00+00:00
11,1,0,0,1,2020-02-15 00:00:00+00:00
12,1,0,0,1,2020-02-16 00:00:00+00:00
13,1,0,1,0,2020-02-17 00:00:00+00:00
14,1,0,1,0,2020-02-18 00:00:00+00:00
15,1,0,1,0,2020-02-19 00:00:00+00:00
16,1,0,1,0,2020-02-20 00:00:00+00:00
17,1,0,1,0,2020-02-21 00:00:00+00:00
18,1,0,1,0,2020-02-22 00:00:00+00:00
19,1,0,1,0,2020-02-23 00:00:00+00:00
20,1,0,1,0,2020-02-24 00:00:00+00:00
21,1,0,1,0,2020-02-25 00:00:00+00:00
22,1,0,1,0,2020-02-26 00:00:00+00:00
23,1,0,1,0,2020-02-27 00:00:00+00:00
24,1,0,1,0,2020-02-28 00:00:00+00:00
25,1,0,1,0,2020-02-29 00:00:00+00:00
26,2,0,1,1,2020-03-01 00:00:00+00:00
27,8,0,1,7,2020-03-02 00:00:00+00:00
28,13,0,1,12,2020-03-03 00:00:00+00:00
29,23,0,1,22,2020-03-04 00:00:00+00:00
30,50,0,1,49,2020-03-05 00:00:00+00:00
31,109,0,1,108,2020-03-06 00:00:00+00:00
32,169,0,1,168,2020-03-07 00:00:00+00:00
33,200,0,1,199,2020-03-08 00:00:00+00:00
34,239,0,1,238,2020-03-09 00:00:00+00:00
35,267,0,1,266,2020-03-10 00:00:00+00:00
36,314,3,1,310,2020-03-11 00:00:00+00:00
37,314,3,1,310,2020-03-12 00:00:00+00:00
38,559,3,1,555,2020-03-13 00:00:00+00:00
39,689,4,1,684,2020-03-14 00:00:00+00:00
40,886,4,1,881,2020-03-15 00:00:00+00:00
41,1058,5,1,1052,2020-03-16 00:00:00+00:00
42,1243,10,1,1232,2020-03-17 00:00:00+00:00
43,1486,14,31,1441,2020-03-18 00:00:00+00:00
44,1795,21,31,1743,2020-03-19 00:00:00+00:00
45,2257,37,1,2219,2020-03-20 00:00:00+00:00
46,2815,67,263,2485,2020-03-21 00:00:00+00:00
47,3401,75,263,3063,2020-03-22 00:00:00+00:00
48,3743,88,263,3392,2020-03-23 00:00:00+00:00
49,4269,122,461,3686,2020-03-24 00:00:00+00:00
50,4937,178,547,4212,2020-03-25 00:00:00+00:00
51,6235,220,675,5340,2020-03-26 00:00:00+00:00
52,7284,289,858,6137,2020-03-27 00:00:00+00:00
53,9134,353,1063,7718,2020-03-28 00:00:00+00:00
54,10836,431,1359,9046,2020-03-29 00:00:00+00:00
55,11899,513,1527,9859,2020-03-30 00:00:00+00:00
56,12775,705,1696,10374,2020-03-31 00:00:00+00:00
57,13964,828,2132,11004,2020-04-01 00:00:00+00:00
