,BR_Confirmed,BR_Deaths,BR_Recovered,BR_Active,Date
0,22318,1230,173,20915,2020-04-13 00:00:00+00:00
1,23430,1328,173,21929,2020-04-14 00:00:00+00:00
2,25262,1532,14026,9704,2020-04-15 00:00:00+00:00
3,28912,1760,14026,13126,2020-04-16 00:00:00+00:00
4,30683,1947,14026,14710,2020-04-17 00:00:00+00:00
5,34221,2171,14026,18024,2020-04-18 00:00:00+00:00
6,36760,2368,14026,20366,2020-04-19 00:00:00+00:00
7,38654,2462,22130,14062,2020-04-20 00:00:00+00:00
8,40743,2587,22130,16026,2020-04-21 00:00:00+00:00
9,43079,2741,24325,16013,2020-04-22 00:00:00+00:00
10,45757,2906,25318,17533,2020-04-23 00:00:00+00:00
11,49492,3313,26573,19606,2020-04-24 00:00:00+00:00
12,54043,3704,27655,22684,2020-04-25 00:00:00+00:00
13,59196,4045,29160,25991,2020-04-26 00:00:00+00:00
14,62859,4271,30152,28436,2020-04-27 00:00:00+00:00
15,66501,4543,31142,30816,2020-04-28 00:00:00+00:00
16,101826,7051,42991,51784,2020-05-04 00:00:00+00:00
17,107844,7328,45815,54701,2020-05-05 00:00:00+00:00
18,115455,7938,48221,59296,2020-05-06 00:00:00+00:00
