,CA_Confirmed,CA_Deaths,CA_Recovered,CA_Active,Date
0,242,4,0,238,2020-04-13 00:00:00+00:00
1,7049,274,0,6775,2020-04-13 00:00:00+00:00
2,8,0,0,8,2020-04-13 00:00:00+00:00
3,298,4,0,294,2020-04-13 00:00:00+00:00
4,242,3,0,239,2020-04-13 00:00:00+00:00
5,25,0,0,25,2020-04-13 00:00:00+00:00
6,114,0,0,114,2020-04-13 00:00:00+00:00
7,12846,328,0,12518,2020-04-13 00:00:00+00:00
8,1648,44,0,1604,2020-04-13 00:00:00+00:00
9,1445,58,0,1387,2020-04-13 00:00:00+00:00
10,445,2,0,443,2020-04-13 00:00:00+00:00
11,5,0,0,5,2020-04-13 00:00:00+00:00
12,474,3,0,471,2020-04-14 00:00:00+00:00
13,300,4,0,296,2020-04-14 00:00:00+00:00
14,13557,360,0,13197,2020-04-14 00:00:00+00:00
15,244,3,0,241,2020-04-14 00:00:00+00:00
16,7470,291,0,7179,2020-04-14 00:00:00+00:00
17,1490,69,0,1421,2020-04-14 00:00:00+00:00
18,8,0,0,8,2020-04-14 00:00:00+00:00
19,25,0,0,25,2020-04-14 00:00:00+00:00
20,1732,46,0,1686,2020-04-14 00:00:00+00:00
21,116,0,0,116,2020-04-14 00:00:00+00:00
22,246,4,0,242,2020-04-14 00:00:00+00:00
23,5,0,0,5,2020-04-14 00:00:00+00:00
24,301,4,0,297,2020-04-15 00:00:00+00:00
25,517,3,0,514,2020-04-15 00:00:00+00:00
26,25,0,0,25,2020-04-15 00:00:00+00:00
27,1870,48,0,1822,2020-04-15 00:00:00+00:00
28,5,0,0,5,2020-04-15 00:00:00+00:00
29,8,0,0,8,2020-04-15 00:00:00+00:00
30,246,4,0,242,2020-04-15 00:00:00+00:00
31,7953,334,0,7619,2020-04-15 00:00:00+00:00
32,1517,72,0,1445,2020-04-15 00:00:00+00:00
33,116,0,0,116,2020-04-15 00:00:00+00:00
34,14248,435,0,13813,2020-04-15 00:00:00+00:00
35,244,3,0,241,2020-04-15 00:00:00+00:00
36,26,0,0,26,2020-04-16 00:00:00+00:00
37,8447,385,0,8062,2020-04-16 00:00:00+00:00
38,1561,75,0,1486,2020-04-16 00:00:00+00:00
39,247,3,0,244,2020-04-16 00:00:00+00:00
40,1870,48,0,1822,2020-04-16 00:00:00+00:00
41,304,4,0,300,2020-04-16 00:00:00+00:00
42,549,3,0,546,2020-04-16 00:00:00+00:00
43,5,0,0,5,2020-04-16 00:00:00+00:00
44,246,5,0,241,2020-04-16 00:00:00+00:00
45,14860,487,0,14373,2020-04-16 00:00:00+00:00
46,8,0,0,8,2020-04-16 00:00:00+00:00
47,117,0,0,117,2020-04-16 00:00:00+00:00
48,117,0,0,117,2020-04-17 00:00:00+00:00
49,9840,490,0,9350,2020-04-17 00:00:00+00:00
50,250,5,0,245,2020-04-17 00:00:00+00:00
51,579,3,0,576,2020-04-17 00:00:00+00:00
52,1996,48,0,1948,2020-04-17 00:00:00+00:00
53,15857,630,0,15227,2020-04-17 00:00:00+00:00
54,26,0,0,26,2020-04-17 00:00:00+00:00
55,252,3,0,249,2020-04-17 00:00:00+00:00
56,5,0,0,5,2020-04-17 00:00:00+00:00
57,1561,75,0,1486,2020-04-17 00:00:00+00:00
58,8,0,0,8,2020-04-17 00:00:00+00:00
59,305,4,0,301,2020-04-17 00:00:00+00:00
60,307,4,0,303,2020-04-18 00:00:00+00:00
61,26,0,0,26,2020-04-18 00:00:00+00:00
62,8,0,0,8,2020-04-18 00:00:00+00:00
63,117,0,0,117,2020-04-18 00:00:00+00:00
64,10456,524,0,9932,2020-04-18 00:00:00+00:00
65,2397,50,0,2347,2020-04-18 00:00:00+00:00
66,1618,78,0,1540,2020-04-18 00:00:00+00:00
67,250,5,0,245,2020-04-18 00:00:00+00:00
68,606,4,0,602,2020-04-18 00:00:00+00:00
69,256,3,0,253,2020-04-18 00:00:00+00:00
70,5,0,0,5,2020-04-18 00:00:00+00:00
71,16798,688,0,16110,2020-04-18 00:00:00+00:00
72,253,5,0,248,2020-04-19 00:00:00+00:00
73,117,0,0,117,2020-04-19 00:00:00+00:00
74,257,3,0,254,2020-04-19 00:00:00+00:00
75,649,7,0,642,2020-04-19 00:00:00+00:00
76,5,0,0,5,2020-04-19 00:00:00+00:00
77,9,0,0,9,2020-04-19 00:00:00+00:00
78,17521,688,0,16833,2020-04-19 00:00:00+00:00
79,2562,51,0,2511,2020-04-19 00:00:00+00:00
80,11013,564,0,10449,2020-04-19 00:00:00+00:00
81,26,0,0,26,2020-04-19 00:00:00+00:00
82,1618,78,0,1540,2020-04-19 00:00:00+00:00
83,313,4,0,309,2020-04-19 00:00:00+00:00
84,26,0,0,26,2020-04-20 00:00:00+00:00
85,9,0,0,9,2020-04-20 00:00:00+00:00
86,254,5,0,249,2020-04-20 00:00:00+00:00
87,1647,81,0,1566,2020-04-20 00:00:00+00:00
88,315,4,0,311,2020-04-20 00:00:00+00:00
89,118,0,0,118,2020-04-20 00:00:00+00:00
90,11561,591,0,10970,2020-04-20 00:00:00+00:00
91,2803,51,0,2752,2020-04-20 00:00:00+00:00
92,675,9,0,666,2020-04-20 00:00:00+00:00
93,257,3,0,254,2020-04-20 00:00:00+00:00
94,17950,820,0,17130,2020-04-20 00:00:00+00:00
95,5,0,0,5,2020-04-20 00:00:00+00:00
96,118,0,0,118,2020-04-21 00:00:00+00:00
97,316,4,0,312,2020-04-21 00:00:00+00:00
98,257,3,0,254,2020-04-21 00:00:00+00:00
99,2908,59,0,2849,2020-04-21 00:00:00+00:00
100,12063,624,0,11439,2020-04-21 00:00:00+00:00
101,1699,86,0,1613,2020-04-21 00:00:00+00:00
102,26,0,0,26,2020-04-21 00:00:00+00:00
103,5,0,0,5,2020-04-21 00:00:00+00:00
104,11,0,0,11,2020-04-21 00:00:00+00:00
105,19319,939,0,18380,2020-04-21 00:00:00+00:00
106,721,9,0,712,2020-04-21 00:00:00+00:00
107,254,6,0,248,2020-04-21 00:00:00+00:00
