,CL_Confirmed,CL_Deaths,CL_Recovered,CL_Active,Date
0,7213,80,2059,5074,2020-04-13 00:00:00+00:00
1,7525,82,2367,5076,2020-04-14 00:00:00+00:00
2,7917,92,2646,5179,2020-04-15 00:00:00+00:00
3,8273,94,2937,5242,2020-04-16 00:00:00+00:00
4,8807,105,3299,5403,2020-04-17 00:00:00+00:00
5,9252,116,3621,5515,2020-04-18 00:00:00+00:00
6,9730,126,4035,5569,2020-04-19 00:00:00+00:00
7,10088,133,4338,5617,2020-04-20 00:00:00+00:00
8,10507,139,4676,5692,2020-04-21 00:00:00+00:00
9,10832,147,4969,5716,2020-04-22 00:00:00+00:00
10,11296,160,5386,5750,2020-04-23 00:00:00+00:00
11,11812,168,5804,5840,2020-04-24 00:00:00+00:00
12,12306,174,6327,5805,2020-04-25 00:00:00+00:00
13,12858,181,6746,5931,2020-04-26 00:00:00+00:00
14,13331,189,7024,6118,2020-04-27 00:00:00+00:00
15,13813,198,7327,6288,2020-04-28 00:00:00+00:00
16,19663,260,10041,9362,2020-05-04 00:00:00+00:00
17,20643,270,10415,9958,2020-05-05 00:00:00+00:00
18,22016,275,10710,11031,2020-05-06 00:00:00+00:00
