,CN_Confirmed,CN_Deaths,CN_Recovered,CN_Active,Date
0,5,0,0,5,2020-01-22 00:00:00+00:00
1,4,0,0,4,2020-01-22 00:00:00+00:00
2,1,0,0,1,2020-01-22 00:00:00+00:00
3,10,0,0,10,2020-01-22 00:00:00+00:00
4,2,0,0,2,2020-01-22 00:00:00+00:00
5,1,0,0,1,2020-01-22 00:00:00+00:00
6,1,0,0,1,2020-01-22 00:00:00+00:00
7,2,0,0,2,2020-01-22 00:00:00+00:00
8,9,0,0,9,2020-01-22 00:00:00+00:00
9,1,0,0,1,2020-01-22 00:00:00+00:00
10,1,0,0,1,2020-01-22 00:00:00+00:00
11,14,0,0,14,2020-01-22 00:00:00+00:00
12,6,0,0,6,2020-01-22 00:00:00+00:00
13,1,0,0,1,2020-01-22 00:00:00+00:00
14,26,0,0,26,2020-01-22 00:00:00+00:00
15,2,0,0,2,2020-01-22 00:00:00+00:00
16,1,0,0,1,2020-01-22 00:00:00+00:00
17,4,0,0,4,2020-01-22 00:00:00+00:00
18,1,0,0,1,2020-01-22 00:00:00+00:00
19,5,0,0,5,2020-01-22 00:00:00+00:00
20,444,17,28,399,2020-01-22 00:00:00+00:00
21,4,0,0,4,2020-01-22 00:00:00+00:00
22,1,0,0,1,2020-01-22 00:00:00+00:00
23,2,0,0,2,2020-01-22 00:00:00+00:00
24,2,0,0,2,2020-01-23 00:00:00+00:00
25,5,0,0,5,2020-01-23 00:00:00+00:00
26,2,0,0,2,2020-01-23 00:00:00+00:00
27,444,17,28,399,2020-01-23 00:00:00+00:00
28,9,0,0,9,2020-01-23 00:00:00+00:00
29,5,0,0,5,2020-01-23 00:00:00+00:00
30,7,0,0,7,2020-01-23 00:00:00+00:00
31,1,0,0,1,2020-01-23 00:00:00+00:00
32,3,0,0,3,2020-01-23 00:00:00+00:00
33,2,0,0,2,2020-01-23 00:00:00+00:00
34,1,0,0,1,2020-01-23 00:00:00+00:00
35,3,0,0,3,2020-01-23 00:00:00+00:00
36,6,0,0,6,2020-01-23 00:00:00+00:00
37,16,0,0,16,2020-01-23 00:00:00+00:00
38,1,0,0,1,2020-01-23 00:00:00+00:00
39,8,0,0,8,2020-01-23 00:00:00+00:00
