,CO_Confirmed,CO_Deaths,CO_Recovered,CO_Active,Date
0,1,0,0,1,2020-03-06 00:00:00+00:00
1,1,0,0,1,2020-03-07 00:00:00+00:00
2,1,0,0,1,2020-03-08 00:00:00+00:00
3,1,0,0,1,2020-03-09 00:00:00+00:00
4,3,0,0,3,2020-03-10 00:00:00+00:00
5,9,0,0,9,2020-03-11 00:00:00+00:00
6,9,0,0,9,2020-03-12 00:00:00+00:00
7,13,0,0,13,2020-03-13 00:00:00+00:00
8,22,0,0,22,2020-03-14 00:00:00+00:00
9,34,0,0,34,2020-03-15 00:00:00+00:00
10,54,0,0,54,2020-03-16 00:00:00+00:00
11,65,0,1,64,2020-03-17 00:00:00+00:00
12,93,0,1,92,2020-03-18 00:00:00+00:00
13,102,0,1,101,2020-03-19 00:00:00+00:00
14,128,0,1,127,2020-03-20 00:00:00+00:00
15,196,0,1,195,2020-03-21 00:00:00+00:00
16,231,2,3,226,2020-03-22 00:00:00+00:00
17,277,3,3,271,2020-03-23 00:00:00+00:00
18,378,3,6,369,2020-03-24 00:00:00+00:00
19,470,4,8,458,2020-03-25 00:00:00+00:00
20,491,6,8,477,2020-03-26 00:00:00+00:00
21,539,6,10,523,2020-03-27 00:00:00+00:00
22,608,6,10,592,2020-03-28 00:00:00+00:00
23,702,10,10,682,2020-03-29 00:00:00+00:00
24,798,12,15,771,2020-03-30 00:00:00+00:00
25,906,16,31,859,2020-03-31 00:00:00+00:00
26,1065,17,39,1009,2020-04-01 00:00:00+00:00
27,1161,19,55,1087,2020-04-02 00:00:00+00:00
28,1267,25,55,1187,2020-04-03 00:00:00+00:00
29,1406,32,85,1289,2020-04-04 00:00:00+00:00
30,1485,35,88,1362,2020-04-05 00:00:00+00:00
31,1579,46,88,1445,2020-04-06 00:00:00+00:00
32,1780,50,100,1630,2020-04-07 00:00:00+00:00
33,2054,54,123,1877,2020-04-08 00:00:00+00:00
34,2223,69,174,1980,2020-04-09 00:00:00+00:00
35,2473,80,197,2196,2020-04-10 00:00:00+00:00
36,2709,100,214,2395,2020-04-11 00:00:00+00:00
37,2776,109,270,2397,2020-04-12 00:00:00+00:00
38,2852,112,319,2421,2020-04-13 00:00:00+00:00
39,2979,127,354,2498,2020-04-14 00:00:00+00:00
40,3105,131,452,2522,2020-04-15 00:00:00+00:00
41,3233,144,550,2539,2020-04-16 00:00:00+00:00
42,3439,153,634,2652,2020-04-17 00:00:00+00:00
43,3439,153,634,2652,2020-04-18 00:00:00+00:00
44,3792,179,711,2902,2020-04-19 00:00:00+00:00
45,3977,189,804,2984,2020-04-20 00:00:00+00:00
46,4149,196,804,3149,2020-04-21 00:00:00+00:00
47,4356,206,870,3280,2020-04-22 00:00:00+00:00
48,4561,215,927,3419,2020-04-23 00:00:00+00:00
49,4881,225,1003,3653,2020-04-24 00:00:00+00:00
50,5142,233,1067,3842,2020-04-25 00:00:00+00:00
51,5379,244,1133,4002,2020-04-26 00:00:00+00:00
52,5597,253,1210,4134,2020-04-27 00:00:00+00:00
53,5949,269,1268,4412,2020-04-28 00:00:00+00:00
54,6207,278,1411,4518,2020-04-29 00:00:00+00:00
55,6507,293,1439,4775,2020-04-30 00:00:00+00:00
