,DK_Confirmed,DK_Deaths,DK_Recovered,DK_Active,Date
0,1,0,0,1,2020-02-27 00:00:00+00:00
1,1,0,0,1,2020-02-28 00:00:00+00:00
2,3,0,0,3,2020-02-29 00:00:00+00:00
3,4,0,0,4,2020-03-01 00:00:00+00:00
4,4,0,0,4,2020-03-02 00:00:00+00:00
5,6,0,0,6,2020-03-03 00:00:00+00:00
6,10,0,0,10,2020-03-04 00:00:00+00:00
7,1,0,0,1,2020-03-04 00:00:00+00:00
8,10,0,0,10,2020-03-05 00:00:00+00:00
9,1,0,0,1,2020-03-05 00:00:00+00:00
10,23,0,1,22,2020-03-06 00:00:00+00:00
11,1,0,0,1,2020-03-06 00:00:00+00:00
12,23,0,1,22,2020-03-07 00:00:00+00:00
13,1,0,0,1,2020-03-07 00:00:00+00:00
14,35,0,1,34,2020-03-08 00:00:00+00:00
15,2,0,0,2,2020-03-08 00:00:00+00:00
16,90,0,1,89,2020-03-09 00:00:00+00:00
17,2,0,0,2,2020-03-09 00:00:00+00:00
18,262,0,1,261,2020-03-10 00:00:00+00:00
19,2,0,0,2,2020-03-10 00:00:00+00:00
20,442,0,1,441,2020-03-11 00:00:00+00:00
21,2,0,0,2,2020-03-11 00:00:00+00:00
22,615,0,1,614,2020-03-12 00:00:00+00:00
23,2,0,0,2,2020-03-12 00:00:00+00:00
24,801,0,1,800,2020-03-13 00:00:00+00:00
25,3,0,0,3,2020-03-13 00:00:00+00:00
26,827,1,1,825,2020-03-14 00:00:00+00:00
27,9,0,0,9,2020-03-14 00:00:00+00:00
28,864,2,1,861,2020-03-15 00:00:00+00:00
29,11,0,0,11,2020-03-15 00:00:00+00:00
30,914,3,1,910,2020-03-16 00:00:00+00:00
31,18,0,0,18,2020-03-16 00:00:00+00:00
32,1,0,0,1,2020-03-16 00:00:00+00:00
33,977,4,1,972,2020-03-17 00:00:00+00:00
34,47,0,0,47,2020-03-17 00:00:00+00:00
35,1,0,0,1,2020-03-17 00:00:00+00:00
36,1057,4,1,1052,2020-03-18 00:00:00+00:00
37,58,0,0,58,2020-03-18 00:00:00+00:00
38,1,0,0,1,2020-03-18 00:00:00+00:00
39,1151,6,1,1144,2020-03-19 00:00:00+00:00
40,72,0,0,72,2020-03-19 00:00:00+00:00
41,2,0,0,2,2020-03-19 00:00:00+00:00
42,1255,9,1,1245,2020-03-20 00:00:00+00:00
43,80,0,0,80,2020-03-20 00:00:00+00:00
44,2,0,0,2,2020-03-20 00:00:00+00:00
45,1326,13,1,1312,2020-03-21 00:00:00+00:00
46,92,0,0,92,2020-03-21 00:00:00+00:00
47,2,0,0,2,2020-03-21 00:00:00+00:00
48,1395,13,1,1381,2020-03-22 00:00:00+00:00
49,115,0,0,115,2020-03-22 00:00:00+00:00
50,4,0,0,4,2020-03-22 00:00:00+00:00
51,1450,24,1,1425,2020-03-23 00:00:00+00:00
52,118,0,0,118,2020-03-23 00:00:00+00:00
53,4,0,0,4,2020-03-23 00:00:00+00:00
54,1591,32,1,1558,2020-03-24 00:00:00+00:00
55,122,0,33,89,2020-03-24 00:00:00+00:00
56,5,0,2,3,2020-03-24 00:00:00+00:00
57,1724,34,1,1689,2020-03-25 00:00:00+00:00
58,132,0,38,94,2020-03-25 00:00:00+00:00
59,6,0,2,4,2020-03-25 00:00:00+00:00
60,1877,41,1,1835,2020-03-26 00:00:00+00:00
61,140,0,47,93,2020-03-26 00:00:00+00:00
62,6,0,2,4,2020-03-26 00:00:00+00:00
63,2046,52,1,1993,2020-03-27 00:00:00+00:00
64,144,0,54,90,2020-03-27 00:00:00+00:00
65,10,0,2,8,2020-03-27 00:00:00+00:00
66,2201,65,1,2135,2020-03-28 00:00:00+00:00
67,155,0,54,101,2020-03-28 00:00:00+00:00
68,10,0,2,8,2020-03-28 00:00:00+00:00
69,2395,72,1,2322,2020-03-29 00:00:00+00:00
70,159,0,70,89,2020-03-29 00:00:00+00:00
71,10,0,2,8,2020-03-29 00:00:00+00:00
72,2577,77,1,2499,2020-03-30 00:00:00+00:00
73,168,0,70,98,2020-03-30 00:00:00+00:00
74,10,0,2,8,2020-03-30 00:00:00+00:00
75,2860,90,1,2769,2020-03-31 00:00:00+00:00
76,169,0,74,95,2020-03-31 00:00:00+00:00
77,10,0,2,8,2020-03-31 00:00:00+00:00
78,3107,104,894,2109,2020-04-01 00:00:00+00:00
79,173,0,75,98,2020-04-01 00:00:00+00:00
80,10,0,2,8,2020-04-01 00:00:00+00:00
81,3386,123,1089,2174,2020-04-02 00:00:00+00:00
82,177,0,81,96,2020-04-02 00:00:00+00:00
83,10,0,2,8,2020-04-02 00:00:00+00:00
84,3757,139,1193,2425,2020-04-03 00:00:00+00:00
85,179,0,91,88,2020-04-03 00:00:00+00:00
86,10,0,3,7,2020-04-03 00:00:00+00:00
87,4077,161,1283,2633,2020-04-04 00:00:00+00:00
88,181,0,93,88,2020-04-04 00:00:00+00:00
89,11,0,3,8,2020-04-04 00:00:00+00:00
90,4369,179,1327,2863,2020-04-05 00:00:00+00:00
91,181,0,99,82,2020-04-05 00:00:00+00:00
92,11,0,3,8,2020-04-05 00:00:00+00:00
93,4681,187,1378,3116,2020-04-06 00:00:00+00:00
94,183,0,107,76,2020-04-06 00:00:00+00:00
95,11,0,4,7,2020-04-06 00:00:00+00:00
96,5071,203,1491,3377,2020-04-07 00:00:00+00:00
97,184,0,120,64,2020-04-07 00:00:00+00:00
98,11,0,10,1,2020-04-07 00:00:00+00:00
99,5402,218,1621,3563,2020-04-08 00:00:00+00:00
100,184,0,131,53,2020-04-08 00:00:00+00:00
101,11,0,11,0,2020-04-08 00:00:00+00:00
102,5635,237,1736,3662,2020-04-09 00:00:00+00:00
103,184,0,136,48,2020-04-09 00:00:00+00:00
104,11,0,11,0,2020-04-09 00:00:00+00:00
105,5819,247,1773,3799,2020-04-10 00:00:00+00:00
106,184,0,145,39,2020-04-10 00:00:00+00:00
107,11,0,11,0,2020-04-10 00:00:00+00:00
108,5996,260,1955,3781,2020-04-11 00:00:00+00:00
109,184,0,145,39,2020-04-11 00:00:00+00:00
110,11,0,11,0,2020-04-11 00:00:00+00:00
111,6174,273,2123,3778,2020-04-12 00:00:00+00:00
112,184,0,157,27,2020-04-12 00:00:00+00:00
113,11,0,11,0,2020-04-12 00:00:00+00:00
114,6318,285,2235,3798,2020-04-13 00:00:00+00:00
115,184,0,157,27,2020-04-13 00:00:00+00:00
116,11,0,11,0,2020-04-13 00:00:00+00:00
117,6511,299,2515,3697,2020-04-14 00:00:00+00:00
118,184,0,163,21,2020-04-14 00:00:00+00:00
119,11,0,11,0,2020-04-14 00:00:00+00:00
120,6681,309,2748,3624,2020-04-15 00:00:00+00:00
121,184,0,166,18,2020-04-15 00:00:00+00:00
122,11,0,11,0,2020-04-15 00:00:00+00:00
123,6879,321,3023,3535,2020-04-16 00:00:00+00:00
124,184,0,169,15,2020-04-16 00:00:00+00:00
125,11,0,11,0,2020-04-16 00:00:00+00:00
126,7073,336,3389,3348,2020-04-17 00:00:00+00:00
127,184,0,171,13,2020-04-17 00:00:00+00:00
128,11,0,11,0,2020-04-17 00:00:00+00:00
129,7242,346,3847,3049,2020-04-18 00:00:00+00:00
130,184,0,173,11,2020-04-18 00:00:00+00:00
131,11,0,11,0,2020-04-18 00:00:00+00:00
132,7384,355,4141,2888,2020-04-19 00:00:00+00:00
133,185,0,176,9,2020-04-19 00:00:00+00:00
134,11,0,11,0,2020-04-19 00:00:00+00:00
135,7515,364,4312,2839,2020-04-20 00:00:00+00:00
136,185,0,176,9,2020-04-20 00:00:00+00:00
137,11,0,11,0,2020-04-20 00:00:00+00:00
138,7695,370,4700,2625,2020-04-21 00:00:00+00:00
139,185,0,178,7,2020-04-21 00:00:00+00:00
140,11,0,11,0,2020-04-21 00:00:00+00:00
141,7912,384,5087,2441,2020-04-22 00:00:00+00:00
142,185,0,178,7,2020-04-22 00:00:00+00:00
143,11,0,11,0,2020-04-22 00:00:00+00:00
144,8073,394,5384,2295,2020-04-23 00:00:00+00:00
145,187,0,178,9,2020-04-23 00:00:00+00:00
146,11,0,11,0,2020-04-23 00:00:00+00:00
147,8210,403,5526,2281,2020-04-24 00:00:00+00:00
148,187,0,178,9,2020-04-24 00:00:00+00:00
149,11,0,11,0,2020-04-24 00:00:00+00:00
150,8445,418,5669,2358,2020-04-25 00:00:00+00:00
151,187,0,178,9,2020-04-25 00:00:00+00:00
152,11,0,11,0,2020-04-25 00:00:00+00:00
153,8575,422,5805,2348,2020-04-26 00:00:00+00:00
154,187,0,178,9,2020-04-26 00:00:00+00:00
155,11,0,11,0,2020-04-26 00:00:00+00:00
156,8698,427,5959,2312,2020-04-27 00:00:00+00:00
157,187,0,178,9,2020-04-27 00:00:00+00:00
158,11,0,11,0,2020-04-27 00:00:00+00:00
159,8851,434,6121,2296,2020-04-28 00:00:00+00:00
160,187,0,181,6,2020-04-28 00:00:00+00:00
161,11,0,11,0,2020-04-28 00:00:00+00:00
162,9008,443,6366,2199,2020-04-29 00:00:00+00:00
