,DO_Confirmed,DO_Deaths,DO_Recovered,DO_Active,Date
0,1,0,0,1,2020-03-01 00:00:00+00:00
1,1,0,0,1,2020-03-02 00:00:00+00:00
2,1,0,0,1,2020-03-03 00:00:00+00:00
3,1,0,0,1,2020-03-04 00:00:00+00:00
4,1,0,0,1,2020-03-05 00:00:00+00:00
5,2,0,0,2,2020-03-06 00:00:00+00:00
6,2,0,0,2,2020-03-07 00:00:00+00:00
7,5,0,0,5,2020-03-08 00:00:00+00:00
8,5,0,0,5,2020-03-09 00:00:00+00:00
9,5,0,0,5,2020-03-10 00:00:00+00:00
10,5,0,0,5,2020-03-11 00:00:00+00:00
11,5,0,0,5,2020-03-12 00:00:00+00:00
12,5,0,0,5,2020-03-13 00:00:00+00:00
13,11,0,0,11,2020-03-14 00:00:00+00:00
14,11,0,0,11,2020-03-15 00:00:00+00:00
15,11,0,0,11,2020-03-16 00:00:00+00:00
16,21,1,0,20,2020-03-17 00:00:00+00:00
17,21,1,0,20,2020-03-18 00:00:00+00:00
18,34,2,0,32,2020-03-19 00:00:00+00:00
19,72,2,0,70,2020-03-20 00:00:00+00:00
20,112,2,0,110,2020-03-21 00:00:00+00:00
21,202,3,0,199,2020-03-22 00:00:00+00:00
22,245,3,0,242,2020-03-23 00:00:00+00:00
23,312,6,3,303,2020-03-24 00:00:00+00:00
24,392,10,3,379,2020-03-25 00:00:00+00:00
25,488,10,3,475,2020-03-26 00:00:00+00:00
26,581,20,3,558,2020-03-27 00:00:00+00:00
27,719,28,3,688,2020-03-28 00:00:00+00:00
28,859,39,3,817,2020-03-29 00:00:00+00:00
29,901,42,4,855,2020-03-30 00:00:00+00:00
30,1109,51,5,1053,2020-03-31 00:00:00+00:00
31,1284,57,9,1218,2020-04-01 00:00:00+00:00
32,1380,60,16,1304,2020-04-02 00:00:00+00:00
33,1488,68,16,1404,2020-04-03 00:00:00+00:00
34,1488,68,16,1404,2020-04-04 00:00:00+00:00
35,1745,82,17,1646,2020-04-05 00:00:00+00:00
36,1828,86,33,1709,2020-04-06 00:00:00+00:00
37,1956,98,36,1822,2020-04-07 00:00:00+00:00
38,2111,108,50,1953,2020-04-08 00:00:00+00:00
39,2349,118,80,2151,2020-04-09 00:00:00+00:00
40,2620,126,98,2396,2020-04-10 00:00:00+00:00
41,2759,135,108,2516,2020-04-11 00:00:00+00:00
42,2967,173,131,2663,2020-04-12 00:00:00+00:00
43,3167,177,152,2838,2020-04-13 00:00:00+00:00
44,3286,183,162,2941,2020-04-14 00:00:00+00:00
45,3614,189,208,3217,2020-04-15 00:00:00+00:00
46,3755,196,215,3344,2020-04-16 00:00:00+00:00
47,4126,200,268,3658,2020-04-17 00:00:00+00:00
48,4335,217,312,3806,2020-04-18 00:00:00+00:00
49,4680,226,363,4091,2020-04-19 00:00:00+00:00
50,4964,235,416,4313,2020-04-20 00:00:00+00:00
51,5044,245,463,4336,2020-04-21 00:00:00+00:00
52,5300,260,581,4459,2020-04-22 00:00:00+00:00
