,EC_Confirmed,EC_Deaths,EC_Recovered,EC_Active,Date
0,7466,333,501,6632,2020-04-13 00:00:00+00:00
1,7529,355,597,6577,2020-04-14 00:00:00+00:00
2,7603,369,696,6538,2020-04-15 00:00:00+00:00
3,7858,388,780,6690,2020-04-16 00:00:00+00:00
4,8225,403,838,6984,2020-04-17 00:00:00+00:00
5,8450,421,838,7191,2020-04-18 00:00:00+00:00
6,9022,456,1008,7558,2020-04-19 00:00:00+00:00
7,9468,474,1061,7933,2020-04-20 00:00:00+00:00
8,10128,507,1150,8471,2020-04-21 00:00:00+00:00
9,10398,520,1207,8671,2020-04-22 00:00:00+00:00
10,10850,537,1262,9051,2020-04-23 00:00:00+00:00
11,11183,560,1328,9295,2020-04-24 00:00:00+00:00
12,22719,576,1366,20777,2020-04-25 00:00:00+00:00
13,22719,576,1366,20777,2020-04-26 00:00:00+00:00
14,22719,576,1366,20777,2020-04-27 00:00:00+00:00
15,23240,663,1557,21020,2020-04-28 00:00:00+00:00
16,29538,1564,3300,24674,2020-05-04 00:00:00+00:00
17,31881,1569,3433,26879,2020-05-05 00:00:00+00:00
18,31881,1569,3433,26879,2020-05-06 00:00:00+00:00
