,FI_Confirmed,FI_Deaths,FI_Recovered,FI_Active,Date
0,2974,56,300,2618,2020-04-13 00:00:00+00:00
1,3064,59,300,2705,2020-04-14 00:00:00+00:00
2,3161,64,300,2797,2020-04-15 00:00:00+00:00
3,3369,72,300,2997,2020-04-16 00:00:00+00:00
4,3369,75,1700,1594,2020-04-17 00:00:00+00:00
5,3489,82,1700,1707,2020-04-18 00:00:00+00:00
6,3681,90,1700,1891,2020-04-19 00:00:00+00:00
7,3783,94,1700,1989,2020-04-20 00:00:00+00:00
8,3868,98,2000,1770,2020-04-21 00:00:00+00:00
9,4014,141,2000,1873,2020-04-22 00:00:00+00:00
10,4129,149,2000,1980,2020-04-23 00:00:00+00:00
11,4284,172,2000,2112,2020-04-24 00:00:00+00:00
12,4395,177,2500,1718,2020-04-25 00:00:00+00:00
13,4475,186,2500,1789,2020-04-26 00:00:00+00:00
14,4576,190,2500,1886,2020-04-27 00:00:00+00:00
15,4695,193,2500,2002,2020-04-28 00:00:00+00:00
16,5254,230,3000,2024,2020-05-04 00:00:00+00:00
17,5327,240,3500,1587,2020-05-05 00:00:00+00:00
18,5412,246,3500,1666,2020-05-06 00:00:00+00:00
