,FR_Confirmed,FR_Deaths,FR_Recovered,FR_Active,Date
0,2,0,0,2,2020-01-24 00:00:00+00:00
1,3,0,0,3,2020-01-25 00:00:00+00:00
2,3,0,0,3,2020-01-26 00:00:00+00:00
3,3,0,0,3,2020-01-27 00:00:00+00:00
4,4,0,0,4,2020-01-28 00:00:00+00:00
5,5,0,0,5,2020-01-29 00:00:00+00:00
6,5,0,0,5,2020-01-30 00:00:00+00:00
7,5,0,0,5,2020-01-31 00:00:00+00:00
8,6,0,0,6,2020-02-01 00:00:00+00:00
9,6,0,0,6,2020-02-02 00:00:00+00:00
10,6,0,0,6,2020-02-03 00:00:00+00:00
11,6,0,0,6,2020-02-04 00:00:00+00:00
12,6,0,0,6,2020-02-05 00:00:00+00:00
13,6,0,0,6,2020-02-06 00:00:00+00:00
14,6,0,0,6,2020-02-07 00:00:00+00:00
15,11,0,0,11,2020-02-08 00:00:00+00:00
16,11,0,0,11,2020-02-09 00:00:00+00:00
17,11,0,0,11,2020-02-10 00:00:00+00:00
18,11,0,0,11,2020-02-11 00:00:00+00:00
19,11,0,2,9,2020-02-12 00:00:00+00:00
20,11,0,2,9,2020-02-13 00:00:00+00:00
21,11,0,2,9,2020-02-14 00:00:00+00:00
22,12,1,4,7,2020-02-15 00:00:00+00:00
23,12,1,4,7,2020-02-16 00:00:00+00:00
24,12,1,4,7,2020-02-17 00:00:00+00:00
25,12,1,4,7,2020-02-18 00:00:00+00:00
26,12,1,4,7,2020-02-19 00:00:00+00:00
27,12,1,4,7,2020-02-20 00:00:00+00:00
28,12,1,4,7,2020-02-21 00:00:00+00:00
29,12,1,4,7,2020-02-22 00:00:00+00:00
30,12,1,4,7,2020-02-23 00:00:00+00:00
31,12,1,4,7,2020-02-24 00:00:00+00:00
32,14,1,11,2,2020-02-25 00:00:00+00:00
33,18,2,11,5,2020-02-26 00:00:00+00:00
34,38,2,11,25,2020-02-27 00:00:00+00:00
35,57,2,11,44,2020-02-28 00:00:00+00:00
36,100,2,12,86,2020-02-29 00:00:00+00:00
37,130,2,12,116,2020-03-01 00:00:00+00:00
38,191,3,12,176,2020-03-02 00:00:00+00:00
39,204,4,12,188,2020-03-03 00:00:00+00:00
40,285,4,12,269,2020-03-04 00:00:00+00:00
41,3,0,0,3,2020-03-04 00:00:00+00:00
42,377,6,12,359,2020-03-05 00:00:00+00:00
43,3,0,0,3,2020-03-05 00:00:00+00:00
44,653,9,12,632,2020-03-06 00:00:00+00:00
45,3,0,0,3,2020-03-06 00:00:00+00:00
46,949,11,12,926,2020-03-07 00:00:00+00:00
47,5,0,0,5,2020-03-07 00:00:00+00:00
48,2,0,0,2,2020-03-07 00:00:00+00:00
49,3,0,0,3,2020-03-07 00:00:00+00:00
50,1126,19,12,1095,2020-03-08 00:00:00+00:00
51,5,0,0,5,2020-03-08 00:00:00+00:00
52,2,0,0,2,2020-03-08 00:00:00+00:00
53,3,0,0,3,2020-03-08 00:00:00+00:00
54,1209,19,12,1178,2020-03-09 00:00:00+00:00
55,5,0,0,5,2020-03-09 00:00:00+00:00
56,2,0,0,2,2020-03-09 00:00:00+00:00
57,1,0,0,1,2020-03-09 00:00:00+00:00
58,2,0,0,2,2020-03-09 00:00:00+00:00
59,1784,33,12,1739,2020-03-10 00:00:00+00:00
60,5,0,0,5,2020-03-10 00:00:00+00:00
61,2,0,0,2,2020-03-10 00:00:00+00:00
62,1,0,0,1,2020-03-10 00:00:00+00:00
63,2,0,0,2,2020-03-10 00:00:00+00:00
64,2281,48,12,2221,2020-03-11 00:00:00+00:00
