,DE_Confirmed,DE_Deaths,DE_Recovered,DE_Active,Date
0,127854,3022,60300,64532,2020-04-13 00:00:00+00:00
1,130072,3194,64300,62578,2020-04-14 00:00:00+00:00
2,132210,3495,68200,60515,2020-04-15 00:00:00+00:00
3,134753,3804,77000,53949,2020-04-16 00:00:00+00:00
4,137698,4052,77000,56646,2020-04-17 00:00:00+00:00
5,141397,4352,83114,53931,2020-04-18 00:00:00+00:00
6,143724,4538,85400,53786,2020-04-19 00:00:00+00:00
7,145742,4642,88000,53100,2020-04-20 00:00:00+00:00
8,147065,4862,91500,50703,2020-04-21 00:00:00+00:00
9,148453,5086,95200,48167,2020-04-22 00:00:00+00:00
10,150648,5315,99400,45933,2020-04-23 00:00:00+00:00
11,153129,5575,103300,44254,2020-04-24 00:00:00+00:00
12,154999,5760,109800,39439,2020-04-25 00:00:00+00:00
13,156418,5873,109800,40745,2020-04-26 00:00:00+00:00
14,157770,5976,112000,39794,2020-04-27 00:00:00+00:00
15,158434,6061,114500,37873,2020-04-28 00:00:00+00:00
16,165664,6866,132700,26098,2020-05-04 00:00:00+00:00
17,166152,6993,132700,26459,2020-05-05 00:00:00+00:00
18,167007,6993,135100,24914,2020-05-06 00:00:00+00:00
