,HT_Confirmed,HT_Deaths,HT_Recovered,HT_Active,Date
0,2,0,0,2,2020-03-20 00:00:00+00:00
1,2,0,0,2,2020-03-21 00:00:00+00:00
2,2,0,0,2,2020-03-22 00:00:00+00:00
3,6,0,0,6,2020-03-23 00:00:00+00:00
4,7,0,0,7,2020-03-24 00:00:00+00:00
5,8,0,0,8,2020-03-25 00:00:00+00:00
6,8,0,0,8,2020-03-26 00:00:00+00:00
7,8,0,0,8,2020-03-27 00:00:00+00:00
8,8,0,0,8,2020-03-28 00:00:00+00:00
9,15,0,1,14,2020-03-29 00:00:00+00:00
10,15,0,1,14,2020-03-30 00:00:00+00:00
11,15,0,1,14,2020-03-31 00:00:00+00:00
12,16,0,1,15,2020-04-01 00:00:00+00:00
13,16,0,1,15,2020-04-02 00:00:00+00:00
14,18,0,1,17,2020-04-03 00:00:00+00:00
15,20,0,1,19,2020-04-04 00:00:00+00:00
16,21,1,1,19,2020-04-05 00:00:00+00:00
17,24,1,0,23,2020-04-06 00:00:00+00:00
18,25,1,0,24,2020-04-07 00:00:00+00:00
19,27,1,0,26,2020-04-08 00:00:00+00:00
20,30,2,0,28,2020-04-09 00:00:00+00:00
21,31,2,0,29,2020-04-10 00:00:00+00:00
22,33,2,0,31,2020-04-11 00:00:00+00:00
23,33,3,0,30,2020-04-12 00:00:00+00:00
24,40,3,0,37,2020-04-13 00:00:00+00:00
25,40,3,0,37,2020-04-14 00:00:00+00:00
26,41,3,0,38,2020-04-15 00:00:00+00:00
27,41,3,0,38,2020-04-16 00:00:00+00:00
28,43,3,0,40,2020-04-17 00:00:00+00:00
29,44,3,0,41,2020-04-18 00:00:00+00:00
30,47,3,0,44,2020-04-19 00:00:00+00:00
31,57,3,0,54,2020-04-20 00:00:00+00:00
32,57,3,0,54,2020-04-21 00:00:00+00:00
33,62,4,2,56,2020-04-22 00:00:00+00:00
34,72,5,2,65,2020-04-23 00:00:00+00:00
35,72,5,2,65,2020-04-24 00:00:00+00:00
36,72,6,6,60,2020-04-25 00:00:00+00:00
37,74,6,7,61,2020-04-26 00:00:00+00:00
38,76,6,8,62,2020-04-27 00:00:00+00:00
39,76,6,8,62,2020-04-28 00:00:00+00:00
40,76,6,8,62,2020-04-29 00:00:00+00:00
41,81,8,8,65,2020-04-30 00:00:00+00:00
42,85,8,10,67,2020-05-01 00:00:00+00:00
43,85,8,10,67,2020-05-02 00:00:00+00:00
44,88,9,10,69,2020-05-03 00:00:00+00:00
45,100,11,10,79,2020-05-04 00:00:00+00:00
46,101,12,10,79,2020-05-05 00:00:00+00:00
47,101,12,10,79,2020-05-06 00:00:00+00:00
48,129,12,16,101,2020-05-07 00:00:00+00:00
49,146,12,17,117,2020-05-08 00:00:00+00:00
50,151,12,17,122,2020-05-09 00:00:00+00:00
51,182,15,17,150,2020-05-10 00:00:00+00:00
52,209,16,17,176,2020-05-11 00:00:00+00:00
53,209,16,17,176,2020-05-12 00:00:00+00:00
54,234,18,17,199,2020-05-13 00:00:00+00:00
55,273,20,18,235,2020-05-14 00:00:00+00:00
56,310,20,29,261,2020-05-15 00:00:00+00:00
57,358,20,29,309,2020-05-16 00:00:00+00:00
58,456,20,21,415,2020-05-17 00:00:00+00:00
59,533,21,21,491,2020-05-18 00:00:00+00:00
60,533,21,21,491,2020-05-19 00:00:00+00:00
61,596,22,21,553,2020-05-20 00:00:00+00:00
62,734,25,21,688,2020-05-21 00:00:00+00:00
63,812,25,22,765,2020-05-22 00:00:00+00:00
64,865,26,22,817,2020-05-23 00:00:00+00:00
65,865,26,22,817,2020-05-24 00:00:00+00:00
66,958,27,22,909,2020-05-25 00:00:00+00:00
67,1174,33,22,1119,2020-05-26 00:00:00+00:00
68,1320,34,22,1264,2020-05-27 00:00:00+00:00
69,1320,34,22,1264,2020-05-28 00:00:00+00:00
70,1584,35,22,1527,2020-05-29 00:00:00+00:00
71,1865,41,24,1800,2020-05-30 00:00:00+00:00
72,2124,44,24,2056,2020-05-31 00:00:00+00:00
73,2226,45,24,2157,2020-06-01 00:00:00+00:00
74,2226,45,24,2157,2020-06-02 00:00:00+00:00
75,2507,48,24,2435,2020-06-03 00:00:00+00:00
76,2640,50,24,2566,2020-06-04 00:00:00+00:00
77,2740,50,24,2666,2020-06-05 00:00:00+00:00
78,3072,50,24,2998,2020-06-06 00:00:00+00:00
79,3334,51,24,3259,2020-06-07 00:00:00+00:00
80,3538,54,24,3460,2020-06-08 00:00:00+00:00
81,3662,56,24,3582,2020-06-09 00:00:00+00:00
82,3796,58,24,3714,2020-06-10 00:00:00+00:00
83,3941,64,24,3853,2020-06-11 00:00:00+00:00
84,3941,64,24,3853,2020-06-12 00:00:00+00:00
85,4165,70,24,4071,2020-06-13 00:00:00+00:00
86,4165,70,24,4071,2020-06-14 00:00:00+00:00
87,4441,76,24,4341,2020-06-15 00:00:00+00:00
88,4547,80,24,4443,2020-06-16 00:00:00+00:00
89,4688,82,24,4582,2020-06-17 00:00:00+00:00
90,4916,84,24,4808,2020-06-18 00:00:00+00:00
91,4980,87,24,4869,2020-06-19 00:00:00+00:00
92,5077,88,24,4965,2020-06-20 00:00:00+00:00
93,5077,88,24,4965,2020-06-21 00:00:00+00:00
94,5211,88,24,5099,2020-06-22 00:00:00+00:00
95,5324,89,436,4799,2020-06-23 00:00:00+00:00
