,IL_Confirmed,IL_Deaths,IL_Recovered,IL_Active,Date
0,1,0,0,1,2020-02-21 00:00:00+00:00
1,1,0,0,1,2020-02-22 00:00:00+00:00
2,1,0,0,1,2020-02-23 00:00:00+00:00
3,1,0,0,1,2020-02-24 00:00:00+00:00
4,1,0,0,1,2020-02-25 00:00:00+00:00
5,2,0,0,2,2020-02-26 00:00:00+00:00
6,3,0,1,2,2020-02-27 00:00:00+00:00
7,4,0,1,3,2020-02-28 00:00:00+00:00
8,7,0,1,6,2020-02-29 00:00:00+00:00
9,10,0,1,9,2020-03-01 00:00:00+00:00
10,10,0,1,9,2020-03-02 00:00:00+00:00
11,12,0,1,11,2020-03-03 00:00:00+00:00
12,15,0,1,14,2020-03-04 00:00:00+00:00
13,20,0,1,19,2020-03-05 00:00:00+00:00
14,37,0,2,35,2020-03-06 00:00:00+00:00
15,43,0,2,41,2020-03-07 00:00:00+00:00
16,61,0,2,59,2020-03-08 00:00:00+00:00
17,61,0,2,59,2020-03-09 00:00:00+00:00
18,75,0,4,71,2020-03-10 00:00:00+00:00
19,79,0,4,75,2020-03-11 00:00:00+00:00
20,100,0,4,96,2020-03-12 00:00:00+00:00
21,126,0,4,122,2020-03-13 00:00:00+00:00
22,155,0,4,151,2020-03-14 00:00:00+00:00
23,213,0,4,209,2020-03-15 00:00:00+00:00
24,218,0,4,214,2020-03-16 00:00:00+00:00
25,250,0,11,239,2020-03-17 00:00:00+00:00
26,304,0,11,293,2020-03-18 00:00:00+00:00
27,427,0,11,416,2020-03-19 00:00:00+00:00
28,529,0,14,515,2020-03-20 00:00:00+00:00
29,712,1,36,675,2020-03-21 00:00:00+00:00
30,883,1,37,845,2020-03-22 00:00:00+00:00
31,1071,1,37,1033,2020-03-23 00:00:00+00:00
32,1238,3,53,1182,2020-03-24 00:00:00+00:00
33,2369,5,58,2306,2020-03-25 00:00:00+00:00
34,2693,8,68,2617,2020-03-26 00:00:00+00:00
35,3035,12,79,2944,2020-03-27 00:00:00+00:00
36,3619,12,89,3518,2020-03-28 00:00:00+00:00
37,4247,15,132,4100,2020-03-29 00:00:00+00:00
38,4695,16,161,4518,2020-03-30 00:00:00+00:00
39,5358,20,224,5114,2020-03-31 00:00:00+00:00
40,6092,26,241,5825,2020-04-01 00:00:00+00:00
41,6857,36,338,6483,2020-04-02 00:00:00+00:00
42,7428,40,403,6985,2020-04-03 00:00:00+00:00
43,7851,44,427,7380,2020-04-04 00:00:00+00:00
44,8430,49,477,7904,2020-04-05 00:00:00+00:00
45,8904,57,585,8262,2020-04-06 00:00:00+00:00
46,9248,65,770,8413,2020-04-07 00:00:00+00:00
47,9404,73,801,8530,2020-04-08 00:00:00+00:00
48,9968,86,1011,8871,2020-04-09 00:00:00+00:00
49,10408,95,1183,9130,2020-04-10 00:00:00+00:00
50,10743,101,1341,9301,2020-04-11 00:00:00+00:00
51,11145,103,1627,9415,2020-04-12 00:00:00+00:00
52,11586,116,1855,9615,2020-04-13 00:00:00+00:00
53,12046,123,2195,9728,2020-04-14 00:00:00+00:00
54,12501,130,2563,9808,2020-04-15 00:00:00+00:00
55,12758,142,2818,9798,2020-04-16 00:00:00+00:00
56,12982,151,3126,9705,2020-04-17 00:00:00+00:00
57,13265,164,3456,9645,2020-04-18 00:00:00+00:00
58,13491,172,3754,9565,2020-04-19 00:00:00+00:00
59,13713,177,4049,9487,2020-04-20 00:00:00+00:00
60,13942,184,4507,9251,2020-04-21 00:00:00+00:00
61,14498,189,5215,9094,2020-04-22 00:00:00+00:00
62,14803,192,5611,9000,2020-04-23 00:00:00+00:00
63,15058,194,6003,8861,2020-04-24 00:00:00+00:00
64,15298,199,6435,8664,2020-04-25 00:00:00+00:00
65,15443,201,6731,8511,2020-04-26 00:00:00+00:00
66,15555,204,7200,8151,2020-04-27 00:00:00+00:00
67,15728,210,7746,7772,2020-04-28 00:00:00+00:00
68,15834,215,8233,7386,2020-04-29 00:00:00+00:00
69,15946,222,8561,7163,2020-04-30 00:00:00+00:00
70,16101,225,9156,6720,2020-05-01 00:00:00+00:00
71,16185,229,9593,6363,2020-05-02 00:00:00+00:00
72,16208,232,9749,6227,2020-05-03 00:00:00+00:00
73,16246,235,10064,5947,2020-05-04 00:00:00+00:00
74,16289,238,10465,5586,2020-05-05 00:00:00+00:00
75,16310,239,10637,5434,2020-05-06 00:00:00+00:00
76,16381,240,10873,5268,2020-05-07 00:00:00+00:00
77,16436,245,11229,4962,2020-05-08 00:00:00+00:00
78,16454,247,11376,4831,2020-05-09 00:00:00+00:00
79,16477,252,11430,4795,2020-05-10 00:00:00+00:00
80,16506,258,11843,4405,2020-05-11 00:00:00+00:00
81,16529,260,12083,4186,2020-05-12 00:00:00+00:00
82,16548,264,12232,4052,2020-05-13 00:00:00+00:00
83,16579,265,12521,3793,2020-05-14 00:00:00+00:00
84,16589,266,12587,3736,2020-05-15 00:00:00+00:00
85,16608,268,12855,3485,2020-05-16 00:00:00+00:00
86,16617,272,12942,3403,2020-05-17 00:00:00+00:00
87,16643,276,13253,3114,2020-05-18 00:00:00+00:00
88,16659,278,13435,2946,2020-05-19 00:00:00+00:00
89,16667,279,13504,2884,2020-05-20 00:00:00+00:00
90,16683,279,13724,2680,2020-05-21 00:00:00+00:00
91,16690,279,13915,2496,2020-05-22 00:00:00+00:00
92,16712,279,14090,2343,2020-05-23 00:00:00+00:00
93,16717,279,14153,2285,2020-05-24 00:00:00+00:00
94,16734,281,14307,2146,2020-05-25 00:00:00+00:00
95,16757,281,14457,2019,2020-05-26 00:00:00+00:00
96,16793,281,14570,1942,2020-05-27 00:00:00+00:00
97,16872,284,14679,1909,2020-05-28 00:00:00+00:00
98,16987,284,14776,1927,2020-05-29 00:00:00+00:00
99,17012,284,14811,1917,2020-05-30 00:00:00+00:00
100,17071,285,14812,1974,2020-05-31 00:00:00+00:00
101,17169,285,14878,2006,2020-06-01 00:00:00+00:00
102,17285,290,14940,2055,2020-06-02 00:00:00+00:00
103,17377,291,14983,2103,2020-06-03 00:00:00+00:00
104,17495,291,15013,2191,2020-06-04 00:00:00+00:00
105,17562,291,15026,2245,2020-06-05 00:00:00+00:00
106,17752,295,15042,2415,2020-06-06 00:00:00+00:00
107,17863,298,15091,2474,2020-06-07 00:00:00+00:00
108,18032,298,15102,2632,2020-06-08 00:00:00+00:00
109,18180,299,15159,2722,2020-06-09 00:00:00+00:00
110,18355,299,15168,2888,2020-06-10 00:00:00+00:00
111,18569,300,15250,3019,2020-06-11 00:00:00+00:00
112,18795,300,15288,3207,2020-06-12 00:00:00+00:00
113,18972,300,15357,3315,2020-06-13 00:00:00+00:00
114,19055,300,15375,3380,2020-06-14 00:00:00+00:00
115,19237,302,15415,3520,2020-06-15 00:00:00+00:00
116,19495,302,15449,3744,2020-06-16 00:00:00+00:00
117,19783,303,15459,4021,2020-06-17 00:00:00+00:00
118,20036,303,15518,4215,2020-06-18 00:00:00+00:00
119,20339,304,15586,4449,2020-06-19 00:00:00+00:00
120,20633,305,15586,4742,2020-06-20 00:00:00+00:00
121,20778,306,15694,4778,2020-06-21 00:00:00+00:00
122,21082,307,15761,5014,2020-06-22 00:00:00+00:00
123,21512,308,15869,5335,2020-06-23 00:00:00+00:00
