,KZ_Confirmed,KZ_Deaths,KZ_Recovered,KZ_Active,Date
0,4,0,0,4,2020-03-13 00:00:00+00:00
1,6,0,0,6,2020-03-14 00:00:00+00:00
2,9,0,0,9,2020-03-15 00:00:00+00:00
3,10,0,0,10,2020-03-16 00:00:00+00:00
4,33,0,0,33,2020-03-17 00:00:00+00:00
5,35,0,0,35,2020-03-18 00:00:00+00:00
6,44,0,0,44,2020-03-19 00:00:00+00:00
7,49,3,0,46,2020-03-20 00:00:00+00:00
8,53,0,0,53,2020-03-21 00:00:00+00:00
9,60,0,0,60,2020-03-22 00:00:00+00:00
10,62,0,0,62,2020-03-23 00:00:00+00:00
11,72,0,0,72,2020-03-24 00:00:00+00:00
12,81,0,0,81,2020-03-25 00:00:00+00:00
13,111,1,2,108,2020-03-26 00:00:00+00:00
14,150,1,3,146,2020-03-27 00:00:00+00:00
15,228,1,16,211,2020-03-28 00:00:00+00:00
16,284,1,20,263,2020-03-29 00:00:00+00:00
17,302,1,21,280,2020-03-30 00:00:00+00:00
18,343,2,24,317,2020-03-31 00:00:00+00:00
19,380,3,26,351,2020-04-01 00:00:00+00:00
20,435,3,27,405,2020-04-02 00:00:00+00:00
21,464,6,29,429,2020-04-03 00:00:00+00:00
22,531,5,36,490,2020-04-04 00:00:00+00:00
23,584,6,42,536,2020-04-05 00:00:00+00:00
24,662,6,46,610,2020-04-06 00:00:00+00:00
25,697,6,51,640,2020-04-07 00:00:00+00:00
26,727,7,54,666,2020-04-08 00:00:00+00:00
27,781,8,60,713,2020-04-09 00:00:00+00:00
28,812,10,64,738,2020-04-10 00:00:00+00:00
29,865,10,81,774,2020-04-11 00:00:00+00:00
30,951,10,99,842,2020-04-12 00:00:00+00:00
31,1091,12,138,941,2020-04-13 00:00:00+00:00
32,1232,14,203,1015,2020-04-14 00:00:00+00:00
33,1295,16,240,1039,2020-04-15 00:00:00+00:00
34,1402,17,277,1108,2020-04-16 00:00:00+00:00
35,1546,17,347,1182,2020-04-17 00:00:00+00:00
36,1615,17,377,1221,2020-04-18 00:00:00+00:00
37,1676,17,400,1259,2020-04-19 00:00:00+00:00
38,1852,19,447,1386,2020-04-20 00:00:00+00:00
39,1995,19,489,1487,2020-04-21 00:00:00+00:00
40,2135,19,515,1601,2020-04-22 00:00:00+00:00
41,2289,20,560,1709,2020-04-23 00:00:00+00:00
42,2482,25,604,1853,2020-04-24 00:00:00+00:00
43,2601,25,646,1930,2020-04-25 00:00:00+00:00
44,2717,25,682,2010,2020-04-26 00:00:00+00:00
45,2835,25,720,2090,2020-04-27 00:00:00+00:00
46,3027,25,774,2228,2020-04-28 00:00:00+00:00
47,3138,25,819,2294,2020-04-29 00:00:00+00:00
48,3402,25,866,2511,2020-04-30 00:00:00+00:00
49,3597,25,922,2650,2020-05-01 00:00:00+00:00
50,3857,25,985,2847,2020-05-02 00:00:00+00:00
51,3920,27,1084,2809,2020-05-03 00:00:00+00:00
52,4049,29,1173,2847,2020-05-04 00:00:00+00:00
53,4205,29,1279,2897,2020-05-05 00:00:00+00:00
54,4422,30,1408,2984,2020-05-06 00:00:00+00:00
55,4578,30,1518,3030,2020-05-07 00:00:00+00:00
56,4834,31,1631,3172,2020-05-08 00:00:00+00:00
57,4975,31,1776,3168,2020-05-09 00:00:00+00:00
58,5090,31,1941,3118,2020-05-10 00:00:00+00:00
59,5207,32,2074,3101,2020-05-11 00:00:00+00:00
60,5279,32,2223,3024,2020-05-12 00:00:00+00:00
61,5417,32,2408,2977,2020-05-13 00:00:00+00:00
62,5571,32,2531,3008,2020-05-14 00:00:00+00:00
63,5689,34,2707,2948,2020-05-15 00:00:00+00:00
64,5850,34,2980,2836,2020-05-16 00:00:00+00:00
65,6157,34,3256,2867,2020-05-17 00:00:00+00:00
66,6751,35,3469,3247,2020-05-18 00:00:00+00:00
67,6751,35,3598,3118,2020-05-19 00:00:00+00:00
68,6969,35,3734,3200,2020-05-20 00:00:00+00:00
69,7234,35,3843,3356,2020-05-21 00:00:00+00:00
70,7919,35,4096,3788,2020-05-22 00:00:00+00:00
71,7919,35,4214,3670,2020-05-23 00:00:00+00:00
72,8531,35,4352,4144,2020-05-24 00:00:00+00:00
73,8969,35,4515,4419,2020-05-25 00:00:00+00:00
74,8969,37,4613,4319,2020-05-26 00:00:00+00:00
75,9304,37,4768,4499,2020-05-27 00:00:00+00:00
76,9576,37,4900,4639,2020-05-28 00:00:00+00:00
77,9932,37,5057,4838,2020-05-29 00:00:00+00:00
78,10382,38,5220,5124,2020-05-30 00:00:00+00:00
79,10858,40,5404,5414,2020-05-31 00:00:00+00:00
80,11308,41,5587,5680,2020-06-01 00:00:00+00:00
81,11571,44,5941,5586,2020-06-02 00:00:00+00:00
82,12067,48,6240,5779,2020-06-03 00:00:00+00:00
83,12067,52,6606,5409,2020-06-04 00:00:00+00:00
84,12312,52,6903,5357,2020-06-05 00:00:00+00:00
85,12511,53,7135,5323,2020-06-06 00:00:00+00:00
86,12694,56,7376,5262,2020-06-07 00:00:00+00:00
87,12859,56,7376,5427,2020-06-08 00:00:00+00:00
88,13074,61,8015,4998,2020-06-09 00:00:00+00:00
89,13319,67,8345,4907,2020-06-10 00:00:00+00:00
90,13872,67,8593,5212,2020-06-11 00:00:00+00:00
91,13872,70,8829,4973,2020-06-12 00:00:00+00:00
92,14238,73,8829,5336,2020-06-13 00:00:00+00:00
93,14496,77,9188,5231,2020-06-14 00:00:00+00:00
94,15192,81,9388,5723,2020-06-15 00:00:00+00:00
95,15542,88,9647,5807,2020-06-16 00:00:00+00:00
96,15877,97,9920,5860,2020-06-17 00:00:00+00:00
97,15877,100,10065,5712,2020-06-18 00:00:00+00:00
98,16779,113,10411,6255,2020-06-19 00:00:00+00:00
99,17225,118,10671,6436,2020-06-20 00:00:00+00:00
100,17732,120,10897,6715,2020-06-21 00:00:00+00:00
101,18231,127,11158,6946,2020-06-22 00:00:00+00:00
102,18765,134,11514,7117,2020-06-23 00:00:00+00:00
