,KW_Confirmed,KW_Deaths,KW_Recovered,KW_Active,Date
0,1,0,0,1,2020-02-24 00:00:00+00:00
1,11,0,0,11,2020-02-25 00:00:00+00:00
2,26,0,0,26,2020-02-26 00:00:00+00:00
3,43,0,0,43,2020-02-27 00:00:00+00:00
4,45,0,0,45,2020-02-28 00:00:00+00:00
5,45,0,0,45,2020-02-29 00:00:00+00:00
6,45,0,0,45,2020-03-01 00:00:00+00:00
7,56,0,0,56,2020-03-02 00:00:00+00:00
8,56,0,0,56,2020-03-03 00:00:00+00:00
9,56,0,0,56,2020-03-04 00:00:00+00:00
10,58,0,0,58,2020-03-05 00:00:00+00:00
11,58,0,0,58,2020-03-06 00:00:00+00:00
12,61,0,0,61,2020-03-07 00:00:00+00:00
13,64,0,1,63,2020-03-08 00:00:00+00:00
14,64,0,1,63,2020-03-09 00:00:00+00:00
15,69,0,1,68,2020-03-10 00:00:00+00:00
16,72,0,2,70,2020-03-11 00:00:00+00:00
17,80,0,5,75,2020-03-12 00:00:00+00:00
18,80,0,5,75,2020-03-13 00:00:00+00:00
19,104,0,5,99,2020-03-14 00:00:00+00:00
20,112,0,5,107,2020-03-15 00:00:00+00:00
21,123,0,9,114,2020-03-16 00:00:00+00:00
22,130,0,9,121,2020-03-17 00:00:00+00:00
23,142,0,15,127,2020-03-18 00:00:00+00:00
24,148,0,18,130,2020-03-19 00:00:00+00:00
25,159,0,18,141,2020-03-20 00:00:00+00:00
26,176,0,27,149,2020-03-21 00:00:00+00:00
27,188,0,27,161,2020-03-22 00:00:00+00:00
28,189,0,27,162,2020-03-23 00:00:00+00:00
29,191,0,39,152,2020-03-24 00:00:00+00:00
30,195,0,43,152,2020-03-25 00:00:00+00:00
31,208,0,49,159,2020-03-26 00:00:00+00:00
32,225,0,57,168,2020-03-27 00:00:00+00:00
33,235,0,64,171,2020-03-28 00:00:00+00:00
34,255,0,67,188,2020-03-29 00:00:00+00:00
35,266,0,72,194,2020-03-30 00:00:00+00:00
36,289,0,73,216,2020-03-31 00:00:00+00:00
37,317,0,80,237,2020-04-01 00:00:00+00:00
