,LU_Confirmed,LU_Deaths,LU_Recovered,LU_Active,Date
0,1,0,0,1,2020-02-29 00:00:00+00:00
1,1,0,0,1,2020-03-01 00:00:00+00:00
2,1,0,0,1,2020-03-02 00:00:00+00:00
3,1,0,0,1,2020-03-03 00:00:00+00:00
4,1,0,0,1,2020-03-04 00:00:00+00:00
5,1,0,0,1,2020-03-05 00:00:00+00:00
6,2,0,0,2,2020-03-06 00:00:00+00:00
7,2,0,0,2,2020-03-07 00:00:00+00:00
8,3,0,0,3,2020-03-08 00:00:00+00:00
9,3,0,0,3,2020-03-09 00:00:00+00:00
10,5,0,0,5,2020-03-10 00:00:00+00:00
11,7,0,0,7,2020-03-11 00:00:00+00:00
12,19,0,0,19,2020-03-12 00:00:00+00:00
13,34,0,0,34,2020-03-13 00:00:00+00:00
14,51,1,0,50,2020-03-14 00:00:00+00:00
15,59,1,0,58,2020-03-15 00:00:00+00:00
16,77,1,0,76,2020-03-16 00:00:00+00:00
17,140,1,0,139,2020-03-17 00:00:00+00:00
18,203,2,0,201,2020-03-18 00:00:00+00:00
19,335,4,0,331,2020-03-19 00:00:00+00:00
20,484,4,0,480,2020-03-20 00:00:00+00:00
21,670,8,0,662,2020-03-21 00:00:00+00:00
22,798,8,6,784,2020-03-22 00:00:00+00:00
23,875,8,6,861,2020-03-23 00:00:00+00:00
24,1099,8,6,1085,2020-03-24 00:00:00+00:00
25,1333,8,6,1319,2020-03-25 00:00:00+00:00
26,1453,9,6,1438,2020-03-26 00:00:00+00:00
27,1605,15,40,1550,2020-03-27 00:00:00+00:00
28,1831,18,40,1773,2020-03-28 00:00:00+00:00
29,1950,21,40,1889,2020-03-29 00:00:00+00:00
30,1988,22,40,1926,2020-03-30 00:00:00+00:00
31,2178,23,80,2075,2020-03-31 00:00:00+00:00
32,2319,29,80,2210,2020-04-01 00:00:00+00:00
33,2487,30,80,2377,2020-04-02 00:00:00+00:00
34,2612,31,500,2081,2020-04-03 00:00:00+00:00
35,2729,31,500,2198,2020-04-04 00:00:00+00:00
36,2804,36,500,2268,2020-04-05 00:00:00+00:00
37,2843,41,500,2302,2020-04-06 00:00:00+00:00
38,2970,44,500,2426,2020-04-07 00:00:00+00:00
39,3034,46,500,2488,2020-04-08 00:00:00+00:00
40,3115,52,500,2563,2020-04-09 00:00:00+00:00
41,3223,54,500,2669,2020-04-10 00:00:00+00:00
42,3270,62,500,2708,2020-04-11 00:00:00+00:00
43,3281,66,500,2715,2020-04-12 00:00:00+00:00
44,3292,69,500,2723,2020-04-13 00:00:00+00:00
45,3307,67,500,2740,2020-04-14 00:00:00+00:00
46,3373,69,526,2778,2020-04-15 00:00:00+00:00
47,3444,69,552,2823,2020-04-16 00:00:00+00:00
48,3480,72,579,2829,2020-04-17 00:00:00+00:00
49,3537,72,601,2864,2020-04-18 00:00:00+00:00
50,3550,73,627,2850,2020-04-19 00:00:00+00:00
51,3558,75,637,2846,2020-04-20 00:00:00+00:00
52,3618,78,670,2870,2020-04-21 00:00:00+00:00
53,3654,80,711,2863,2020-04-22 00:00:00+00:00
54,3665,83,728,2854,2020-04-23 00:00:00+00:00
55,3695,85,3007,603,2020-04-24 00:00:00+00:00
56,3711,85,3088,538,2020-04-25 00:00:00+00:00
57,3723,88,3104,531,2020-04-26 00:00:00+00:00
58,3729,88,3123,518,2020-04-27 00:00:00+00:00
59,3741,89,3123,529,2020-04-28 00:00:00+00:00
60,3769,89,3134,546,2020-04-29 00:00:00+00:00
61,3784,90,3213,481,2020-04-30 00:00:00+00:00
62,3802,92,3213,497,2020-05-01 00:00:00+00:00
63,3812,92,3318,402,2020-05-02 00:00:00+00:00
64,3824,96,3379,349,2020-05-03 00:00:00+00:00
