,MX_Confirmed,MX_Deaths,MX_Recovered,MX_Active,Date
0,4661,296,1843,2522,2020-04-13 00:00:00+00:00
1,4661,296,1843,2522,2020-04-14 00:00:00+00:00
2,5014,332,1964,2718,2020-04-15 00:00:00+00:00
3,5847,449,2125,3273,2020-04-16 00:00:00+00:00
4,5847,449,2125,3273,2020-04-17 00:00:00+00:00
5,6875,546,2125,4204,2020-04-18 00:00:00+00:00
6,7497,650,2125,4722,2020-04-19 00:00:00+00:00
7,7497,650,2627,4220,2020-04-20 00:00:00+00:00
8,8261,686,2627,4948,2020-04-21 00:00:00+00:00
9,8772,712,2627,5433,2020-04-22 00:00:00+00:00
10,9501,857,2627,6017,2020-04-23 00:00:00+00:00
11,10544,970,2627,6947,2020-04-24 00:00:00+00:00
12,12872,1221,7149,4502,2020-04-25 00:00:00+00:00
13,12872,1221,7149,4502,2020-04-26 00:00:00+00:00
14,14677,1351,8354,4972,2020-04-27 00:00:00+00:00
15,14677,1351,8354,4972,2020-04-28 00:00:00+00:00
16,23471,2154,13447,7870,2020-05-04 00:00:00+00:00
17,23471,2154,13447,7870,2020-05-05 00:00:00+00:00
18,26025,2507,16810,6708,2020-05-06 00:00:00+00:00
