,NL_Confirmed,NL_Deaths,NL_Recovered,NL_Active,Date
0,1,0,0,1,2020-02-27 00:00:00+00:00
1,1,0,0,1,2020-02-28 00:00:00+00:00
2,6,0,0,6,2020-02-29 00:00:00+00:00
3,10,0,0,10,2020-03-01 00:00:00+00:00
4,18,0,0,18,2020-03-02 00:00:00+00:00
5,24,0,0,24,2020-03-03 00:00:00+00:00
6,38,0,0,38,2020-03-04 00:00:00+00:00
7,82,0,0,82,2020-03-05 00:00:00+00:00
8,128,1,0,127,2020-03-06 00:00:00+00:00
9,188,1,0,187,2020-03-07 00:00:00+00:00
10,265,3,0,262,2020-03-08 00:00:00+00:00
11,321,3,0,318,2020-03-09 00:00:00+00:00
12,382,4,0,378,2020-03-10 00:00:00+00:00
13,503,5,0,498,2020-03-11 00:00:00+00:00
14,503,5,0,498,2020-03-12 00:00:00+00:00
15,804,10,0,794,2020-03-13 00:00:00+00:00
16,2,0,0,2,2020-03-13 00:00:00+00:00
17,959,12,2,945,2020-03-14 00:00:00+00:00
18,2,0,0,2,2020-03-14 00:00:00+00:00
19,1,0,0,1,2020-03-14 00:00:00+00:00
20,1135,20,2,1113,2020-03-15 00:00:00+00:00
21,2,0,0,2,2020-03-15 00:00:00+00:00
22,1,0,0,1,2020-03-15 00:00:00+00:00
23,1413,24,2,1387,2020-03-16 00:00:00+00:00
24,2,0,0,2,2020-03-16 00:00:00+00:00
25,1,0,0,1,2020-03-16 00:00:00+00:00
26,1705,43,2,1660,2020-03-17 00:00:00+00:00
27,3,0,0,3,2020-03-17 00:00:00+00:00
28,3,0,0,3,2020-03-17 00:00:00+00:00
29,2051,58,2,1991,2020-03-18 00:00:00+00:00
30,4,0,0,4,2020-03-18 00:00:00+00:00
31,3,0,0,3,2020-03-18 00:00:00+00:00
32,2460,76,2,2382,2020-03-19 00:00:00+00:00
33,4,0,0,4,2020-03-19 00:00:00+00:00
34,3,1,0,2,2020-03-19 00:00:00+00:00
35,2994,106,2,2886,2020-03-20 00:00:00+00:00
36,5,0,0,5,2020-03-20 00:00:00+00:00
37,3,1,0,2,2020-03-20 00:00:00+00:00
38,1,0,0,1,2020-03-20 00:00:00+00:00
39,3631,136,2,3493,2020-03-21 00:00:00+00:00
40,5,0,0,5,2020-03-21 00:00:00+00:00
41,3,1,0,2,2020-03-21 00:00:00+00:00
42,1,0,0,1,2020-03-21 00:00:00+00:00
43,4204,179,2,4023,2020-03-22 00:00:00+00:00
44,9,0,0,9,2020-03-22 00:00:00+00:00
45,3,1,0,2,2020-03-22 00:00:00+00:00
46,1,0,0,1,2020-03-22 00:00:00+00:00
47,4749,213,2,4534,2020-03-23 00:00:00+00:00
48,9,0,0,9,2020-03-23 00:00:00+00:00
49,4,1,0,3,2020-03-23 00:00:00+00:00
50,2,0,0,2,2020-03-23 00:00:00+00:00
51,5560,276,2,5282,2020-03-24 00:00:00+00:00
52,12,0,1,11,2020-03-24 00:00:00+00:00
53,6,1,0,5,2020-03-24 00:00:00+00:00
54,2,0,0,2,2020-03-24 00:00:00+00:00
55,6412,356,3,6053,2020-03-25 00:00:00+00:00
56,17,0,1,16,2020-03-25 00:00:00+00:00
57,6,1,0,5,2020-03-25 00:00:00+00:00
58,3,0,0,3,2020-03-25 00:00:00+00:00
59,7431,434,3,6994,2020-03-26 00:00:00+00:00
60,28,0,1,27,2020-03-26 00:00:00+00:00
61,6,1,2,3,2020-03-26 00:00:00+00:00
62,3,0,0,3,2020-03-26 00:00:00+00:00
63,8603,546,3,8054,2020-03-27 00:00:00+00:00
64,33,0,1,32,2020-03-27 00:00:00+00:00
65,8,1,2,5,2020-03-27 00:00:00+00:00
66,3,0,0,3,2020-03-27 00:00:00+00:00
67,9762,639,3,9120,2020-03-28 00:00:00+00:00
68,46,0,1,45,2020-03-28 00:00:00+00:00
69,8,1,2,5,2020-03-28 00:00:00+00:00
70,3,0,0,3,2020-03-28 00:00:00+00:00
71,10866,771,250,9845,2020-03-29 00:00:00+00:00
72,50,0,1,49,2020-03-29 00:00:00+00:00
73,8,1,2,5,2020-03-29 00:00:00+00:00
74,6,0,0,6,2020-03-29 00:00:00+00:00
75,11750,864,250,10636,2020-03-30 00:00:00+00:00
76,50,0,1,49,2020-03-30 00:00:00+00:00
77,11,1,2,8,2020-03-30 00:00:00+00:00
78,6,0,0,6,2020-03-30 00:00:00+00:00
79,12595,1039,250,11306,2020-03-31 00:00:00+00:00
80,55,0,1,54,2020-03-31 00:00:00+00:00
81,11,1,2,8,2020-03-31 00:00:00+00:00
82,6,0,0,6,2020-03-31 00:00:00+00:00
83,13614,1173,250,12191,2020-04-01 00:00:00+00:00
84,55,0,1,54,2020-04-01 00:00:00+00:00
85,11,1,3,7,2020-04-01 00:00:00+00:00
86,16,1,6,9,2020-04-01 00:00:00+00:00
87,14697,1339,250,13108,2020-04-02 00:00:00+00:00
88,60,0,1,59,2020-04-02 00:00:00+00:00
89,2,0,0,2,2020-04-02 00:00:00+00:00
90,11,1,3,7,2020-04-02 00:00:00+00:00
91,18,1,6,11,2020-04-02 00:00:00+00:00
92,15723,1487,250,13986,2020-04-03 00:00:00+00:00
93,62,0,1,61,2020-04-03 00:00:00+00:00
94,2,0,0,2,2020-04-03 00:00:00+00:00
95,11,1,3,7,2020-04-03 00:00:00+00:00
96,23,2,6,15,2020-04-03 00:00:00+00:00
97,16627,1651,250,14726,2020-04-04 00:00:00+00:00
98,64,0,1,63,2020-04-04 00:00:00+00:00
99,2,0,0,2,2020-04-04 00:00:00+00:00
100,11,1,5,5,2020-04-04 00:00:00+00:00
101,23,4,6,13,2020-04-04 00:00:00+00:00
102,17851,1766,250,15835,2020-04-05 00:00:00+00:00
103,64,0,1,63,2020-04-05 00:00:00+00:00
104,2,0,0,2,2020-04-05 00:00:00+00:00
105,11,1,5,5,2020-04-05 00:00:00+00:00
106,25,4,1,20,2020-04-05 00:00:00+00:00
107,18803,1867,250,16686,2020-04-06 00:00:00+00:00
108,71,0,2,69,2020-04-06 00:00:00+00:00
109,2,0,0,2,2020-04-06 00:00:00+00:00
110,13,1,5,7,2020-04-06 00:00:00+00:00
111,37,6,1,30,2020-04-06 00:00:00+00:00
112,19580,2101,250,17229,2020-04-07 00:00:00+00:00
113,74,0,14,60,2020-04-07 00:00:00+00:00
114,2,0,0,2,2020-04-07 00:00:00+00:00
115,13,1,7,5,2020-04-07 00:00:00+00:00
116,40,6,1,33,2020-04-07 00:00:00+00:00
117,20549,2248,250,18051,2020-04-08 00:00:00+00:00
118,77,0,14,63,2020-04-08 00:00:00+00:00
119,2,0,0,2,2020-04-08 00:00:00+00:00
120,14,1,7,6,2020-04-08 00:00:00+00:00
121,40,6,1,33,2020-04-08 00:00:00+00:00
122,21762,2396,250,19116,2020-04-09 00:00:00+00:00
123,82,0,20,62,2020-04-09 00:00:00+00:00
124,2,0,0,2,2020-04-09 00:00:00+00:00
125,14,1,7,6,2020-04-09 00:00:00+00:00
126,43,6,1,36,2020-04-09 00:00:00+00:00
127,23097,2511,250,20336,2020-04-10 00:00:00+00:00
128,86,0,27,59,2020-04-10 00:00:00+00:00
129,2,0,0,2,2020-04-10 00:00:00+00:00
130,14,1,7,6,2020-04-10 00:00:00+00:00
131,50,8,3,39,2020-04-10 00:00:00+00:00
132,24413,2643,250,21520,2020-04-11 00:00:00+00:00
133,92,0,29,63,2020-04-11 00:00:00+00:00
134,2,0,0,2,2020-04-11 00:00:00+00:00
135,14,1,7,6,2020-04-11 00:00:00+00:00
136,50,9,5,36,2020-04-11 00:00:00+00:00
137,25587,2737,250,22600,2020-04-12 00:00:00+00:00
138,92,0,32,60,2020-04-12 00:00:00+00:00
139,3,0,0,3,2020-04-12 00:00:00+00:00
140,14,1,8,5,2020-04-12 00:00:00+00:00
141,50,9,5,36,2020-04-12 00:00:00+00:00
142,26551,2823,250,23478,2020-04-13 00:00:00+00:00
143,92,0,32,60,2020-04-13 00:00:00+00:00
144,3,0,0,3,2020-04-13 00:00:00+00:00
145,14,1,8,5,2020-04-13 00:00:00+00:00
146,50,9,5,36,2020-04-13 00:00:00+00:00
147,27419,2945,250,24224,2020-04-14 00:00:00+00:00
148,92,0,32,60,2020-04-14 00:00:00+00:00
149,3,0,0,3,2020-04-14 00:00:00+00:00
150,14,1,10,3,2020-04-14 00:00:00+00:00
151,52,9,5,38,2020-04-14 00:00:00+00:00
152,28153,3134,250,24769,2020-04-15 00:00:00+00:00
153,93,1,39,53,2020-04-15 00:00:00+00:00
154,3,0,0,3,2020-04-15 00:00:00+00:00
155,14,1,10,3,2020-04-15 00:00:00+00:00
156,53,9,5,39,2020-04-15 00:00:00+00:00
157,29214,3315,250,25649,2020-04-16 00:00:00+00:00
158,95,2,39,54,2020-04-16 00:00:00+00:00
159,3,0,0,3,2020-04-16 00:00:00+00:00
160,14,1,10,3,2020-04-16 00:00:00+00:00
161,57,9,12,36,2020-04-16 00:00:00+00:00
162,30449,3459,250,26740,2020-04-17 00:00:00+00:00
163,96,2,43,51,2020-04-17 00:00:00+00:00
