,NO_Confirmed,NO_Deaths,NO_Recovered,NO_Active,Date
0,1,0,0,1,2020-02-26 00:00:00+00:00
1,1,0,0,1,2020-02-27 00:00:00+00:00
2,6,0,0,6,2020-02-28 00:00:00+00:00
3,15,0,0,15,2020-02-29 00:00:00+00:00
4,19,0,0,19,2020-03-01 00:00:00+00:00
5,25,0,0,25,2020-03-02 00:00:00+00:00
6,32,0,0,32,2020-03-03 00:00:00+00:00
7,56,0,0,56,2020-03-04 00:00:00+00:00
8,87,0,0,87,2020-03-05 00:00:00+00:00
9,108,0,0,108,2020-03-06 00:00:00+00:00
10,147,0,0,147,2020-03-07 00:00:00+00:00
11,176,0,0,176,2020-03-08 00:00:00+00:00
12,205,0,1,204,2020-03-09 00:00:00+00:00
13,400,0,1,399,2020-03-10 00:00:00+00:00
14,598,0,1,597,2020-03-11 00:00:00+00:00
15,702,0,1,701,2020-03-12 00:00:00+00:00
16,996,0,1,995,2020-03-13 00:00:00+00:00
17,1090,3,1,1086,2020-03-14 00:00:00+00:00
18,1221,3,1,1217,2020-03-15 00:00:00+00:00
19,1333,3,1,1329,2020-03-16 00:00:00+00:00
20,1463,3,1,1459,2020-03-17 00:00:00+00:00
21,1550,6,1,1543,2020-03-18 00:00:00+00:00
22,1746,7,1,1738,2020-03-19 00:00:00+00:00
23,1914,7,1,1906,2020-03-20 00:00:00+00:00
24,2118,7,1,2110,2020-03-21 00:00:00+00:00
25,2385,7,1,2377,2020-03-22 00:00:00+00:00
26,2621,10,1,2610,2020-03-23 00:00:00+00:00
27,2863,12,6,2845,2020-03-24 00:00:00+00:00
28,3084,14,6,3064,2020-03-25 00:00:00+00:00
29,3369,14,6,3349,2020-03-26 00:00:00+00:00
30,3755,19,6,3730,2020-03-27 00:00:00+00:00
31,4015,23,7,3985,2020-03-28 00:00:00+00:00
32,4284,25,7,4252,2020-03-29 00:00:00+00:00
33,4445,32,12,4401,2020-03-30 00:00:00+00:00
34,4641,39,13,4589,2020-03-31 00:00:00+00:00
35,4863,44,13,4806,2020-04-01 00:00:00+00:00
36,5147,50,32,5065,2020-04-02 00:00:00+00:00
37,5370,59,32,5279,2020-04-03 00:00:00+00:00
38,5550,62,32,5456,2020-04-04 00:00:00+00:00
39,5687,71,32,5584,2020-04-05 00:00:00+00:00
40,5865,76,32,5757,2020-04-06 00:00:00+00:00
41,6086,89,32,5965,2020-04-07 00:00:00+00:00
42,6086,101,32,5953,2020-04-08 00:00:00+00:00
43,6211,108,32,6071,2020-04-09 00:00:00+00:00
44,6314,113,32,6169,2020-04-10 00:00:00+00:00
45,6409,119,32,6258,2020-04-11 00:00:00+00:00
46,6525,128,32,6365,2020-04-12 00:00:00+00:00
47,6603,134,32,6437,2020-04-13 00:00:00+00:00
48,6623,139,32,6452,2020-04-14 00:00:00+00:00
49,6740,150,32,6558,2020-04-15 00:00:00+00:00
50,6896,152,32,6712,2020-04-16 00:00:00+00:00
51,6937,161,32,6744,2020-04-17 00:00:00+00:00
52,7036,164,32,6840,2020-04-18 00:00:00+00:00
53,7078,165,32,6881,2020-04-19 00:00:00+00:00
54,7156,181,32,6943,2020-04-20 00:00:00+00:00
55,7191,182,32,6977,2020-04-21 00:00:00+00:00
56,7338,187,32,7119,2020-04-22 00:00:00+00:00
57,7401,194,32,7175,2020-04-23 00:00:00+00:00
58,7463,199,32,7232,2020-04-24 00:00:00+00:00
59,7499,201,32,7266,2020-04-25 00:00:00+00:00
60,7527,201,32,7294,2020-04-26 00:00:00+00:00
61,7599,205,32,7362,2020-04-27 00:00:00+00:00
62,7660,206,32,7422,2020-04-28 00:00:00+00:00
63,7710,207,32,7471,2020-04-29 00:00:00+00:00
64,7738,210,32,7496,2020-04-30 00:00:00+00:00
65,7783,210,32,7541,2020-05-01 00:00:00+00:00
66,7809,211,32,7566,2020-05-02 00:00:00+00:00
67,7847,211,32,7604,2020-05-03 00:00:00+00:00
68,7904,214,32,7658,2020-05-04 00:00:00+00:00
69,7955,215,32,7708,2020-05-05 00:00:00+00:00
70,7996,216,32,7748,2020-05-06 00:00:00+00:00
71,8034,217,32,7785,2020-05-07 00:00:00+00:00
72,8070,218,32,7820,2020-05-08 00:00:00+00:00
73,8099,219,32,7848,2020-05-09 00:00:00+00:00
74,8105,219,32,7854,2020-05-10 00:00:00+00:00
75,8132,224,32,7876,2020-05-11 00:00:00+00:00
76,8157,228,32,7897,2020-05-12 00:00:00+00:00
77,8175,229,32,7914,2020-05-13 00:00:00+00:00
78,8196,232,32,7932,2020-05-14 00:00:00+00:00
79,8219,232,32,7955,2020-05-15 00:00:00+00:00
80,8237,232,32,7973,2020-05-16 00:00:00+00:00
81,8249,232,32,7985,2020-05-17 00:00:00+00:00
82,8257,233,32,7992,2020-05-18 00:00:00+00:00
83,8267,233,32,8002,2020-05-19 00:00:00+00:00
84,8281,234,32,8015,2020-05-20 00:00:00+00:00
85,8309,235,32,8042,2020-05-21 00:00:00+00:00
86,8332,235,7727,370,2020-05-22 00:00:00+00:00
87,8346,235,7727,384,2020-05-23 00:00:00+00:00
88,8352,235,7727,390,2020-05-24 00:00:00+00:00
89,8364,235,7727,402,2020-05-25 00:00:00+00:00
90,8383,235,7727,421,2020-05-26 00:00:00+00:00
91,8401,235,7727,439,2020-05-27 00:00:00+00:00
92,8411,236,7727,448,2020-05-28 00:00:00+00:00
93,8422,236,7727,459,2020-05-29 00:00:00+00:00
94,8437,236,7727,474,2020-05-30 00:00:00+00:00
95,8440,236,7727,477,2020-05-31 00:00:00+00:00
96,8446,236,7727,483,2020-06-01 00:00:00+00:00
97,8455,237,7727,491,2020-06-02 00:00:00+00:00
98,8477,237,7727,513,2020-06-03 00:00:00+00:00
99,8504,238,8138,128,2020-06-04 00:00:00+00:00
100,8522,238,8138,146,2020-06-05 00:00:00+00:00
101,8531,238,8138,155,2020-06-06 00:00:00+00:00
102,8547,238,8138,171,2020-06-07 00:00:00+00:00
103,8561,239,8138,184,2020-06-08 00:00:00+00:00
104,8576,239,8138,199,2020-06-09 00:00:00+00:00
105,8594,239,8138,217,2020-06-10 00:00:00+00:00
106,8608,242,8138,228,2020-06-11 00:00:00+00:00
107,8620,242,8138,240,2020-06-12 00:00:00+00:00
108,8628,242,8138,248,2020-06-13 00:00:00+00:00
109,8631,242,8138,251,2020-06-14 00:00:00+00:00
110,8647,242,8138,267,2020-06-15 00:00:00+00:00
111,8660,242,8138,280,2020-06-16 00:00:00+00:00
112,8692,243,8138,311,2020-06-17 00:00:00+00:00
113,8708,244,8138,326,2020-06-18 00:00:00+00:00
114,8726,244,8138,344,2020-06-19 00:00:00+00:00
115,8742,244,8138,360,2020-06-20 00:00:00+00:00
116,8745,244,8138,363,2020-06-21 00:00:00+00:00
117,8751,248,8138,365,2020-06-22 00:00:00+00:00
118,8772,248,8138,386,2020-06-23 00:00:00+00:00
