,OM_Confirmed,OM_Deaths,OM_Recovered,OM_Active,Date
0,599,4,109,486,2020-04-13 00:00:00+00:00
1,727,4,124,599,2020-04-14 00:00:00+00:00
2,813,4,130,679,2020-04-15 00:00:00+00:00
3,1019,4,176,839,2020-04-16 00:00:00+00:00
4,1019,4,176,839,2020-04-17 00:00:00+00:00
5,1069,6,176,887,2020-04-18 00:00:00+00:00
6,1180,6,176,998,2020-04-19 00:00:00+00:00
7,1266,7,233,1026,2020-04-20 00:00:00+00:00
8,1410,7,238,1165,2020-04-21 00:00:00+00:00
9,1508,8,238,1262,2020-04-22 00:00:00+00:00
10,1614,8,238,1368,2020-04-23 00:00:00+00:00
11,1716,9,307,1400,2020-04-24 00:00:00+00:00
12,1790,10,325,1455,2020-04-25 00:00:00+00:00
13,1905,10,329,1566,2020-04-26 00:00:00+00:00
14,1998,10,333,1655,2020-04-27 00:00:00+00:00
15,2049,10,364,1675,2020-04-28 00:00:00+00:00
16,2568,12,750,1806,2020-05-04 00:00:00+00:00
17,2637,12,816,1809,2020-05-05 00:00:00+00:00
18,2735,13,858,1864,2020-05-06 00:00:00+00:00
