,PE_Confirmed,PE_Deaths,PE_Recovered,PE_Active,Date
0,1,0,0,1,2020-03-06 00:00:00+00:00
1,1,0,0,1,2020-03-07 00:00:00+00:00
2,6,0,0,6,2020-03-08 00:00:00+00:00
3,7,0,0,7,2020-03-09 00:00:00+00:00
4,11,0,0,11,2020-03-10 00:00:00+00:00
5,11,0,0,11,2020-03-11 00:00:00+00:00
6,15,0,0,15,2020-03-12 00:00:00+00:00
7,28,0,0,28,2020-03-13 00:00:00+00:00
8,38,0,0,38,2020-03-14 00:00:00+00:00
9,43,0,0,43,2020-03-15 00:00:00+00:00
10,86,0,0,86,2020-03-16 00:00:00+00:00
11,117,0,1,116,2020-03-17 00:00:00+00:00
12,145,0,1,144,2020-03-18 00:00:00+00:00
13,234,0,1,233,2020-03-19 00:00:00+00:00
14,234,3,1,230,2020-03-20 00:00:00+00:00
15,318,5,1,312,2020-03-21 00:00:00+00:00
16,363,5,1,357,2020-03-22 00:00:00+00:00
17,395,5,1,389,2020-03-23 00:00:00+00:00
18,416,7,1,408,2020-03-24 00:00:00+00:00
19,480,9,1,470,2020-03-25 00:00:00+00:00
20,580,9,14,557,2020-03-26 00:00:00+00:00
21,635,11,16,608,2020-03-27 00:00:00+00:00
22,671,16,16,639,2020-03-28 00:00:00+00:00
23,852,18,16,818,2020-03-29 00:00:00+00:00
24,950,24,53,873,2020-03-30 00:00:00+00:00
25,1065,30,394,641,2020-03-31 00:00:00+00:00
26,1323,38,394,891,2020-04-01 00:00:00+00:00
27,1414,55,537,822,2020-04-02 00:00:00+00:00
28,1595,61,537,997,2020-04-03 00:00:00+00:00
29,1746,73,914,759,2020-04-04 00:00:00+00:00
30,2281,83,989,1209,2020-04-05 00:00:00+00:00
31,2561,92,997,1472,2020-04-06 00:00:00+00:00
32,2954,107,1301,1546,2020-04-07 00:00:00+00:00
33,4342,121,1333,2888,2020-04-08 00:00:00+00:00
34,5256,138,1438,3680,2020-04-09 00:00:00+00:00
35,5897,169,1569,4159,2020-04-10 00:00:00+00:00
36,6848,181,1739,4928,2020-04-11 00:00:00+00:00
37,7519,193,1798,5528,2020-04-12 00:00:00+00:00
38,9784,216,2642,6926,2020-04-13 00:00:00+00:00
39,10303,230,2869,7204,2020-04-14 00:00:00+00:00
40,11475,254,3108,8113,2020-04-15 00:00:00+00:00
41,12491,274,6120,6097,2020-04-16 00:00:00+00:00
42,13489,300,6541,6648,2020-04-17 00:00:00+00:00
43,14420,348,6684,7388,2020-04-18 00:00:00+00:00
44,15628,400,6811,8417,2020-04-19 00:00:00+00:00
45,16325,445,6968,8912,2020-04-20 00:00:00+00:00
46,17837,484,6982,10371,2020-04-21 00:00:00+00:00
47,19250,530,7027,11693,2020-04-22 00:00:00+00:00
48,20914,572,7422,12920,2020-04-23 00:00:00+00:00
49,21648,634,7496,13518,2020-04-24 00:00:00+00:00
50,25331,700,7797,16834,2020-04-25 00:00:00+00:00
51,27517,728,8088,18701,2020-04-26 00:00:00+00:00
52,28699,782,8425,19492,2020-04-27 00:00:00+00:00
53,31190,854,9179,21157,2020-04-28 00:00:00+00:00
54,33931,943,10037,22951,2020-04-29 00:00:00+00:00
