,PL_Confirmed,PL_Deaths,PL_Recovered,PL_Active,Date
0,1,0,0,1,2020-03-04 00:00:00+00:00
1,1,0,0,1,2020-03-05 00:00:00+00:00
2,5,0,0,5,2020-03-06 00:00:00+00:00
3,5,0,0,5,2020-03-07 00:00:00+00:00
4,11,0,0,11,2020-03-08 00:00:00+00:00
5,16,0,0,16,2020-03-09 00:00:00+00:00
6,22,0,0,22,2020-03-10 00:00:00+00:00
7,31,0,0,31,2020-03-11 00:00:00+00:00
8,49,1,0,48,2020-03-12 00:00:00+00:00
9,68,2,0,66,2020-03-13 00:00:00+00:00
10,103,3,0,100,2020-03-14 00:00:00+00:00
11,119,3,0,116,2020-03-15 00:00:00+00:00
12,177,4,13,160,2020-03-16 00:00:00+00:00
13,238,5,13,220,2020-03-17 00:00:00+00:00
14,251,5,13,233,2020-03-18 00:00:00+00:00
15,355,5,1,349,2020-03-19 00:00:00+00:00
16,425,5,1,419,2020-03-20 00:00:00+00:00
17,536,5,1,530,2020-03-21 00:00:00+00:00
18,634,7,1,626,2020-03-22 00:00:00+00:00
19,749,8,1,740,2020-03-23 00:00:00+00:00
20,901,10,1,890,2020-03-24 00:00:00+00:00
21,1051,14,7,1030,2020-03-25 00:00:00+00:00
22,1221,16,7,1198,2020-03-26 00:00:00+00:00
23,1389,16,7,1366,2020-03-27 00:00:00+00:00
24,1638,18,7,1613,2020-03-28 00:00:00+00:00
25,1862,22,7,1833,2020-03-29 00:00:00+00:00
26,2055,31,7,2017,2020-03-30 00:00:00+00:00
27,2311,33,7,2271,2020-03-31 00:00:00+00:00
28,2554,43,47,2464,2020-04-01 00:00:00+00:00
29,2946,57,56,2833,2020-04-02 00:00:00+00:00
30,3383,71,56,3256,2020-04-03 00:00:00+00:00
31,3627,79,116,3432,2020-04-04 00:00:00+00:00
32,4102,94,134,3874,2020-04-05 00:00:00+00:00
33,4413,107,162,4144,2020-04-06 00:00:00+00:00
34,4848,129,191,4528,2020-04-07 00:00:00+00:00
35,5205,159,222,4824,2020-04-08 00:00:00+00:00
36,5575,174,284,5117,2020-04-09 00:00:00+00:00
37,5955,181,318,5456,2020-04-10 00:00:00+00:00
38,6356,208,375,5773,2020-04-11 00:00:00+00:00
39,6674,232,439,6003,2020-04-12 00:00:00+00:00
40,6934,245,487,6202,2020-04-13 00:00:00+00:00
41,7202,263,618,6321,2020-04-14 00:00:00+00:00
42,7582,286,668,6628,2020-04-15 00:00:00+00:00
43,7918,314,774,6830,2020-04-16 00:00:00+00:00
44,8379,332,866,7181,2020-04-17 00:00:00+00:00
45,8742,347,981,7414,2020-04-18 00:00:00+00:00
46,9287,360,1040,7887,2020-04-19 00:00:00+00:00
47,9593,380,1133,8080,2020-04-20 00:00:00+00:00
48,9856,401,1297,8158,2020-04-21 00:00:00+00:00
49,10169,426,1513,8230,2020-04-22 00:00:00+00:00
50,10511,454,1740,8317,2020-04-23 00:00:00+00:00
51,10892,494,1944,8454,2020-04-24 00:00:00+00:00
52,11273,524,2126,8623,2020-04-25 00:00:00+00:00
53,11617,535,2265,8817,2020-04-26 00:00:00+00:00
54,11902,562,2466,8874,2020-04-27 00:00:00+00:00
55,12218,596,2655,8967,2020-04-28 00:00:00+00:00
56,12640,624,3025,8991,2020-04-29 00:00:00+00:00
57,12877,644,3236,8997,2020-04-30 00:00:00+00:00
58,13105,651,3491,8963,2020-05-01 00:00:00+00:00
59,13375,664,3762,8949,2020-05-02 00:00:00+00:00
60,13693,678,3945,9070,2020-05-03 00:00:00+00:00
61,14006,698,4095,9213,2020-05-04 00:00:00+00:00
62,14431,716,4280,9435,2020-05-05 00:00:00+00:00
63,14740,733,4655,9352,2020-05-06 00:00:00+00:00
64,15047,755,4862,9430,2020-05-07 00:00:00+00:00
65,15366,776,5184,9406,2020-05-08 00:00:00+00:00
66,15651,785,5437,9429,2020-05-09 00:00:00+00:00
67,15996,800,5698,9498,2020-05-10 00:00:00+00:00
68,16326,811,5816,9699,2020-05-11 00:00:00+00:00
69,16921,839,6131,9951,2020-05-12 00:00:00+00:00
70,17204,861,6410,9933,2020-05-13 00:00:00+00:00
71,17615,883,6696,10036,2020-05-14 00:00:00+00:00
72,18016,907,6918,10191,2020-05-15 00:00:00+00:00
73,18257,915,7175,10167,2020-05-16 00:00:00+00:00
74,18529,925,7451,10153,2020-05-17 00:00:00+00:00
75,18885,936,7628,10321,2020-05-18 00:00:00+00:00
76,19268,948,7903,10417,2020-05-19 00:00:00+00:00
77,19739,962,8183,10594,2020-05-20 00:00:00+00:00
78,20143,972,8452,10719,2020-05-21 00:00:00+00:00
79,20619,982,8731,10906,2020-05-22 00:00:00+00:00
80,20931,993,8977,10961,2020-05-23 00:00:00+00:00
81,21326,996,9194,11136,2020-05-24 00:00:00+00:00
82,21631,1007,9276,11348,2020-05-25 00:00:00+00:00
83,22074,1024,10020,11030,2020-05-26 00:00:00+00:00
84,22473,1028,10330,11115,2020-05-27 00:00:00+00:00
85,22825,1038,10560,11227,2020-05-28 00:00:00+00:00
86,23155,1051,10692,11412,2020-05-29 00:00:00+00:00
87,23571,1061,11016,11494,2020-05-30 00:00:00+00:00
88,23786,1064,11271,11451,2020-05-31 00:00:00+00:00
89,24165,1074,11449,11642,2020-06-01 00:00:00+00:00
90,24395,1092,11726,11577,2020-06-02 00:00:00+00:00
91,24687,1115,12014,11558,2020-06-03 00:00:00+00:00
92,25048,1117,12227,11704,2020-06-04 00:00:00+00:00
93,25410,1137,12410,11863,2020-06-05 00:00:00+00:00
94,25986,1153,12641,12192,2020-06-06 00:00:00+00:00
95,26561,1157,12855,12549,2020-06-07 00:00:00+00:00
96,27160,1166,12998,12996,2020-06-08 00:00:00+00:00
97,27560,1183,13196,13181,2020-06-09 00:00:00+00:00
98,27842,1206,13411,13225,2020-06-10 00:00:00+00:00
99,28201,1215,13696,13290,2020-06-11 00:00:00+00:00
100,28577,1222,13805,13550,2020-06-12 00:00:00+00:00
101,29017,1237,14104,13676,2020-06-13 00:00:00+00:00
102,29392,1247,14226,13919,2020-06-14 00:00:00+00:00
103,29788,1256,14383,14149,2020-06-15 00:00:00+00:00
104,30195,1272,14654,14269,2020-06-16 00:00:00+00:00
105,30701,1286,14921,14494,2020-06-17 00:00:00+00:00
106,31015,1316,15317,14382,2020-06-18 00:00:00+00:00
107,31316,1334,15698,14284,2020-06-19 00:00:00+00:00
108,31620,1346,16181,14093,2020-06-20 00:00:00+00:00
109,31931,1356,16683,13892,2020-06-21 00:00:00+00:00
110,32227,1359,17076,13792,2020-06-22 00:00:00+00:00
111,32527,1375,17573,13579,2020-06-23 00:00:00+00:00
