,PT_Confirmed,PT_Deaths,PT_Recovered,PT_Active,Date
0,2,0,0,2,2020-03-02 00:00:00+00:00
1,2,0,0,2,2020-03-03 00:00:00+00:00
2,5,0,0,5,2020-03-04 00:00:00+00:00
3,8,0,0,8,2020-03-05 00:00:00+00:00
4,13,0,0,13,2020-03-06 00:00:00+00:00
5,20,0,0,20,2020-03-07 00:00:00+00:00
6,30,0,0,30,2020-03-08 00:00:00+00:00
7,30,0,0,30,2020-03-09 00:00:00+00:00
8,41,0,0,41,2020-03-10 00:00:00+00:00
9,59,0,0,59,2020-03-11 00:00:00+00:00
10,59,0,0,59,2020-03-12 00:00:00+00:00
11,112,0,1,111,2020-03-13 00:00:00+00:00
12,169,0,2,167,2020-03-14 00:00:00+00:00
13,245,0,2,243,2020-03-15 00:00:00+00:00
14,331,0,3,328,2020-03-16 00:00:00+00:00
15,448,1,3,444,2020-03-17 00:00:00+00:00
16,448,2,3,443,2020-03-18 00:00:00+00:00
17,785,3,3,779,2020-03-19 00:00:00+00:00
18,1020,6,5,1009,2020-03-20 00:00:00+00:00
19,1280,12,5,1263,2020-03-21 00:00:00+00:00
20,1600,14,5,1581,2020-03-22 00:00:00+00:00
21,2060,23,5,2032,2020-03-23 00:00:00+00:00
22,2362,33,22,2307,2020-03-24 00:00:00+00:00
23,2995,43,22,2930,2020-03-25 00:00:00+00:00
24,3544,60,43,3441,2020-03-26 00:00:00+00:00
25,4268,76,43,4149,2020-03-27 00:00:00+00:00
26,5170,100,43,5027,2020-03-28 00:00:00+00:00
27,5962,119,43,5800,2020-03-29 00:00:00+00:00
28,6408,140,43,6225,2020-03-30 00:00:00+00:00
29,7443,160,43,7240,2020-03-31 00:00:00+00:00
30,8251,187,43,8021,2020-04-01 00:00:00+00:00
31,9034,209,68,8757,2020-04-02 00:00:00+00:00
32,9886,246,68,9572,2020-04-03 00:00:00+00:00
33,10524,266,75,10183,2020-04-04 00:00:00+00:00
34,11278,295,75,10908,2020-04-05 00:00:00+00:00
35,11730,311,140,11279,2020-04-06 00:00:00+00:00
36,12442,345,184,11913,2020-04-07 00:00:00+00:00
37,13141,380,196,12565,2020-04-08 00:00:00+00:00
38,13956,409,205,13342,2020-04-09 00:00:00+00:00
39,15472,435,233,14804,2020-04-10 00:00:00+00:00
40,15987,470,266,15251,2020-04-11 00:00:00+00:00
41,16585,504,277,15804,2020-04-12 00:00:00+00:00
42,16934,535,277,16122,2020-04-13 00:00:00+00:00
43,17448,567,347,16534,2020-04-14 00:00:00+00:00
44,18091,599,383,17109,2020-04-15 00:00:00+00:00
45,18841,629,493,17719,2020-04-16 00:00:00+00:00
46,19022,657,519,17846,2020-04-17 00:00:00+00:00
47,19685,687,610,18388,2020-04-18 00:00:00+00:00
48,20206,714,610,18882,2020-04-19 00:00:00+00:00
49,20863,735,610,19518,2020-04-20 00:00:00+00:00
50,21379,762,917,19700,2020-04-21 00:00:00+00:00
51,21982,785,1143,20054,2020-04-22 00:00:00+00:00
52,22353,820,1201,20332,2020-04-23 00:00:00+00:00
53,22797,854,1228,20715,2020-04-24 00:00:00+00:00
54,23392,880,1277,21235,2020-04-25 00:00:00+00:00
55,23864,903,1329,21632,2020-04-26 00:00:00+00:00
56,24027,928,1357,21742,2020-04-27 00:00:00+00:00
57,24322,948,1389,21985,2020-04-28 00:00:00+00:00
58,24505,973,1470,22062,2020-04-29 00:00:00+00:00
59,25045,989,1519,22537,2020-04-30 00:00:00+00:00
60,25351,1007,1647,22697,2020-05-01 00:00:00+00:00
61,25190,1023,1671,22496,2020-05-02 00:00:00+00:00
62,25282,1043,1689,22550,2020-05-03 00:00:00+00:00
63,25524,1063,1712,22749,2020-05-04 00:00:00+00:00
64,25702,1074,1743,22885,2020-05-05 00:00:00+00:00
65,26182,1089,2076,23017,2020-05-06 00:00:00+00:00
