,RU_Confirmed,RU_Deaths,RU_Recovered,RU_Active,Date
0,2,0,0,2,2020-01-31 00:00:00+00:00
1,2,0,0,2,2020-02-01 00:00:00+00:00
2,2,0,0,2,2020-02-02 00:00:00+00:00
3,2,0,0,2,2020-02-03 00:00:00+00:00
4,2,0,0,2,2020-02-04 00:00:00+00:00
5,2,0,0,2,2020-02-05 00:00:00+00:00
6,2,0,0,2,2020-02-06 00:00:00+00:00
7,2,0,0,2,2020-02-07 00:00:00+00:00
8,2,0,0,2,2020-02-08 00:00:00+00:00
9,2,0,0,2,2020-02-09 00:00:00+00:00
10,2,0,0,2,2020-02-10 00:00:00+00:00
11,2,0,0,2,2020-02-11 00:00:00+00:00
12,2,0,2,0,2020-02-12 00:00:00+00:00
13,2,0,2,0,2020-02-13 00:00:00+00:00
14,2,0,2,0,2020-02-14 00:00:00+00:00
15,2,0,2,0,2020-02-15 00:00:00+00:00
16,2,0,2,0,2020-02-16 00:00:00+00:00
17,2,0,2,0,2020-02-17 00:00:00+00:00
18,2,0,2,0,2020-02-18 00:00:00+00:00
19,2,0,2,0,2020-02-19 00:00:00+00:00
20,2,0,2,0,2020-02-20 00:00:00+00:00
21,2,0,2,0,2020-02-21 00:00:00+00:00
22,2,0,2,0,2020-02-22 00:00:00+00:00
23,2,0,2,0,2020-02-23 00:00:00+00:00
24,2,0,2,0,2020-02-24 00:00:00+00:00
25,2,0,2,0,2020-02-25 00:00:00+00:00
26,2,0,2,0,2020-02-26 00:00:00+00:00
27,2,0,2,0,2020-02-27 00:00:00+00:00
28,2,0,2,0,2020-02-28 00:00:00+00:00
29,2,0,2,0,2020-02-29 00:00:00+00:00
30,2,0,2,0,2020-03-01 00:00:00+00:00
31,3,0,2,1,2020-03-02 00:00:00+00:00
32,3,0,2,1,2020-03-03 00:00:00+00:00
33,3,0,2,1,2020-03-04 00:00:00+00:00
34,4,0,2,2,2020-03-05 00:00:00+00:00
35,13,0,2,11,2020-03-06 00:00:00+00:00
36,13,0,2,11,2020-03-07 00:00:00+00:00
37,17,0,3,14,2020-03-08 00:00:00+00:00
38,17,0,3,14,2020-03-09 00:00:00+00:00
39,20,0,3,17,2020-03-10 00:00:00+00:00
40,20,0,3,17,2020-03-11 00:00:00+00:00
41,28,0,3,25,2020-03-12 00:00:00+00:00
42,45,0,3,42,2020-03-13 00:00:00+00:00
43,59,0,8,51,2020-03-14 00:00:00+00:00
44,63,0,8,55,2020-03-15 00:00:00+00:00
45,90,0,8,82,2020-03-16 00:00:00+00:00
46,114,0,8,106,2020-03-17 00:00:00+00:00
47,147,0,8,139,2020-03-18 00:00:00+00:00
48,199,1,9,189,2020-03-19 00:00:00+00:00
49,253,1,9,243,2020-03-20 00:00:00+00:00
50,306,1,12,293,2020-03-21 00:00:00+00:00
51,367,1,16,350,2020-03-22 00:00:00+00:00
52,438,1,16,421,2020-03-23 00:00:00+00:00
53,495,1,22,472,2020-03-24 00:00:00+00:00
54,658,3,29,626,2020-03-25 00:00:00+00:00
55,840,3,38,799,2020-03-26 00:00:00+00:00
56,1036,4,45,987,2020-03-27 00:00:00+00:00
57,1264,4,49,1211,2020-03-28 00:00:00+00:00
58,1534,8,64,1462,2020-03-29 00:00:00+00:00
59,1836,9,66,1761,2020-03-30 00:00:00+00:00
60,2337,17,121,2199,2020-03-31 00:00:00+00:00
61,2777,24,190,2563,2020-04-01 00:00:00+00:00
62,3548,30,235,3283,2020-04-02 00:00:00+00:00
63,4149,34,281,3834,2020-04-03 00:00:00+00:00
64,4731,43,333,4355,2020-04-04 00:00:00+00:00
65,5389,45,355,4989,2020-04-05 00:00:00+00:00
66,6343,47,406,5890,2020-04-06 00:00:00+00:00
67,7497,58,494,6945,2020-04-07 00:00:00+00:00
68,8672,63,580,8029,2020-04-08 00:00:00+00:00
69,10131,76,698,9357,2020-04-09 00:00:00+00:00
70,11917,94,795,11028,2020-04-10 00:00:00+00:00
71,13584,106,1045,12433,2020-04-11 00:00:00+00:00
72,15770,130,1291,14349,2020-04-12 00:00:00+00:00
73,18328,148,1470,16710,2020-04-13 00:00:00+00:00
74,21102,170,1694,19238,2020-04-14 00:00:00+00:00
75,24490,198,1986,22306,2020-04-15 00:00:00+00:00
76,27938,232,2304,25402,2020-04-16 00:00:00+00:00
77,32008,273,2590,29145,2020-04-17 00:00:00+00:00
78,36793,313,3057,33423,2020-04-18 00:00:00+00:00
79,42853,361,3291,39201,2020-04-19 00:00:00+00:00
