,SA_Confirmed,SA_Deaths,SA_Recovered,SA_Active,Date
0,4462,59,761,3642,2020-04-13 00:00:00+00:00
1,4934,65,805,4064,2020-04-14 00:00:00+00:00
2,5369,73,889,4407,2020-04-15 00:00:00+00:00
3,5862,79,931,4852,2020-04-16 00:00:00+00:00
4,6380,83,990,5307,2020-04-17 00:00:00+00:00
5,7142,87,1049,6006,2020-04-18 00:00:00+00:00
6,8274,92,1329,6853,2020-04-19 00:00:00+00:00
7,9362,97,1398,7867,2020-04-20 00:00:00+00:00
8,10484,103,1490,8891,2020-04-21 00:00:00+00:00
9,11631,109,1640,9882,2020-04-22 00:00:00+00:00
10,12772,114,1812,10846,2020-04-23 00:00:00+00:00
11,13930,121,1925,11884,2020-04-24 00:00:00+00:00
12,15102,127,2049,12926,2020-04-25 00:00:00+00:00
13,16299,136,2215,13948,2020-04-26 00:00:00+00:00
14,17522,139,2357,15026,2020-04-27 00:00:00+00:00
15,18811,144,2531,16136,2020-04-28 00:00:00+00:00
16,27011,184,4134,22693,2020-05-04 00:00:00+00:00
17,28656,191,4476,23989,2020-05-05 00:00:00+00:00
18,30251,200,5431,24620,2020-05-06 00:00:00+00:00
