,RS_Confirmed,RS_Deaths,RS_Recovered,RS_Active,Date
0,3630,80,0,3550,2020-04-13 00:00:00+00:00
1,4054,85,0,3969,2020-04-14 00:00:00+00:00
2,4465,94,0,4371,2020-04-15 00:00:00+00:00
3,4873,99,0,4774,2020-04-16 00:00:00+00:00
4,5318,103,0,5215,2020-04-17 00:00:00+00:00
5,5690,110,534,5046,2020-04-18 00:00:00+00:00
6,5994,117,637,5240,2020-04-19 00:00:00+00:00
7,6318,122,753,5443,2020-04-20 00:00:00+00:00
8,6630,125,870,5635,2020-04-21 00:00:00+00:00
9,6630,125,870,5635,2020-04-22 00:00:00+00:00
10,6630,125,870,5635,2020-04-23 00:00:00+00:00
11,6630,125,870,5635,2020-04-24 00:00:00+00:00
12,6630,125,870,5635,2020-04-25 00:00:00+00:00
13,6630,125,870,5635,2020-04-26 00:00:00+00:00
14,6630,125,870,5635,2020-04-27 00:00:00+00:00
15,6630,125,870,5635,2020-04-28 00:00:00+00:00
16,9464,193,1551,7720,2020-05-04 00:00:00+00:00
17,9557,197,1574,7786,2020-05-05 00:00:00+00:00
18,9677,200,1723,7754,2020-05-06 00:00:00+00:00
