,SE_Confirmed,SE_Deaths,SE_Recovered,SE_Active,Date
0,1,0,0,1,2020-01-31 00:00:00+00:00
1,1,0,0,1,2020-02-01 00:00:00+00:00
2,1,0,0,1,2020-02-02 00:00:00+00:00
3,1,0,0,1,2020-02-03 00:00:00+00:00
4,1,0,0,1,2020-02-04 00:00:00+00:00
5,1,0,0,1,2020-02-05 00:00:00+00:00
6,1,0,0,1,2020-02-06 00:00:00+00:00
7,1,0,0,1,2020-02-07 00:00:00+00:00
8,1,0,0,1,2020-02-08 00:00:00+00:00
9,1,0,0,1,2020-02-09 00:00:00+00:00
10,1,0,0,1,2020-02-10 00:00:00+00:00
11,1,0,0,1,2020-02-11 00:00:00+00:00
12,1,0,0,1,2020-02-12 00:00:00+00:00
13,1,0,0,1,2020-02-13 00:00:00+00:00
14,1,0,0,1,2020-02-14 00:00:00+00:00
15,1,0,0,1,2020-02-15 00:00:00+00:00
16,1,0,0,1,2020-02-16 00:00:00+00:00
17,1,0,0,1,2020-02-17 00:00:00+00:00
18,1,0,0,1,2020-02-18 00:00:00+00:00
19,1,0,0,1,2020-02-19 00:00:00+00:00
20,1,0,0,1,2020-02-20 00:00:00+00:00
21,1,0,0,1,2020-02-21 00:00:00+00:00
22,1,0,0,1,2020-02-22 00:00:00+00:00
23,1,0,0,1,2020-02-23 00:00:00+00:00
24,1,0,0,1,2020-02-24 00:00:00+00:00
25,1,0,0,1,2020-02-25 00:00:00+00:00
26,2,0,0,2,2020-02-26 00:00:00+00:00
27,7,0,0,7,2020-02-27 00:00:00+00:00
28,7,0,0,7,2020-02-28 00:00:00+00:00
29,12,0,0,12,2020-02-29 00:00:00+00:00
30,14,0,0,14,2020-03-01 00:00:00+00:00
31,15,0,0,15,2020-03-02 00:00:00+00:00
32,21,0,0,21,2020-03-03 00:00:00+00:00
33,35,0,0,35,2020-03-04 00:00:00+00:00
34,94,0,0,94,2020-03-05 00:00:00+00:00
35,101,0,0,101,2020-03-06 00:00:00+00:00
36,161,0,0,161,2020-03-07 00:00:00+00:00
37,203,0,0,203,2020-03-08 00:00:00+00:00
38,248,0,1,247,2020-03-09 00:00:00+00:00
39,355,0,1,354,2020-03-10 00:00:00+00:00
40,500,1,1,498,2020-03-11 00:00:00+00:00
41,599,1,1,597,2020-03-12 00:00:00+00:00
42,814,1,1,812,2020-03-13 00:00:00+00:00
43,961,2,1,958,2020-03-14 00:00:00+00:00
44,1022,3,1,1018,2020-03-15 00:00:00+00:00
45,1103,6,1,1096,2020-03-16 00:00:00+00:00
46,1190,7,1,1182,2020-03-17 00:00:00+00:00
47,1279,10,1,1268,2020-03-18 00:00:00+00:00
48,1439,11,16,1412,2020-03-19 00:00:00+00:00
49,1639,16,16,1607,2020-03-20 00:00:00+00:00
50,1763,20,16,1727,2020-03-21 00:00:00+00:00
51,1934,21,16,1897,2020-03-22 00:00:00+00:00
52,2046,25,16,2005,2020-03-23 00:00:00+00:00
53,2286,36,16,2234,2020-03-24 00:00:00+00:00
54,2526,62,16,2448,2020-03-25 00:00:00+00:00
55,2840,77,16,2747,2020-03-26 00:00:00+00:00
56,3069,105,16,2948,2020-03-27 00:00:00+00:00
57,3447,105,16,3326,2020-03-28 00:00:00+00:00
58,3700,110,16,3574,2020-03-29 00:00:00+00:00
59,4028,146,16,3866,2020-03-30 00:00:00+00:00
60,4435,180,16,4239,2020-03-31 00:00:00+00:00
61,4947,239,103,4605,2020-04-01 00:00:00+00:00
62,5568,308,103,5157,2020-04-02 00:00:00+00:00
63,6131,358,205,5568,2020-04-03 00:00:00+00:00
64,6443,373,205,5865,2020-04-04 00:00:00+00:00
65,6830,401,205,6224,2020-04-05 00:00:00+00:00
66,7206,477,205,6524,2020-04-06 00:00:00+00:00
67,7693,591,205,6897,2020-04-07 00:00:00+00:00
68,8419,687,205,7527,2020-04-08 00:00:00+00:00
69,9141,793,205,8143,2020-04-09 00:00:00+00:00
70,9685,870,381,8434,2020-04-10 00:00:00+00:00
71,10151,887,381,8883,2020-04-11 00:00:00+00:00
72,10483,899,381,9203,2020-04-12 00:00:00+00:00
73,10948,919,381,9648,2020-04-13 00:00:00+00:00
74,11445,1033,381,10031,2020-04-14 00:00:00+00:00
75,11927,1203,381,10343,2020-04-15 00:00:00+00:00
76,12540,1333,550,10657,2020-04-16 00:00:00+00:00
77,13216,1400,550,11266,2020-04-17 00:00:00+00:00
78,13822,1511,550,11761,2020-04-18 00:00:00+00:00
79,14385,1540,550,12295,2020-04-19 00:00:00+00:00
80,14777,1580,550,12647,2020-04-20 00:00:00+00:00
81,15322,1765,550,13007,2020-04-21 00:00:00+00:00
82,16004,1937,550,13517,2020-04-22 00:00:00+00:00
83,16755,2021,550,14184,2020-04-23 00:00:00+00:00
84,17567,2152,1005,14410,2020-04-24 00:00:00+00:00
85,18177,2192,1005,14980,2020-04-25 00:00:00+00:00
86,18640,2194,1005,15441,2020-04-26 00:00:00+00:00
87,18926,2274,1005,15647,2020-04-27 00:00:00+00:00
88,19621,2355,1005,16261,2020-04-28 00:00:00+00:00
89,20302,2462,1005,16835,2020-04-29 00:00:00+00:00
90,21092,2586,1005,17501,2020-04-30 00:00:00+00:00
91,21520,2653,1005,17862,2020-05-01 00:00:00+00:00
92,22082,2669,1005,18408,2020-05-02 00:00:00+00:00
93,22317,2679,1005,18633,2020-05-03 00:00:00+00:00
94,22721,2769,4074,15878,2020-05-04 00:00:00+00:00
95,23216,2854,4074,16288,2020-05-05 00:00:00+00:00
96,23918,2941,4074,16903,2020-05-06 00:00:00+00:00
97,24623,3040,4971,16612,2020-05-07 00:00:00+00:00
98,25265,3175,4971,17119,2020-05-08 00:00:00+00:00
99,25921,3220,4971,17730,2020-05-09 00:00:00+00:00
100,26322,3225,4971,18126,2020-05-10 00:00:00+00:00
101,26670,3256,4971,18443,2020-05-11 00:00:00+00:00
102,27272,3313,4971,18988,2020-05-12 00:00:00+00:00
103,27909,3460,4971,19478,2020-05-13 00:00:00+00:00
104,28582,3529,4971,20082,2020-05-14 00:00:00+00:00
105,29207,3646,4971,20590,2020-05-15 00:00:00+00:00
106,29677,3674,4971,21032,2020-05-16 00:00:00+00:00
107,30143,3679,4971,21493,2020-05-17 00:00:00+00:00
108,30377,3698,4971,21708,2020-05-18 00:00:00+00:00
109,30799,3743,4971,22085,2020-05-19 00:00:00+00:00
110,31523,3831,4971,22721,2020-05-20 00:00:00+00:00
111,32172,3871,4971,23330,2020-05-21 00:00:00+00:00
112,32809,3925,4971,23913,2020-05-22 00:00:00+00:00
113,33188,3992,4971,24225,2020-05-23 00:00:00+00:00
114,33459,3998,4971,24490,2020-05-24 00:00:00+00:00
115,33843,4029,4971,24843,2020-05-25 00:00:00+00:00
116,34440,4125,4971,25344,2020-05-26 00:00:00+00:00
117,35088,4220,4971,25897,2020-05-27 00:00:00+00:00
118,35727,4266,4971,26490,2020-05-28 00:00:00+00:00
119,36476,4350,4971,27155,2020-05-29 00:00:00+00:00
120,37113,4395,4971,27747,2020-05-30 00:00:00+00:00
121,37542,4395,4971,28176,2020-05-31 00:00:00+00:00
122,37814,4403,4971,28440,2020-06-01 00:00:00+00:00
123,38589,4468,0,34121,2020-06-02 00:00:00+00:00
