,CH_Confirmed,CH_Deaths,CH_Recovered,CH_Active,Date
0,25415,1106,12700,11609,2020-04-13 00:00:00+00:00
1,25688,1138,13700,10850,2020-04-14 00:00:00+00:00
2,25936,1174,13700,11062,2020-04-15 00:00:00+00:00
3,26359,1254,15400,9705,2020-04-16 00:00:00+00:00
4,26732,1281,15900,9551,2020-04-17 00:00:00+00:00
5,27078,1327,16400,9351,2020-04-18 00:00:00+00:00
6,27404,1368,17100,8936,2020-04-19 00:00:00+00:00
7,27740,1393,17800,8547,2020-04-20 00:00:00+00:00
8,27944,1429,18600,7915,2020-04-21 00:00:00+00:00
9,28063,1478,19400,7185,2020-04-22 00:00:00+00:00
10,28268,1509,19900,6859,2020-04-23 00:00:00+00:00
11,28496,1549,20600,6347,2020-04-24 00:00:00+00:00
12,28677,1589,21000,6088,2020-04-25 00:00:00+00:00
13,28894,1599,21300,5995,2020-04-26 00:00:00+00:00
14,29061,1610,21800,5651,2020-04-27 00:00:00+00:00
15,29164,1665,22200,5299,2020-04-28 00:00:00+00:00
16,29905,1762,24500,3643,2020-05-04 00:00:00+00:00
17,29981,1784,25200,2997,2020-05-05 00:00:00+00:00
18,30009,1795,25400,2814,2020-05-06 00:00:00+00:00
