,TR_Confirmed,TR_Deaths,TR_Recovered,TR_Active,Date
0,1,0,0,1,2020-03-11 00:00:00+00:00
1,1,0,0,1,2020-03-12 00:00:00+00:00
2,5,0,0,5,2020-03-13 00:00:00+00:00
3,5,0,0,5,2020-03-14 00:00:00+00:00
4,6,0,0,6,2020-03-15 00:00:00+00:00
5,18,0,0,18,2020-03-16 00:00:00+00:00
6,47,1,0,46,2020-03-17 00:00:00+00:00
7,98,1,0,97,2020-03-18 00:00:00+00:00
8,192,3,0,189,2020-03-19 00:00:00+00:00
9,359,4,0,355,2020-03-20 00:00:00+00:00
10,670,9,0,661,2020-03-21 00:00:00+00:00
11,1236,30,0,1206,2020-03-22 00:00:00+00:00
12,1529,37,0,1492,2020-03-23 00:00:00+00:00
13,1872,44,0,1828,2020-03-24 00:00:00+00:00
14,2433,59,26,2348,2020-03-25 00:00:00+00:00
15,3629,75,26,3528,2020-03-26 00:00:00+00:00
16,5698,92,42,5564,2020-03-27 00:00:00+00:00
17,7402,108,70,7224,2020-03-28 00:00:00+00:00
18,9217,131,105,8981,2020-03-29 00:00:00+00:00
19,10827,168,162,10497,2020-03-30 00:00:00+00:00
20,13531,214,243,13074,2020-03-31 00:00:00+00:00
21,15679,277,333,15069,2020-04-01 00:00:00+00:00
22,18135,356,415,17364,2020-04-02 00:00:00+00:00
23,20921,425,484,20012,2020-04-03 00:00:00+00:00
24,23934,501,786,22647,2020-04-04 00:00:00+00:00
25,27069,574,1042,25453,2020-04-05 00:00:00+00:00
26,30217,649,1326,28242,2020-04-06 00:00:00+00:00
27,34109,725,1582,31802,2020-04-07 00:00:00+00:00
28,38226,812,1846,35568,2020-04-08 00:00:00+00:00
29,42282,908,2142,39232,2020-04-09 00:00:00+00:00
30,47029,1006,2423,43600,2020-04-10 00:00:00+00:00
31,52167,1101,2965,48101,2020-04-11 00:00:00+00:00
32,56956,1198,3446,52312,2020-04-12 00:00:00+00:00
33,61049,1296,3957,55796,2020-04-13 00:00:00+00:00
