,GB_Confirmed,GB_Deaths,GB_Recovered,GB_Active,Date
0,2,0,0,2,2020-01-31 00:00:00+00:00
1,2,0,0,2,2020-02-01 00:00:00+00:00
2,2,0,0,2,2020-02-02 00:00:00+00:00
3,2,0,0,2,2020-02-03 00:00:00+00:00
4,2,0,0,2,2020-02-04 00:00:00+00:00
5,2,0,0,2,2020-02-05 00:00:00+00:00
6,2,0,0,2,2020-02-06 00:00:00+00:00
7,3,0,0,3,2020-02-07 00:00:00+00:00
8,3,0,0,3,2020-02-08 00:00:00+00:00
9,3,0,0,3,2020-02-09 00:00:00+00:00
10,8,0,0,8,2020-02-10 00:00:00+00:00
11,8,0,0,8,2020-02-11 00:00:00+00:00
12,9,0,1,8,2020-02-12 00:00:00+00:00
13,9,0,1,8,2020-02-13 00:00:00+00:00
14,9,0,1,8,2020-02-14 00:00:00+00:00
15,9,0,1,8,2020-02-15 00:00:00+00:00
16,9,0,8,1,2020-02-16 00:00:00+00:00
17,9,0,8,1,2020-02-17 00:00:00+00:00
18,9,0,8,1,2020-02-18 00:00:00+00:00
19,9,0,8,1,2020-02-19 00:00:00+00:00
20,9,0,8,1,2020-02-20 00:00:00+00:00
21,9,0,8,1,2020-02-21 00:00:00+00:00
22,9,0,8,1,2020-02-22 00:00:00+00:00
23,9,0,8,1,2020-02-23 00:00:00+00:00
24,13,0,8,5,2020-02-24 00:00:00+00:00
25,13,0,8,5,2020-02-25 00:00:00+00:00
26,13,0,8,5,2020-02-26 00:00:00+00:00
27,15,0,8,7,2020-02-27 00:00:00+00:00
28,20,0,8,12,2020-02-28 00:00:00+00:00
29,23,0,8,15,2020-02-29 00:00:00+00:00
30,36,0,8,28,2020-03-01 00:00:00+00:00
31,40,0,8,32,2020-03-02 00:00:00+00:00
32,51,0,8,43,2020-03-03 00:00:00+00:00
33,85,0,8,77,2020-03-04 00:00:00+00:00
34,1,0,0,1,2020-03-04 00:00:00+00:00
35,115,0,8,107,2020-03-05 00:00:00+00:00
36,1,0,0,1,2020-03-05 00:00:00+00:00
37,163,1,8,154,2020-03-06 00:00:00+00:00
38,1,0,0,1,2020-03-06 00:00:00+00:00
39,206,2,18,186,2020-03-07 00:00:00+00:00
40,1,0,0,1,2020-03-07 00:00:00+00:00
41,273,2,18,253,2020-03-08 00:00:00+00:00
42,1,0,0,1,2020-03-08 00:00:00+00:00
43,321,3,18,300,2020-03-09 00:00:00+00:00
44,1,0,0,1,2020-03-09 00:00:00+00:00
45,382,7,18,357,2020-03-10 00:00:00+00:00
46,1,0,0,1,2020-03-10 00:00:00+00:00
47,1,0,1,0,2020-03-10 00:00:00+00:00
48,456,7,18,431,2020-03-11 00:00:00+00:00
49,2,0,0,2,2020-03-11 00:00:00+00:00
50,1,0,1,0,2020-03-11 00:00:00+00:00
51,456,9,18,429,2020-03-12 00:00:00+00:00
52,2,0,0,2,2020-03-12 00:00:00+00:00
53,1,0,1,0,2020-03-12 00:00:00+00:00
54,798,10,18,770,2020-03-13 00:00:00+00:00
55,1,0,0,1,2020-03-13 00:00:00+00:00
56,2,0,0,2,2020-03-13 00:00:00+00:00
57,1,0,1,0,2020-03-13 00:00:00+00:00
58,1140,28,18,1094,2020-03-14 00:00:00+00:00
59,1,0,0,1,2020-03-14 00:00:00+00:00
60,2,0,0,2,2020-03-14 00:00:00+00:00
61,1,0,1,0,2020-03-14 00:00:00+00:00
62,1140,43,18,1079,2020-03-15 00:00:00+00:00
63,1,0,0,1,2020-03-15 00:00:00+00:00
64,3,0,0,3,2020-03-15 00:00:00+00:00
65,1,0,1,0,2020-03-15 00:00:00+00:00
66,1543,65,20,1458,2020-03-16 00:00:00+00:00
67,1,1,0,0,2020-03-16 00:00:00+00:00
68,6,0,0,6,2020-03-16 00:00:00+00:00
69,1,0,1,0,2020-03-16 00:00:00+00:00
70,1950,81,52,1817,2020-03-17 00:00:00+00:00
71,1,1,0,0,2020-03-17 00:00:00+00:00
72,6,0,0,6,2020-03-17 00:00:00+00:00
73,3,0,1,2,2020-03-17 00:00:00+00:00
74,2626,115,65,2446,2020-03-18 00:00:00+00:00
75,1,1,0,0,2020-03-18 00:00:00+00:00
76,6,0,0,6,2020-03-18 00:00:00+00:00
77,8,0,2,6,2020-03-18 00:00:00+00:00
78,1,0,0,1,2020-03-18 00:00:00+00:00
79,2689,158,65,2466,2020-03-19 00:00:00+00:00
80,2,0,0,2,2020-03-19 00:00:00+00:00
