,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Armenia,AM,,,,40.07,45.04,1,0,0,1,2020-03-01 00:00:00+00:00
1,Armenia,AM,,,,40.07,45.04,1,0,0,1,2020-03-02 00:00:00+00:00
2,Armenia,AM,,,,40.07,45.04,1,0,0,1,2020-03-03 00:00:00+00:00
3,Armenia,AM,,,,40.07,45.04,1,0,0,1,2020-03-04 00:00:00+00:00
4,Armenia,AM,,,,40.07,45.04,1,0,0,1,2020-03-05 00:00:00+00:00
5,Armenia,AM,,,,40.07,45.04,1,0,0,1,2020-03-06 00:00:00+00:00
6,Armenia,AM,,,,40.07,45.04,1,0,0,1,2020-03-07 00:00:00+00:00
7,Armenia,AM,,,,40.07,45.04,1,0,0,1,2020-03-08 00:00:00+00:00
8,Armenia,AM,,,,40.07,45.04,1,0,0,1,2020-03-09 00:00:00+00:00
9,Armenia,AM,,,,40.07,45.04,1,0,0,1,2020-03-10 00:00:00+00:00
10,Armenia,AM,,,,40.07,45.04,1,0,0,1,2020-03-11 00:00:00+00:00
11,Armenia,AM,,,,40.07,45.04,4,0,0,4,2020-03-12 00:00:00+00:00
12,Armenia,AM,,,,40.07,45.04,8,0,0,8,2020-03-13 00:00:00+00:00
13,Armenia,AM,,,,40.07,45.04,18,0,0,18,2020-03-14 00:00:00+00:00
14,Armenia,AM,,,,40.07,45.04,26,0,0,26,2020-03-15 00:00:00+00:00
15,Armenia,AM,,,,40.07,45.04,52,0,0,52,2020-03-16 00:00:00+00:00
16,Armenia,AM,,,,40.07,45.04,78,0,1,77,2020-03-17 00:00:00+00:00
17,Armenia,AM,,,,40.07,45.04,84,0,1,83,2020-03-18 00:00:00+00:00
18,Armenia,AM,,,,40.07,45.04,115,0,1,114,2020-03-19 00:00:00+00:00
19,Armenia,AM,,,,40.07,45.04,136,0,1,135,2020-03-20 00:00:00+00:00
20,Armenia,AM,,,,40.07,45.04,160,0,1,159,2020-03-21 00:00:00+00:00
21,Armenia,AM,,,,40.07,45.04,194,0,2,192,2020-03-22 00:00:00+00:00
22,Armenia,AM,,,,40.07,45.04,235,0,2,233,2020-03-23 00:00:00+00:00
23,Armenia,AM,,,,40.07,45.04,249,0,14,235,2020-03-24 00:00:00+00:00
24,Armenia,AM,,,,40.07,45.04,265,0,16,249,2020-03-25 00:00:00+00:00
25,Armenia,AM,,,,40.07,45.04,290,1,18,271,2020-03-26 00:00:00+00:00
26,Armenia,AM,,,,40.07,45.04,329,1,28,300,2020-03-27 00:00:00+00:00
27,Armenia,AM,,,,40.07,45.04,407,1,30,376,2020-03-28 00:00:00+00:00
28,Armenia,AM,,,,40.07,45.04,424,3,30,391,2020-03-29 00:00:00+00:00
29,Armenia,AM,,,,40.07,45.04,482,3,30,449,2020-03-30 00:00:00+00:00
30,Armenia,AM,,,,40.07,45.04,532,3,30,499,2020-03-31 00:00:00+00:00
31,Armenia,AM,,,,40.07,45.04,571,4,31,536,2020-04-01 00:00:00+00:00
32,Armenia,AM,,,,40.07,45.04,663,7,33,623,2020-04-02 00:00:00+00:00
33,Armenia,AM,,,,40.07,45.04,736,7,43,686,2020-04-03 00:00:00+00:00
34,Armenia,AM,,,,40.07,45.04,770,7,43,720,2020-04-04 00:00:00+00:00
35,Armenia,AM,,,,40.07,45.04,822,7,57,758,2020-04-05 00:00:00+00:00
36,Armenia,AM,,,,40.07,45.04,833,8,62,763,2020-04-06 00:00:00+00:00
37,Armenia,AM,,,,40.07,45.04,853,8,87,758,2020-04-07 00:00:00+00:00
38,Armenia,AM,,,,40.07,45.04,881,9,114,758,2020-04-08 00:00:00+00:00
39,Armenia,AM,,,,40.07,45.04,921,10,138,773,2020-04-09 00:00:00+00:00
40,Armenia,AM,,,,40.07,45.04,937,12,149,776,2020-04-10 00:00:00+00:00
41,Armenia,AM,,,,40.07,45.04,967,13,173,781,2020-04-11 00:00:00+00:00
42,Armenia,AM,,,,40.07,45.04,1013,13,197,803,2020-04-12 00:00:00+00:00
43,Armenia,AM,,,,40.07,45.04,1039,14,211,814,2020-04-13 00:00:00+00:00
44,Armenia,AM,,,,40.07,45.04,1067,16,265,786,2020-04-14 00:00:00+00:00
45,Armenia,AM,,,,40.07,45.04,1111,17,297,797,2020-04-15 00:00:00+00:00
46,Armenia,AM,,,,40.07,45.04,1159,18,358,783,2020-04-16 00:00:00+00:00
47,Armenia,AM,,,,40.07,45.04,1201,19,402,780,2020-04-17 00:00:00+00:00
48,Armenia,AM,,,,40.07,45.04,1248,20,523,705,2020-04-18 00:00:00+00:00
49,Armenia,AM,,,,40.07,45.04,1291,20,545,726,2020-04-19 00:00:00+00:00
50,Armenia,AM,,,,40.07,45.04,1339,22,580,737,2020-04-20 00:00:00+00:00
51,Armenia,AM,,,,40.07,45.04,1401,24,609,768,2020-04-21 00:00:00+00:00
52,Armenia,AM,,,,40.07,45.04,1473,24,633,816,2020-04-22 00:00:00+00:00
53,Armenia,AM,,,,40.07,45.04,1523,24,659,840,2020-04-23 00:00:00+00:00
54,Armenia,AM,,,,40.07,45.04,1596,27,728,841,2020-04-24 00:00:00+00:00
55,Armenia,AM,,,,40.07,45.04,1677,28,803,846,2020-04-25 00:00:00+00:00
56,Armenia,AM,,,,40.07,45.04,1746,28,833,885,2020-04-26 00:00:00+00:00
57,Armenia,AM,,,,40.07,45.04,1808,29,848,931,2020-04-27 00:00:00+00:00
58,Armenia,AM,,,,40.07,45.04,1867,30,866,971,2020-04-28 00:00:00+00:00
59,Armenia,AM,,,,40.07,45.04,1932,30,900,1002,2020-04-29 00:00:00+00:00
60,Armenia,AM,,,,40.07,45.04,2066,32,929,1105,2020-04-30 00:00:00+00:00
61,Armenia,AM,,,,40.07,45.04,2148,33,977,1138,2020-05-01 00:00:00+00:00
62,Armenia,AM,,,,40.07,45.04,2273,33,1010,1230,2020-05-02 00:00:00+00:00
63,Armenia,AM,,,,40.07,45.04,2386,35,1035,1316,2020-05-03 00:00:00+00:00
64,Armenia,AM,,,,40.07,45.04,2507,39,1071,1397,2020-05-04 00:00:00+00:00
65,Armenia,AM,,,,40.07,45.04,2619,40,1111,1468,2020-05-05 00:00:00+00:00
66,Armenia,AM,,,,40.07,45.04,2782,40,1135,1607,2020-05-06 00:00:00+00:00
67,Armenia,AM,,,,40.07,45.04,2884,42,1185,1657,2020-05-07 00:00:00+00:00
68,Armenia,AM,,,,40.07,45.04,3029,43,1218,1768,2020-05-08 00:00:00+00:00
69,Armenia,AM,,,,40.07,45.04,3175,44,1267,1864,2020-05-09 00:00:00+00:00
70,Armenia,AM,,,,40.07,45.04,3313,45,1325,1943,2020-05-10 00:00:00+00:00
71,Armenia,AM,,,,40.07,45.04,3392,46,1359,1987,2020-05-11 00:00:00+00:00
72,Armenia,AM,,,,40.07,45.04,3538,47,1430,2061,2020-05-12 00:00:00+00:00
73,Armenia,AM,,,,40.07,45.04,3718,48,1500,2170,2020-05-13 00:00:00+00:00
74,Armenia,AM,,,,40.07,45.04,3860,49,1572,2239,2020-05-14 00:00:00+00:00
75,Armenia,AM,,,,40.07,45.04,4044,52,1666,2326,2020-05-15 00:00:00+00:00
76,Armenia,AM,,,,40.07,45.04,4283,55,1791,2437,2020-05-16 00:00:00+00:00
77,Armenia,AM,,,,40.07,45.04,4472,60,1925,2487,2020-05-17 00:00:00+00:00
78,Armenia,AM,,,,40.07,45.04,4823,61,2019,2743,2020-05-18 00:00:00+00:00
79,Armenia,AM,,,,40.07,45.04,5041,64,2164,2813,2020-05-19 00:00:00+00:00
80,Armenia,AM,,,,40.07,45.04,5271,67,2419,2785,2020-05-20 00:00:00+00:00
