,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Austria,AT,,,,47.52,14.55,2,0,0,2,2020-02-25 00:00:00+00:00
1,Austria,AT,,,,47.52,14.55,2,0,0,2,2020-02-26 00:00:00+00:00
2,Austria,AT,,,,47.52,14.55,3,0,0,3,2020-02-27 00:00:00+00:00
3,Austria,AT,,,,47.52,14.55,3,0,0,3,2020-02-28 00:00:00+00:00
4,Austria,AT,,,,47.52,14.55,9,0,0,9,2020-02-29 00:00:00+00:00
5,Austria,AT,,,,47.52,14.55,14,0,0,14,2020-03-01 00:00:00+00:00
6,Austria,AT,,,,47.52,14.55,18,0,0,18,2020-03-02 00:00:00+00:00
7,Austria,AT,,,,47.52,14.55,21,0,0,21,2020-03-03 00:00:00+00:00
8,Austria,AT,,,,47.52,14.55,29,0,0,29,2020-03-04 00:00:00+00:00
9,Austria,AT,,,,47.52,14.55,41,0,0,41,2020-03-05 00:00:00+00:00
10,Austria,AT,,,,47.52,14.55,55,0,0,55,2020-03-06 00:00:00+00:00
11,Austria,AT,,,,47.52,14.55,79,0,0,79,2020-03-07 00:00:00+00:00
12,Austria,AT,,,,47.52,14.55,104,0,0,104,2020-03-08 00:00:00+00:00
13,Austria,AT,,,,47.52,14.55,131,0,2,129,2020-03-09 00:00:00+00:00
14,Austria,AT,,,,47.52,14.55,182,0,4,178,2020-03-10 00:00:00+00:00
15,Austria,AT,,,,47.52,14.55,246,0,4,242,2020-03-11 00:00:00+00:00
16,Austria,AT,,,,47.52,14.55,302,1,4,297,2020-03-12 00:00:00+00:00
17,Austria,AT,,,,47.52,14.55,504,1,6,497,2020-03-13 00:00:00+00:00
18,Austria,AT,,,,47.52,14.55,655,1,6,648,2020-03-14 00:00:00+00:00
19,Austria,AT,,,,47.52,14.55,860,1,6,853,2020-03-15 00:00:00+00:00
20,Austria,AT,,,,47.52,14.55,1018,3,6,1009,2020-03-16 00:00:00+00:00
21,Austria,AT,,,,47.52,14.55,1332,3,1,1328,2020-03-17 00:00:00+00:00
22,Austria,AT,,,,47.52,14.55,1646,4,9,1633,2020-03-18 00:00:00+00:00
23,Austria,AT,,,,47.52,14.55,2013,6,9,1998,2020-03-19 00:00:00+00:00
24,Austria,AT,,,,47.52,14.55,2388,6,9,2373,2020-03-20 00:00:00+00:00
25,Austria,AT,,,,47.52,14.55,2814,8,9,2797,2020-03-21 00:00:00+00:00
26,Austria,AT,,,,47.52,14.55,3582,16,9,3557,2020-03-22 00:00:00+00:00
27,Austria,AT,,,,47.52,14.55,4474,21,9,4444,2020-03-23 00:00:00+00:00
28,Austria,AT,,,,47.52,14.55,5283,28,9,5246,2020-03-24 00:00:00+00:00
29,Austria,AT,,,,47.52,14.55,5588,30,9,5549,2020-03-25 00:00:00+00:00
30,Austria,AT,,,,47.52,14.55,6909,49,112,6748,2020-03-26 00:00:00+00:00
31,Austria,AT,,,,47.52,14.55,7657,58,225,7374,2020-03-27 00:00:00+00:00
32,Austria,AT,,,,47.52,14.55,8271,68,225,7978,2020-03-28 00:00:00+00:00
33,Austria,AT,,,,47.52,14.55,8788,86,479,8223,2020-03-29 00:00:00+00:00
34,Austria,AT,,,,47.52,14.55,9618,108,636,8874,2020-03-30 00:00:00+00:00
35,Austria,AT,,,,47.52,14.55,10180,128,1095,8957,2020-03-31 00:00:00+00:00
36,Austria,AT,,,,47.52,14.55,10711,146,1436,9129,2020-04-01 00:00:00+00:00
37,Austria,AT,,,,47.52,14.55,11129,158,1749,9222,2020-04-02 00:00:00+00:00
38,Austria,AT,,,,47.52,14.55,11524,168,2022,9334,2020-04-03 00:00:00+00:00
39,Austria,AT,,,,47.52,14.55,11781,186,2507,9088,2020-04-04 00:00:00+00:00
40,Austria,AT,,,,47.52,14.55,12051,204,2998,8849,2020-04-05 00:00:00+00:00
41,Austria,AT,,,,47.52,14.55,12297,220,3463,8614,2020-04-06 00:00:00+00:00
42,Austria,AT,,,,47.52,14.55,12639,243,4046,8350,2020-04-07 00:00:00+00:00
43,Austria,AT,,,,47.52,14.55,12942,273,4512,8157,2020-04-08 00:00:00+00:00
44,Austria,AT,,,,47.52,14.55,13244,295,5240,7709,2020-04-09 00:00:00+00:00
45,Austria,AT,,,,47.52,14.55,13555,319,6064,7172,2020-04-10 00:00:00+00:00
46,Austria,AT,,,,47.52,14.55,13806,337,6604,6865,2020-04-11 00:00:00+00:00
47,Austria,AT,,,,47.52,14.55,13945,350,6987,6608,2020-04-12 00:00:00+00:00
48,Austria,AT,,,,47.52,14.55,14041,368,7343,6330,2020-04-13 00:00:00+00:00
49,Austria,AT,,,,47.52,14.55,14226,384,7633,6209,2020-04-14 00:00:00+00:00
50,Austria,AT,,,,47.52,14.55,14336,393,8098,5845,2020-04-15 00:00:00+00:00
51,Austria,AT,,,,47.52,14.55,14476,410,8986,5080,2020-04-16 00:00:00+00:00
52,Austria,AT,,,,47.52,14.55,14595,431,9704,4460,2020-04-17 00:00:00+00:00
53,Austria,AT,,,,47.52,14.55,14671,443,10214,4014,2020-04-18 00:00:00+00:00
54,Austria,AT,,,,47.52,14.55,14749,452,10501,3796,2020-04-19 00:00:00+00:00
55,Austria,AT,,,,47.52,14.55,14795,470,10631,3694,2020-04-20 00:00:00+00:00
56,Austria,AT,,,,47.52,14.55,14873,491,10971,3411,2020-04-21 00:00:00+00:00
57,Austria,AT,,,,47.52,14.55,14925,510,11328,3087,2020-04-22 00:00:00+00:00
58,Austria,AT,,,,47.52,14.55,15002,522,11694,2786,2020-04-23 00:00:00+00:00
