,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Belarus,BY,,,,53.71,27.95,2578,26,203,2349,2020-04-13 00:00:00+00:00
1,Belarus,BY,,,,53.71,27.95,2919,29,203,2687,2020-04-14 00:00:00+00:00
2,Belarus,BY,,,,53.71,27.95,3281,33,203,3045,2020-04-15 00:00:00+00:00
3,Belarus,BY,,,,53.71,27.95,4204,40,203,3961,2020-04-16 00:00:00+00:00
4,Belarus,BY,,,,53.71,27.95,4204,40,203,3961,2020-04-17 00:00:00+00:00
5,Belarus,BY,,,,53.71,27.95,4779,42,342,4395,2020-04-18 00:00:00+00:00
6,Belarus,BY,,,,53.71,27.95,4779,45,342,4392,2020-04-19 00:00:00+00:00
7,Belarus,BY,,,,53.71,27.95,4779,47,494,4238,2020-04-20 00:00:00+00:00
8,Belarus,BY,,,,53.71,27.95,6264,51,514,5699,2020-04-21 00:00:00+00:00
9,Belarus,BY,,,,53.71,27.95,6723,55,577,6091,2020-04-22 00:00:00+00:00
10,Belarus,BY,,,,53.71,27.95,7281,58,769,6454,2020-04-23 00:00:00+00:00
11,Belarus,BY,,,,53.71,27.95,8022,60,938,7024,2020-04-24 00:00:00+00:00
12,Belarus,BY,,,,53.71,27.95,8773,63,1120,7590,2020-04-25 00:00:00+00:00
13,Belarus,BY,,,,53.71,27.95,9590,67,1573,7950,2020-04-26 00:00:00+00:00
14,Belarus,BY,,,,53.71,27.95,10463,72,1695,8696,2020-04-27 00:00:00+00:00
15,Belarus,BY,,,,53.71,27.95,11289,75,1740,9474,2020-04-28 00:00:00+00:00
16,Belarus,BY,,,,53.71,27.95,16705,99,3196,13410,2020-05-04 00:00:00+00:00
17,Belarus,BY,,,,53.71,27.95,17489,103,3259,14127,2020-05-05 00:00:00+00:00
18,Belarus,BY,,,,53.71,27.95,18350,107,3771,14472,2020-05-06 00:00:00+00:00
