,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Bolivia,BO,,,,-16.29,-63.59,2,0,0,2,2020-03-11 00:00:00+00:00
1,Bolivia,BO,,,,-16.29,-63.59,2,0,0,2,2020-03-12 00:00:00+00:00
2,Bolivia,BO,,,,-16.29,-63.59,3,0,0,3,2020-03-13 00:00:00+00:00
3,Bolivia,BO,,,,-16.29,-63.59,10,0,0,10,2020-03-14 00:00:00+00:00
4,Bolivia,BO,,,,-16.29,-63.59,10,0,0,10,2020-03-15 00:00:00+00:00
5,Bolivia,BO,,,,-16.29,-63.59,11,0,0,11,2020-03-16 00:00:00+00:00
6,Bolivia,BO,,,,-16.29,-63.59,11,0,0,11,2020-03-17 00:00:00+00:00
7,Bolivia,BO,,,,-16.29,-63.59,12,0,0,12,2020-03-18 00:00:00+00:00
8,Bolivia,BO,,,,-16.29,-63.59,12,0,0,12,2020-03-19 00:00:00+00:00
9,Bolivia,BO,,,,-16.29,-63.59,15,0,0,15,2020-03-20 00:00:00+00:00
10,Bolivia,BO,,,,-16.29,-63.59,19,0,0,19,2020-03-21 00:00:00+00:00
11,Bolivia,BO,,,,-16.29,-63.59,24,0,0,24,2020-03-22 00:00:00+00:00
12,Bolivia,BO,,,,-16.29,-63.59,27,0,0,27,2020-03-23 00:00:00+00:00
13,Bolivia,BO,,,,-16.29,-63.59,29,0,0,29,2020-03-24 00:00:00+00:00
14,Bolivia,BO,,,,-16.29,-63.59,32,0,0,32,2020-03-25 00:00:00+00:00
15,Bolivia,BO,,,,-16.29,-63.59,43,0,0,43,2020-03-26 00:00:00+00:00
16,Bolivia,BO,,,,-16.29,-63.59,61,0,0,61,2020-03-27 00:00:00+00:00
17,Bolivia,BO,,,,-16.29,-63.59,74,0,0,74,2020-03-28 00:00:00+00:00
18,Bolivia,BO,,,,-16.29,-63.59,81,1,0,80,2020-03-29 00:00:00+00:00
19,Bolivia,BO,,,,-16.29,-63.59,97,4,0,93,2020-03-30 00:00:00+00:00
20,Bolivia,BO,,,,-16.29,-63.59,107,6,0,101,2020-03-31 00:00:00+00:00
21,Bolivia,BO,,,,-16.29,-63.59,115,7,1,107,2020-04-01 00:00:00+00:00
22,Bolivia,BO,,,,-16.29,-63.59,123,8,1,114,2020-04-02 00:00:00+00:00
23,Bolivia,BO,,,,-16.29,-63.59,132,9,1,122,2020-04-03 00:00:00+00:00
24,Bolivia,BO,,,,-16.29,-63.59,139,10,1,128,2020-04-04 00:00:00+00:00
25,Bolivia,BO,,,,-16.29,-63.59,157,10,2,145,2020-04-05 00:00:00+00:00
26,Bolivia,BO,,,,-16.29,-63.59,183,11,2,170,2020-04-06 00:00:00+00:00
27,Bolivia,BO,,,,-16.29,-63.59,194,14,2,178,2020-04-07 00:00:00+00:00
28,Bolivia,BO,,,,-16.29,-63.59,210,15,2,193,2020-04-08 00:00:00+00:00
29,Bolivia,BO,,,,-16.29,-63.59,264,18,2,244,2020-04-09 00:00:00+00:00
30,Bolivia,BO,,,,-16.29,-63.59,268,19,2,247,2020-04-10 00:00:00+00:00
31,Bolivia,BO,,,,-16.29,-63.59,275,20,2,253,2020-04-11 00:00:00+00:00
32,Bolivia,BO,,,,-16.29,-63.59,300,24,2,274,2020-04-12 00:00:00+00:00
33,Bolivia,BO,,,,-16.29,-63.59,330,27,2,301,2020-04-13 00:00:00+00:00
34,Bolivia,BO,,,,-16.29,-63.59,354,28,6,320,2020-04-14 00:00:00+00:00
35,Bolivia,BO,,,,-16.29,-63.59,397,28,7,362,2020-04-15 00:00:00+00:00
36,Bolivia,BO,,,,-16.29,-63.59,441,29,14,398,2020-04-16 00:00:00+00:00
37,Bolivia,BO,,,,-16.29,-63.59,465,31,26,408,2020-04-17 00:00:00+00:00
38,Bolivia,BO,,,,-16.29,-63.59,493,31,31,431,2020-04-18 00:00:00+00:00
39,Bolivia,BO,,,,-16.29,-63.59,520,32,31,457,2020-04-19 00:00:00+00:00
40,Bolivia,BO,,,,-16.29,-63.59,564,33,31,500,2020-04-20 00:00:00+00:00
41,Bolivia,BO,,,,-16.29,-63.59,598,34,37,527,2020-04-21 00:00:00+00:00
42,Bolivia,BO,,,,-16.29,-63.59,609,37,44,528,2020-04-22 00:00:00+00:00
43,Bolivia,BO,,,,-16.29,-63.59,703,43,44,616,2020-04-23 00:00:00+00:00
44,Bolivia,BO,,,,-16.29,-63.59,807,44,54,709,2020-04-24 00:00:00+00:00
45,Bolivia,BO,,,,-16.29,-63.59,866,46,54,766,2020-04-25 00:00:00+00:00
46,Bolivia,BO,,,,-16.29,-63.59,950,50,80,820,2020-04-26 00:00:00+00:00
47,Bolivia,BO,,,,-16.29,-63.59,1014,53,98,863,2020-04-27 00:00:00+00:00
48,Bolivia,BO,,,,-16.29,-63.59,1014,53,98,863,2020-04-28 00:00:00+00:00
49,Bolivia,BO,,,,-16.29,-63.59,1110,59,117,934,2020-04-29 00:00:00+00:00
50,Bolivia,BO,,,,-16.29,-63.59,1110,59,117,934,2020-04-30 00:00:00+00:00
51,Bolivia,BO,,,,-16.29,-63.59,1229,66,134,1029,2020-05-01 00:00:00+00:00
52,Bolivia,BO,,,,-16.29,-63.59,1229,66,134,1029,2020-05-02 00:00:00+00:00
53,Bolivia,BO,,,,-16.29,-63.59,1594,76,166,1352,2020-05-03 00:00:00+00:00
54,Bolivia,BO,,,,-16.29,-63.59,1681,82,174,1425,2020-05-04 00:00:00+00:00
55,Bolivia,BO,,,,-16.29,-63.59,1802,86,187,1529,2020-05-05 00:00:00+00:00
56,Bolivia,BO,,,,-16.29,-63.59,1886,91,198,1597,2020-05-06 00:00:00+00:00
57,Bolivia,BO,,,,-16.29,-63.59,2081,102,219,1760,2020-05-07 00:00:00+00:00
58,Bolivia,BO,,,,-16.29,-63.59,2266,106,237,1923,2020-05-08 00:00:00+00:00
59,Bolivia,BO,,,,-16.29,-63.59,2437,114,258,2065,2020-05-09 00:00:00+00:00
60,Bolivia,BO,,,,-16.29,-63.59,2556,118,273,2165,2020-05-10 00:00:00+00:00
61,Bolivia,BO,,,,-16.29,-63.59,2831,122,299,2410,2020-05-11 00:00:00+00:00
62,Bolivia,BO,,,,-16.29,-63.59,2964,128,313,2523,2020-05-12 00:00:00+00:00
63,Bolivia,BO,,,,-16.29,-63.59,3148,142,339,2667,2020-05-13 00:00:00+00:00
64,Bolivia,BO,,,,-16.29,-63.59,3372,152,356,2864,2020-05-14 00:00:00+00:00
65,Bolivia,BO,,,,-16.29,-63.59,3577,164,434,2979,2020-05-15 00:00:00+00:00
66,Bolivia,BO,,,,-16.29,-63.59,3826,165,473,3188,2020-05-16 00:00:00+00:00
67,Bolivia,BO,,,,-16.29,-63.59,4088,169,493,3426,2020-05-17 00:00:00+00:00
68,Bolivia,BO,,,,-16.29,-63.59,4263,174,503,3586,2020-05-18 00:00:00+00:00
69,Bolivia,BO,,,,-16.29,-63.59,4481,189,533,3759,2020-05-19 00:00:00+00:00
70,Bolivia,BO,,,,-16.29,-63.59,4919,199,553,4167,2020-05-20 00:00:00+00:00
71,Bolivia,BO,,,,-16.29,-63.59,5187,215,561,4411,2020-05-21 00:00:00+00:00
72,Bolivia,BO,,,,-16.29,-63.59,5579,230,575,4774,2020-05-22 00:00:00+00:00
73,Bolivia,BO,,,,-16.29,-63.59,5915,240,609,5066,2020-05-23 00:00:00+00:00
74,Bolivia,BO,,,,-16.29,-63.59,6263,250,629,5384,2020-05-24 00:00:00+00:00
75,Bolivia,BO,,,,-16.29,-63.59,6660,261,647,5752,2020-05-25 00:00:00+00:00
76,Bolivia,BO,,,,-16.29,-63.59,7136,274,677,6185,2020-05-26 00:00:00+00:00
77,Bolivia,BO,,,,-16.29,-63.59,7768,280,689,6799,2020-05-27 00:00:00+00:00
78,Bolivia,BO,,,,-16.29,-63.59,8387,293,738,7356,2020-05-28 00:00:00+00:00
79,Bolivia,BO,,,,-16.29,-63.59,8731,300,749,7682,2020-05-29 00:00:00+00:00
80,Bolivia,BO,,,,-16.29,-63.59,9592,310,889,8393,2020-05-30 00:00:00+00:00
81,Bolivia,BO,,,,-16.29,-63.59,9982,313,968,8701,2020-05-31 00:00:00+00:00
82,Bolivia,BO,,,,-16.29,-63.59,10531,343,1137,9051,2020-06-01 00:00:00+00:00
83,Bolivia,BO,,,,-16.29,-63.59,10991,376,1298,9317,2020-06-02 00:00:00+00:00
84,Bolivia,BO,,,,-16.29,-63.59,11638,400,1507,9731,2020-06-03 00:00:00+00:00
85,Bolivia,BO,,,,-16.29,-63.59,12245,415,1658,10172,2020-06-04 00:00:00+00:00
86,Bolivia,BO,,,,-16.29,-63.59,12728,427,1739,10562,2020-06-05 00:00:00+00:00
87,Bolivia,BO,,,,-16.29,-63.59,13358,454,1902,11002,2020-06-06 00:00:00+00:00
88,Bolivia,BO,,,,-16.29,-63.59,13643,465,2086,11092,2020-06-07 00:00:00+00:00
89,Bolivia,BO,,,,-16.29,-63.59,13949,475,2159,11315,2020-06-08 00:00:00+00:00
90,Bolivia,BO,,,,-16.29,-63.59,14644,487,2190,11967,2020-06-09 00:00:00+00:00
91,Bolivia,BO,,,,-16.29,-63.59,15281,512,2261,12508,2020-06-10 00:00:00+00:00
92,Bolivia,BO,,,,-16.29,-63.59,16165,533,2372,13260,2020-06-11 00:00:00+00:00
93,Bolivia,BO,,,,-16.29,-63.59,16929,559,2431,13939,2020-06-12 00:00:00+00:00
94,Bolivia,BO,,,,-16.29,-63.59,17842,585,2768,14489,2020-06-13 00:00:00+00:00
95,Bolivia,BO,,,,-16.29,-63.59,18459,611,3113,14735,2020-06-14 00:00:00+00:00
96,Bolivia,BO,,,,-16.29,-63.59,19073,632,3430,15011,2020-06-15 00:00:00+00:00
97,Bolivia,BO,,,,-16.29,-63.59,19883,659,3752,15472,2020-06-16 00:00:00+00:00
98,Bolivia,BO,,,,-16.29,-63.59,20685,679,4002,16004,2020-06-17 00:00:00+00:00
99,Bolivia,BO,,,,-16.29,-63.59,21499,697,4002,16800,2020-06-18 00:00:00+00:00
100,Bolivia,BO,,,,-16.29,-63.59,22476,715,4670,17091,2020-06-19 00:00:00+00:00
101,Bolivia,BO,,,,-16.29,-63.59,23512,740,5086,17686,2020-06-20 00:00:00+00:00
102,Bolivia,BO,,,,-16.29,-63.59,24388,773,5454,18161,2020-06-21 00:00:00+00:00
103,Bolivia,BO,,,,-16.29,-63.59,25493,820,5857,18816,2020-06-22 00:00:00+00:00
104,Bolivia,BO,,,,-16.29,-63.59,26389,846,6300,19243,2020-06-23 00:00:00+00:00
