,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Chile,CL,,,,-35.68,-71.54,1,0,0,1,2020-03-03 00:00:00+00:00
1,Chile,CL,,,,-35.68,-71.54,1,0,0,1,2020-03-04 00:00:00+00:00
2,Chile,CL,,,,-35.68,-71.54,4,0,0,4,2020-03-05 00:00:00+00:00
3,Chile,CL,,,,-35.68,-71.54,4,0,0,4,2020-03-06 00:00:00+00:00
4,Chile,CL,,,,-35.68,-71.54,4,0,0,4,2020-03-07 00:00:00+00:00
5,Chile,CL,,,,-35.68,-71.54,8,0,0,8,2020-03-08 00:00:00+00:00
6,Chile,CL,,,,-35.68,-71.54,8,0,0,8,2020-03-09 00:00:00+00:00
7,Chile,CL,,,,-35.68,-71.54,13,0,0,13,2020-03-10 00:00:00+00:00
8,Chile,CL,,,,-35.68,-71.54,23,0,0,23,2020-03-11 00:00:00+00:00
9,Chile,CL,,,,-35.68,-71.54,23,0,0,23,2020-03-12 00:00:00+00:00
10,Chile,CL,,,,-35.68,-71.54,43,0,0,43,2020-03-13 00:00:00+00:00
11,Chile,CL,,,,-35.68,-71.54,61,0,0,61,2020-03-14 00:00:00+00:00
12,Chile,CL,,,,-35.68,-71.54,74,0,0,74,2020-03-15 00:00:00+00:00
13,Chile,CL,,,,-35.68,-71.54,155,0,0,155,2020-03-16 00:00:00+00:00
14,Chile,CL,,,,-35.68,-71.54,201,0,0,201,2020-03-17 00:00:00+00:00
15,Chile,CL,,,,-35.68,-71.54,238,0,0,238,2020-03-18 00:00:00+00:00
16,Chile,CL,,,,-35.68,-71.54,238,0,0,238,2020-03-19 00:00:00+00:00
17,Chile,CL,,,,-35.68,-71.54,434,0,6,428,2020-03-20 00:00:00+00:00
18,Chile,CL,,,,-35.68,-71.54,537,0,6,531,2020-03-21 00:00:00+00:00
19,Chile,CL,,,,-35.68,-71.54,632,1,8,623,2020-03-22 00:00:00+00:00
20,Chile,CL,,,,-35.68,-71.54,746,2,8,736,2020-03-23 00:00:00+00:00
21,Chile,CL,,,,-35.68,-71.54,922,2,17,903,2020-03-24 00:00:00+00:00
22,Chile,CL,,,,-35.68,-71.54,1142,3,22,1117,2020-03-25 00:00:00+00:00
23,Chile,CL,,,,-35.68,-71.54,1306,4,22,1280,2020-03-26 00:00:00+00:00
24,Chile,CL,,,,-35.68,-71.54,1610,5,43,1562,2020-03-27 00:00:00+00:00
25,Chile,CL,,,,-35.68,-71.54,1909,6,61,1842,2020-03-28 00:00:00+00:00
26,Chile,CL,,,,-35.68,-71.54,2139,7,75,2057,2020-03-29 00:00:00+00:00
27,Chile,CL,,,,-35.68,-71.54,2449,8,156,2285,2020-03-30 00:00:00+00:00
28,Chile,CL,,,,-35.68,-71.54,2738,12,156,2570,2020-03-31 00:00:00+00:00
29,Chile,CL,,,,-35.68,-71.54,3031,16,234,2781,2020-04-01 00:00:00+00:00
30,Chile,CL,,,,-35.68,-71.54,3404,18,335,3051,2020-04-02 00:00:00+00:00
31,Chile,CL,,,,-35.68,-71.54,3737,22,427,3288,2020-04-03 00:00:00+00:00
32,Chile,CL,,,,-35.68,-71.54,4161,27,528,3606,2020-04-04 00:00:00+00:00
33,Chile,CL,,,,-35.68,-71.54,4471,34,618,3819,2020-04-05 00:00:00+00:00
34,Chile,CL,,,,-35.68,-71.54,4815,37,728,4050,2020-04-06 00:00:00+00:00
35,Chile,CL,,,,-35.68,-71.54,5116,43,898,4175,2020-04-07 00:00:00+00:00
36,Chile,CL,,,,-35.68,-71.54,5546,48,1115,4383,2020-04-08 00:00:00+00:00
37,Chile,CL,,,,-35.68,-71.54,5972,57,1274,4641,2020-04-09 00:00:00+00:00
38,Chile,CL,,,,-35.68,-71.54,6501,65,1571,4865,2020-04-10 00:00:00+00:00
39,Chile,CL,,,,-35.68,-71.54,6927,73,1864,4990,2020-04-11 00:00:00+00:00
40,Chile,CL,,,,-35.68,-71.54,7213,80,2059,5074,2020-04-12 00:00:00+00:00
41,Chile,CL,,,,-35.68,-71.54,7525,82,2367,5076,2020-04-13 00:00:00+00:00
42,Chile,CL,,,,-35.68,-71.54,7917,92,2646,5179,2020-04-14 00:00:00+00:00
43,Chile,CL,,,,-35.68,-71.54,8273,94,2937,5242,2020-04-15 00:00:00+00:00
44,Chile,CL,,,,-35.68,-71.54,8807,105,3299,5403,2020-04-16 00:00:00+00:00
45,Chile,CL,,,,-35.68,-71.54,9252,116,3621,5515,2020-04-17 00:00:00+00:00
46,Chile,CL,,,,-35.68,-71.54,9730,126,4035,5569,2020-04-18 00:00:00+00:00
47,Chile,CL,,,,-35.68,-71.54,10088,133,4338,5617,2020-04-19 00:00:00+00:00
48,Chile,CL,,,,-35.68,-71.54,10507,139,4676,5692,2020-04-20 00:00:00+00:00
49,Chile,CL,,,,-35.68,-71.54,10832,147,4969,5716,2020-04-21 00:00:00+00:00
50,Chile,CL,,,,-35.68,-71.54,11296,160,5386,5750,2020-04-22 00:00:00+00:00
51,Chile,CL,,,,-35.68,-71.54,11812,168,5804,5840,2020-04-23 00:00:00+00:00
52,Chile,CL,,,,-35.68,-71.54,12306,174,6327,5805,2020-04-24 00:00:00+00:00
53,Chile,CL,,,,-35.68,-71.54,12858,181,6746,5931,2020-04-25 00:00:00+00:00
54,Chile,CL,,,,-35.68,-71.54,13331,189,7024,6118,2020-04-26 00:00:00+00:00
55,Chile,CL,,,,-35.68,-71.54,13813,198,7327,6288,2020-04-27 00:00:00+00:00
56,Chile,CL,,,,-35.68,-71.54,14365,207,7710,6448,2020-04-28 00:00:00+00:00
57,Chile,CL,,,,-35.68,-71.54,14885,216,8057,6612,2020-04-29 00:00:00+00:00
58,Chile,CL,,,,-35.68,-71.54,16023,227,8580,7216,2020-04-30 00:00:00+00:00
59,Chile,CL,,,,-35.68,-71.54,17008,234,9018,7756,2020-05-01 00:00:00+00:00
60,Chile,CL,,,,-35.68,-71.54,18435,247,9572,8616,2020-05-02 00:00:00+00:00
61,Chile,CL,,,,-35.68,-71.54,19663,260,10041,9362,2020-05-03 00:00:00+00:00
