,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,China,CN,Qinghai,,,35.75,96.0,18,0,18,0,2020-02-23 00:00:00+00:00
1,China,CN,Tibet,,,31.69,88.09,1,0,1,0,2020-02-23 00:00:00+00:00
2,China,CN,Xinjiang,,,41.11,85.24,76,3,73,0,2020-03-08 00:00:00+00:00
3,China,CN,Ningxia,,,37.27,106.17,75,0,75,0,2020-03-16 00:00:00+00:00
4,China,CN,Guizhou,,,26.82,106.87,146,2,144,0,2020-03-18 00:00:00+00:00
5,China,CN,Hainan,,,19.2,109.75,168,6,162,0,2020-03-24 00:00:00+00:00
6,China,CN,Chongqing,,,30.06,107.87,579,6,570,3,2020-03-29 00:00:00+00:00
7,China,CN,Guangxi,,,23.83,108.79,254,2,252,0,2020-04-02 00:00:00+00:00
8,China,CN,Hunan,,,27.61,111.71,1019,4,1014,1,2020-04-02 00:00:00+00:00
9,China,CN,Hebei,,,39.55,116.13,327,6,313,8,2020-04-09 00:00:00+00:00
10,China,CN,Anhui,,,31.83,117.23,991,6,984,1,2020-04-09 00:00:00+00:00
11,China,CN,Gansu,,,37.81,101.06,139,2,135,2,2020-04-09 00:00:00+00:00
12,China,CN,Jiangxi,,,27.61,115.72,937,1,936,0,2020-04-10 00:00:00+00:00
13,China,CN,Sichuan,,,30.62,102.71,560,3,547,10,2020-04-11 00:00:00+00:00
14,China,CN,Yunnan,,,24.97,101.49,184,2,174,8,2020-04-11 00:00:00+00:00
15,China,CN,Shaanxi,,,35.19,108.87,256,3,248,5,2020-04-11 00:00:00+00:00
16,China,CN,Shandong,,,36.34,118.15,784,7,757,20,2020-04-11 00:00:00+00:00
17,China,CN,Macau,,,22.17,113.55,45,0,13,32,2020-04-12 00:00:00+00:00
18,China,CN,Liaoning,,,41.3,122.61,145,2,136,7,2020-04-12 00:00:00+00:00
19,China,CN,Heilongjiang,,,47.86,127.76,684,13,470,201,2020-04-12 00:00:00+00:00
20,China,CN,Zhejiang,,,29.18,120.09,1267,1,1238,28,2020-04-12 00:00:00+00:00
21,China,CN,Shanghai,,,31.2,121.45,607,7,446,154,2020-04-12 00:00:00+00:00
22,China,CN,Inner Mongolia,,,44.09,113.94,189,1,83,105,2020-04-12 00:00:00+00:00
23,China,CN,Henan,,,33.88,113.61,1276,22,1253,1,2020-04-12 00:00:00+00:00
24,China,CN,Tianjin,,,39.31,117.32,183,3,161,19,2020-04-12 00:00:00+00:00
25,China,CN,Hubei,,,30.98,112.27,67803,3219,64281,303,2020-04-12 00:00:00+00:00
26,China,CN,Beijing,,,40.18,116.41,589,8,479,102,2020-04-12 00:00:00+00:00
27,China,CN,Jilin,,,43.67,126.19,99,1,96,2,2020-04-12 00:00:00+00:00
28,China,CN,Jiangsu,,,32.97,119.46,653,0,638,15,2020-04-12 00:00:00+00:00
29,China,CN,Guangdong,,,23.34,113.42,1552,8,1443,101,2020-04-12 00:00:00+00:00
30,China,CN,Hong Kong,,,22.3,114.2,1004,4,360,640,2020-04-12 00:00:00+00:00
31,China,CN,Fujian,,,26.08,117.99,352,1,321,30,2020-04-12 00:00:00+00:00
32,China,CN,Zhejiang,,,29.18,120.09,1267,1,1239,27,2020-04-13 00:00:00+00:00
33,China,CN,Hubei,,,30.98,112.27,67803,3221,64338,244,2020-04-13 00:00:00+00:00
34,China,CN,Heilongjiang,,,47.86,127.76,740,13,470,257,2020-04-13 00:00:00+00:00
35,China,CN,Hong Kong,,,22.3,114.2,1009,4,360,645,2020-04-13 00:00:00+00:00
36,China,CN,Tianjin,,,39.31,117.32,184,3,161,20,2020-04-13 00:00:00+00:00
37,China,CN,Guangdong,,,23.34,113.42,1555,8,1454,93,2020-04-13 00:00:00+00:00
38,China,CN,Inner Mongolia,,,44.09,113.94,190,1,83,106,2020-04-13 00:00:00+00:00
39,China,CN,Shanghai,,,31.2,121.45,618,7,446,165,2020-04-13 00:00:00+00:00
40,China,CN,Jilin,,,43.67,126.19,100,1,96,3,2020-04-13 00:00:00+00:00
41,China,CN,Fujian,,,26.08,117.99,352,1,325,26,2020-04-13 00:00:00+00:00
42,China,CN,Sichuan,,,30.62,102.71,560,3,548,9,2020-04-13 00:00:00+00:00
43,China,CN,Shandong,,,36.34,118.15,784,7,758,19,2020-04-13 00:00:00+00:00
44,China,CN,Beijing,,,40.18,116.41,589,8,484,97,2020-04-13 00:00:00+00:00
45,China,CN,Shanxi,,,37.58,112.29,173,0,135,38,2020-04-13 00:00:00+00:00
46,China,CN,Liaoning,,,41.3,122.61,145,2,138,5,2020-04-14 00:00:00+00:00
47,China,CN,Gansu,,,37.81,101.06,139,2,136,1,2020-04-14 00:00:00+00:00
48,China,CN,Hong Kong,,,22.3,114.2,1009,4,397,608,2020-04-14 00:00:00+00:00
49,China,CN,Shanghai,,,31.2,121.45,618,7,458,153,2020-04-14 00:00:00+00:00
50,China,CN,Fujian,,,26.08,117.99,353,1,325,27,2020-04-14 00:00:00+00:00
51,China,CN,Hebei,,,39.55,116.13,327,6,314,7,2020-04-14 00:00:00+00:00
52,China,CN,Beijing,,,40.18,116.41,589,8,491,90,2020-04-14 00:00:00+00:00
53,China,CN,Yunnan,,,24.97,101.49,184,2,175,7,2020-04-14 00:00:00+00:00
54,China,CN,Guangdong,,,23.34,113.42,1564,8,1458,98,2020-04-14 00:00:00+00:00
55,China,CN,Tianjin,,,39.31,117.32,185,3,164,18,2020-04-14 00:00:00+00:00
56,China,CN,Shandong,,,36.34,118.15,784,7,759,18,2020-04-14 00:00:00+00:00
57,China,CN,Henan,,,33.88,113.61,1276,22,1254,0,2020-04-14 00:00:00+00:00
58,China,CN,Jiangsu,,,32.97,119.46,653,0,641,12,2020-04-14 00:00:00+00:00
59,China,CN,Hubei,,,30.98,112.27,67803,3221,64363,219,2020-04-14 00:00:00+00:00
60,China,CN,Zhejiang,,,29.18,120.09,1267,1,1242,24,2020-04-14 00:00:00+00:00
61,China,CN,Heilongjiang,,,47.86,127.76,819,13,470,336,2020-04-14 00:00:00+00:00
62,China,CN,Heilongjiang,,,47.86,127.76,841,13,470,358,2020-04-15 00:00:00+00:00
63,China,CN,Shanghai,,,31.2,121.45,622,7,468,147,2020-04-15 00:00:00+00:00
64,China,CN,Jiangsu,,,32.97,119.46,653,0,642,11,2020-04-15 00:00:00+00:00
65,China,CN,Yunnan,,,24.97,101.49,184,2,176,6,2020-04-15 00:00:00+00:00
66,China,CN,Shaanxi,,,35.19,108.87,256,3,251,2,2020-04-15 00:00:00+00:00
67,China,CN,Zhejiang,,,29.18,120.09,1268,1,1244,23,2020-04-15 00:00:00+00:00
68,China,CN,Fujian,,,26.08,117.99,353,1,331,21,2020-04-15 00:00:00+00:00
69,China,CN,Guangdong,,,23.34,113.42,1566,8,1462,96,2020-04-15 00:00:00+00:00
70,China,CN,Macau,,,22.17,113.55,45,0,15,30,2020-04-15 00:00:00+00:00
71,China,CN,Shandong,,,36.34,118.15,784,7,761,16,2020-04-15 00:00:00+00:00
72,China,CN,Inner Mongolia,,,44.09,113.94,190,1,94,95,2020-04-15 00:00:00+00:00
73,China,CN,Shanxi,,,37.58,112.29,186,0,135,51,2020-04-15 00:00:00+00:00
74,China,CN,Sichuan,,,30.62,102.71,560,3,550,7,2020-04-15 00:00:00+00:00
75,China,CN,Beijing,,,40.18,116.41,590,8,495,87,2020-04-15 00:00:00+00:00
76,China,CN,Jilin,,,43.67,126.19,102,1,96,5,2020-04-15 00:00:00+00:00
77,China,CN,Hubei,,,30.98,112.27,67803,3222,64402,179,2020-04-15 00:00:00+00:00
78,China,CN,Inner Mongolia,,,44.09,113.94,193,1,94,98,2020-04-16 00:00:00+00:00
79,China,CN,Yunnan,,,24.97,101.49,184,2,177,5,2020-04-16 00:00:00+00:00
80,China,CN,Fujian,,,26.08,117.99,353,1,333,19,2020-04-16 00:00:00+00:00
81,China,CN,Shanghai,,,31.2,121.45,628,7,489,132,2020-04-16 00:00:00+00:00
82,China,CN,Liaoning,,,41.3,122.61,145,2,140,3,2020-04-16 00:00:00+00:00
83,China,CN,Heilongjiang,,,47.86,127.76,861,13,471,377,2020-04-16 00:00:00+00:00
84,China,CN,Tianjin,,,39.31,117.32,185,3,174,8,2020-04-16 00:00:00+00:00
85,China,CN,Hong Kong,,,22.3,114.2,1017,4,485,528,2020-04-16 00:00:00+00:00
86,China,CN,Shanxi,,,37.58,112.29,194,0,135,59,2020-04-16 00:00:00+00:00
87,China,CN,Hubei,,,30.98,112.27,67803,3222,64435,146,2020-04-16 00:00:00+00:00
88,China,CN,Sichuan,,,30.62,102.71,560,3,552,5,2020-04-16 00:00:00+00:00
89,China,CN,Guangdong,,,23.34,113.42,1571,8,1471,92,2020-04-16 00:00:00+00:00
90,China,CN,Hebei,,,39.55,116.13,328,6,315,7,2020-04-16 00:00:00+00:00
91,China,CN,Gansu,,,37.81,101.06,139,2,137,0,2020-04-16 00:00:00+00:00
92,China,CN,Beijing,,,40.18,116.41,593,8,503,82,2020-04-16 00:00:00+00:00
93,China,CN,Zhejiang,,,29.18,120.09,1268,1,1246,21,2020-04-17 00:00:00+00:00
94,China,CN,Jilin,,,43.67,126.19,102,1,97,4,2020-04-17 00:00:00+00:00
95,China,CN,Heilongjiang,,,47.86,127.76,872,13,471,388,2020-04-17 00:00:00+00:00
96,China,CN,Beijing,,,40.18,116.41,593,8,511,74,2020-04-17 00:00:00+00:00
97,China,CN,Jiangsu,,,32.97,119.46,653,0,643,10,2020-04-17 00:00:00+00:00
98,China,CN,Shanghai,,,31.2,121.45,628,7,512,109,2020-04-17 00:00:00+00:00
99,China,CN,Guangdong,,,23.34,113.42,1577,8,1475,94,2020-04-17 00:00:00+00:00
100,China,CN,Tianjin,,,39.31,117.32,189,3,173,13,2020-04-17 00:00:00+00:00
101,China,CN,Shaanxi,,,35.19,108.87,256,3,252,1,2020-04-17 00:00:00+00:00
102,China,CN,Hubei,,,30.98,112.27,67803,3222,64452,129,2020-04-17 00:00:00+00:00
103,China,CN,Hebei,,,39.55,116.13,328,6,316,6,2020-04-17 00:00:00+00:00
104,China,CN,Inner Mongolia,,,44.09,113.94,193,1,103,89,2020-04-17 00:00:00+00:00
105,China,CN,Fujian,,,26.08,117.99,354,1,334,19,2020-04-17 00:00:00+00:00
106,China,CN,Shandong,,,36.34,118.15,787,7,761,19,2020-04-17 00:00:00+00:00
107,China,CN,Liaoning,,,41.3,122.61,146,2,140,4,2020-04-17 00:00:00+00:00
108,China,CN,Inner Mongolia,,,44.09,113.94,193,1,104,88,2020-04-18 00:00:00+00:00
109,China,CN,Macau,,,22.17,113.55,45,0,17,28,2020-04-18 00:00:00+00:00
110,China,CN,Heilongjiang,,,47.86,127.76,892,13,472,407,2020-04-18 00:00:00+00:00
