,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Colombia,CO,,,,4.57,-74.3,2776,109,270,2397,2020-04-13 00:00:00+00:00
1,Colombia,CO,,,,4.57,-74.3,2852,112,319,2421,2020-04-14 00:00:00+00:00
2,Colombia,CO,,,,4.57,-74.3,2979,127,354,2498,2020-04-15 00:00:00+00:00
3,Colombia,CO,,,,4.57,-74.3,3105,131,452,2522,2020-04-16 00:00:00+00:00
4,Colombia,CO,,,,4.57,-74.3,3233,144,550,2539,2020-04-17 00:00:00+00:00
5,Colombia,CO,,,,4.57,-74.3,3439,153,634,2652,2020-04-18 00:00:00+00:00
6,Colombia,CO,,,,4.57,-74.3,3621,166,691,2764,2020-04-19 00:00:00+00:00
7,Colombia,CO,,,,4.57,-74.3,3792,179,711,2902,2020-04-20 00:00:00+00:00
8,Colombia,CO,,,,4.57,-74.3,3977,189,804,2984,2020-04-21 00:00:00+00:00
9,Colombia,CO,,,,4.57,-74.3,4149,196,804,3149,2020-04-22 00:00:00+00:00
10,Colombia,CO,,,,4.57,-74.3,4356,206,870,3280,2020-04-23 00:00:00+00:00
11,Colombia,CO,,,,4.57,-74.3,4561,215,927,3419,2020-04-24 00:00:00+00:00
12,Colombia,CO,,,,4.57,-74.3,4881,225,1003,3653,2020-04-25 00:00:00+00:00
13,Colombia,CO,,,,4.57,-74.3,5142,233,1067,3842,2020-04-26 00:00:00+00:00
14,Colombia,CO,,,,4.57,-74.3,5379,244,1133,4002,2020-04-27 00:00:00+00:00
15,Colombia,CO,,,,4.57,-74.3,5597,253,1210,4134,2020-04-28 00:00:00+00:00
16,Colombia,CO,,,,4.57,-74.3,7668,340,1722,5606,2020-05-04 00:00:00+00:00
17,Colombia,CO,,,,4.57,-74.3,7973,358,1807,5808,2020-05-05 00:00:00+00:00
18,Colombia,CO,,,,4.57,-74.3,8613,378,2013,6222,2020-05-06 00:00:00+00:00
