,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Czech Republic,CZ,,,,49.82,15.47,3,0,0,3,2020-03-01 00:00:00+00:00
1,Czech Republic,CZ,,,,49.82,15.47,3,0,0,3,2020-03-02 00:00:00+00:00
2,Czech Republic,CZ,,,,49.82,15.47,5,0,0,5,2020-03-03 00:00:00+00:00
3,Czech Republic,CZ,,,,49.82,15.47,8,0,0,8,2020-03-04 00:00:00+00:00
4,Czech Republic,CZ,,,,49.82,15.47,12,0,0,12,2020-03-05 00:00:00+00:00
5,Czech Republic,CZ,,,,49.82,15.47,18,0,0,18,2020-03-06 00:00:00+00:00
6,Czech Republic,CZ,,,,49.82,15.47,19,0,0,19,2020-03-07 00:00:00+00:00
7,Czech Republic,CZ,,,,49.82,15.47,31,0,0,31,2020-03-08 00:00:00+00:00
8,Czech Republic,CZ,,,,49.82,15.47,31,0,0,31,2020-03-09 00:00:00+00:00
9,Czech Republic,CZ,,,,49.82,15.47,41,0,0,41,2020-03-10 00:00:00+00:00
10,Czech Republic,CZ,,,,49.82,15.47,91,0,0,91,2020-03-11 00:00:00+00:00
11,Czech Republic,CZ,,,,49.82,15.47,94,0,0,94,2020-03-12 00:00:00+00:00
12,Czech Republic,CZ,,,,49.82,15.47,141,0,0,141,2020-03-13 00:00:00+00:00
13,Czech Republic,CZ,,,,49.82,15.47,189,0,0,189,2020-03-14 00:00:00+00:00
14,Czech Republic,CZ,,,,49.82,15.47,253,0,0,253,2020-03-15 00:00:00+00:00
15,Czech Republic,CZ,,,,49.82,15.47,298,0,3,295,2020-03-16 00:00:00+00:00
16,Czech Republic,CZ,,,,49.82,15.47,396,0,3,393,2020-03-17 00:00:00+00:00
17,Czech Republic,CZ,,,,49.82,15.47,464,0,3,461,2020-03-18 00:00:00+00:00
18,Czech Republic,CZ,,,,49.82,15.47,694,0,3,691,2020-03-19 00:00:00+00:00
19,Czech Republic,CZ,,,,49.82,15.47,833,0,4,829,2020-03-20 00:00:00+00:00
20,Czech Republic,CZ,,,,49.82,15.47,995,0,6,989,2020-03-21 00:00:00+00:00
21,Czech Republic,CZ,,,,49.82,15.47,1120,1,6,1113,2020-03-22 00:00:00+00:00
22,Czech Republic,CZ,,,,49.82,15.47,1236,1,6,1229,2020-03-23 00:00:00+00:00
23,Czech Republic,CZ,,,,49.82,15.47,1394,3,10,1381,2020-03-24 00:00:00+00:00
24,Czech Republic,CZ,,,,49.82,15.47,1654,6,10,1638,2020-03-25 00:00:00+00:00
25,Czech Republic,CZ,,,,49.82,15.47,1925,9,10,1906,2020-03-26 00:00:00+00:00
26,Czech Republic,CZ,,,,49.82,15.47,2279,9,11,2259,2020-03-27 00:00:00+00:00
