,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Denmark,DK,,,,56.26,9.5,1,0,0,1,2020-02-27 00:00:00+00:00
1,Denmark,DK,,,,56.26,9.5,1,0,0,1,2020-02-28 00:00:00+00:00
2,Denmark,DK,,,,56.26,9.5,3,0,0,3,2020-02-29 00:00:00+00:00
3,Denmark,DK,,,,56.26,9.5,4,0,0,4,2020-03-01 00:00:00+00:00
4,Denmark,DK,,,,56.26,9.5,4,0,0,4,2020-03-02 00:00:00+00:00
5,Denmark,DK,,,,56.26,9.5,6,0,0,6,2020-03-03 00:00:00+00:00
6,Denmark,DK,,,,56.26,9.5,10,0,0,10,2020-03-04 00:00:00+00:00
7,Denmark,DK,Faroe Islands,,,61.89,-6.91,1,0,0,1,2020-03-04 00:00:00+00:00
8,Denmark,DK,,,,56.26,9.5,10,0,0,10,2020-03-05 00:00:00+00:00
9,Denmark,DK,Faroe Islands,,,61.89,-6.91,1,0,0,1,2020-03-05 00:00:00+00:00
10,Denmark,DK,,,,56.26,9.5,23,0,1,22,2020-03-06 00:00:00+00:00
11,Denmark,DK,Faroe Islands,,,61.89,-6.91,1,0,0,1,2020-03-06 00:00:00+00:00
12,Denmark,DK,,,,56.26,9.5,23,0,1,22,2020-03-07 00:00:00+00:00
13,Denmark,DK,Faroe Islands,,,61.89,-6.91,1,0,0,1,2020-03-07 00:00:00+00:00
14,Denmark,DK,,,,56.26,9.5,35,0,1,34,2020-03-08 00:00:00+00:00
15,Denmark,DK,Faroe Islands,,,61.89,-6.91,2,0,0,2,2020-03-08 00:00:00+00:00
16,Denmark,DK,,,,56.26,9.5,90,0,1,89,2020-03-09 00:00:00+00:00
17,Denmark,DK,Faroe Islands,,,61.89,-6.91,2,0,0,2,2020-03-09 00:00:00+00:00
18,Denmark,DK,,,,56.26,9.5,262,0,1,261,2020-03-10 00:00:00+00:00
19,Denmark,DK,Faroe Islands,,,61.89,-6.91,2,0,0,2,2020-03-10 00:00:00+00:00
20,Denmark,DK,,,,56.26,9.5,442,0,1,441,2020-03-11 00:00:00+00:00
21,Denmark,DK,Faroe Islands,,,61.89,-6.91,2,0,0,2,2020-03-11 00:00:00+00:00
22,Denmark,DK,,,,56.26,9.5,615,0,1,614,2020-03-12 00:00:00+00:00
23,Denmark,DK,Faroe Islands,,,61.89,-6.91,2,0,0,2,2020-03-12 00:00:00+00:00
24,Denmark,DK,,,,56.26,9.5,801,0,1,800,2020-03-13 00:00:00+00:00
25,Denmark,DK,Faroe Islands,,,61.89,-6.91,3,0,0,3,2020-03-13 00:00:00+00:00
26,Denmark,DK,,,,56.26,9.5,827,1,1,825,2020-03-14 00:00:00+00:00
27,Denmark,DK,Faroe Islands,,,61.89,-6.91,9,0,0,9,2020-03-14 00:00:00+00:00
28,Denmark,DK,,,,56.26,9.5,864,2,1,861,2020-03-15 00:00:00+00:00
29,Denmark,DK,Faroe Islands,,,61.89,-6.91,11,0,0,11,2020-03-15 00:00:00+00:00
30,Denmark,DK,,,,56.26,9.5,914,3,1,910,2020-03-16 00:00:00+00:00
31,Denmark,DK,Faroe Islands,,,61.89,-6.91,18,0,0,18,2020-03-16 00:00:00+00:00
32,Denmark,DK,Greenland,,,71.71,-42.6,1,0,0,1,2020-03-16 00:00:00+00:00
33,Denmark,DK,,,,56.26,9.5,977,4,1,972,2020-03-17 00:00:00+00:00
