,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Ecuador,EC,,,,-1.83,-78.18,6,0,0,6,2020-03-01 00:00:00+00:00
1,Ecuador,EC,,,,-1.83,-78.18,6,0,0,6,2020-03-02 00:00:00+00:00
2,Ecuador,EC,,,,-1.83,-78.18,7,0,0,7,2020-03-03 00:00:00+00:00
3,Ecuador,EC,,,,-1.83,-78.18,10,0,0,10,2020-03-04 00:00:00+00:00
4,Ecuador,EC,,,,-1.83,-78.18,13,0,0,13,2020-03-05 00:00:00+00:00
5,Ecuador,EC,,,,-1.83,-78.18,13,0,0,13,2020-03-06 00:00:00+00:00
6,Ecuador,EC,,,,-1.83,-78.18,13,0,0,13,2020-03-07 00:00:00+00:00
7,Ecuador,EC,,,,-1.83,-78.18,14,0,0,14,2020-03-08 00:00:00+00:00
8,Ecuador,EC,,,,-1.83,-78.18,15,0,0,15,2020-03-09 00:00:00+00:00
9,Ecuador,EC,,,,-1.83,-78.18,15,0,0,15,2020-03-10 00:00:00+00:00
10,Ecuador,EC,,,,-1.83,-78.18,17,0,0,17,2020-03-11 00:00:00+00:00
11,Ecuador,EC,,,,-1.83,-78.18,17,0,0,17,2020-03-12 00:00:00+00:00
12,Ecuador,EC,,,,-1.83,-78.18,17,0,0,17,2020-03-13 00:00:00+00:00
13,Ecuador,EC,,,,-1.83,-78.18,28,2,0,26,2020-03-14 00:00:00+00:00
14,Ecuador,EC,,,,-1.83,-78.18,28,2,0,26,2020-03-15 00:00:00+00:00
15,Ecuador,EC,,,,-1.83,-78.18,37,2,0,35,2020-03-16 00:00:00+00:00
16,Ecuador,EC,,,,-1.83,-78.18,58,2,0,56,2020-03-17 00:00:00+00:00
17,Ecuador,EC,,,,-1.83,-78.18,111,2,0,109,2020-03-18 00:00:00+00:00
18,Ecuador,EC,,,,-1.83,-78.18,199,3,0,196,2020-03-19 00:00:00+00:00
19,Ecuador,EC,,,,-1.83,-78.18,367,5,0,362,2020-03-20 00:00:00+00:00
20,Ecuador,EC,,,,-1.83,-78.18,506,7,3,496,2020-03-21 00:00:00+00:00
21,Ecuador,EC,,,,-1.83,-78.18,789,14,3,772,2020-03-22 00:00:00+00:00
22,Ecuador,EC,,,,-1.83,-78.18,981,18,3,960,2020-03-23 00:00:00+00:00
23,Ecuador,EC,,,,-1.83,-78.18,1082,27,3,1052,2020-03-24 00:00:00+00:00
24,Ecuador,EC,,,,-1.83,-78.18,1173,28,3,1142,2020-03-25 00:00:00+00:00
25,Ecuador,EC,,,,-1.83,-78.18,1403,34,3,1366,2020-03-26 00:00:00+00:00
26,Ecuador,EC,,,,-1.83,-78.18,1595,36,3,1556,2020-03-27 00:00:00+00:00
27,Ecuador,EC,,,,-1.83,-78.18,1823,48,3,1772,2020-03-28 00:00:00+00:00
28,Ecuador,EC,,,,-1.83,-78.18,1924,58,3,1863,2020-03-29 00:00:00+00:00
29,Ecuador,EC,,,,-1.83,-78.18,1962,60,3,1899,2020-03-30 00:00:00+00:00
30,Ecuador,EC,,,,-1.83,-78.18,2240,75,54,2111,2020-03-31 00:00:00+00:00
31,Ecuador,EC,,,,-1.83,-78.18,2748,93,58,2597,2020-04-01 00:00:00+00:00
32,Ecuador,EC,,,,-1.83,-78.18,3163,120,65,2978,2020-04-02 00:00:00+00:00
33,Ecuador,EC,,,,-1.83,-78.18,3368,145,65,3158,2020-04-03 00:00:00+00:00
34,Ecuador,EC,,,,-1.83,-78.18,3465,172,100,3193,2020-04-04 00:00:00+00:00
35,Ecuador,EC,,,,-1.83,-78.18,3646,180,100,3366,2020-04-05 00:00:00+00:00
36,Ecuador,EC,,,,-1.83,-78.18,3747,191,100,3456,2020-04-06 00:00:00+00:00
37,Ecuador,EC,,,,-1.83,-78.18,3747,191,100,3456,2020-04-07 00:00:00+00:00
38,Ecuador,EC,,,,-1.83,-78.18,4450,242,140,4068,2020-04-08 00:00:00+00:00
39,Ecuador,EC,,,,-1.83,-78.18,4965,272,339,4354,2020-04-09 00:00:00+00:00
40,Ecuador,EC,,,,-1.83,-78.18,7161,297,368,6496,2020-04-10 00:00:00+00:00
41,Ecuador,EC,,,,-1.83,-78.18,7257,315,411,6531,2020-04-11 00:00:00+00:00
42,Ecuador,EC,,,,-1.83,-78.18,7466,333,501,6632,2020-04-12 00:00:00+00:00
43,Ecuador,EC,,,,-1.83,-78.18,7529,355,597,6577,2020-04-13 00:00:00+00:00
44,Ecuador,EC,,,,-1.83,-78.18,7603,369,696,6538,2020-04-14 00:00:00+00:00
45,Ecuador,EC,,,,-1.83,-78.18,7858,388,780,6690,2020-04-15 00:00:00+00:00
46,Ecuador,EC,,,,-1.83,-78.18,8225,403,838,6984,2020-04-16 00:00:00+00:00
47,Ecuador,EC,,,,-1.83,-78.18,8450,421,838,7191,2020-04-17 00:00:00+00:00
48,Ecuador,EC,,,,-1.83,-78.18,9022,456,1008,7558,2020-04-18 00:00:00+00:00
49,Ecuador,EC,,,,-1.83,-78.18,9468,474,1061,7933,2020-04-19 00:00:00+00:00
50,Ecuador,EC,,,,-1.83,-78.18,10128,507,1150,8471,2020-04-20 00:00:00+00:00
