,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Egypt,EG,,,,26.82,30.8,1,0,0,1,2020-02-14 00:00:00+00:00
1,Egypt,EG,,,,26.82,30.8,1,0,0,1,2020-02-15 00:00:00+00:00
2,Egypt,EG,,,,26.82,30.8,1,0,0,1,2020-02-16 00:00:00+00:00
3,Egypt,EG,,,,26.82,30.8,1,0,0,1,2020-02-17 00:00:00+00:00
4,Egypt,EG,,,,26.82,30.8,1,0,0,1,2020-02-18 00:00:00+00:00
5,Egypt,EG,,,,26.82,30.8,1,0,0,1,2020-02-19 00:00:00+00:00
6,Egypt,EG,,,,26.82,30.8,1,0,0,1,2020-02-20 00:00:00+00:00
7,Egypt,EG,,,,26.82,30.8,1,0,0,1,2020-02-21 00:00:00+00:00
8,Egypt,EG,,,,26.82,30.8,1,0,0,1,2020-02-22 00:00:00+00:00
9,Egypt,EG,,,,26.82,30.8,1,0,0,1,2020-02-23 00:00:00+00:00
10,Egypt,EG,,,,26.82,30.8,1,0,0,1,2020-02-24 00:00:00+00:00
11,Egypt,EG,,,,26.82,30.8,1,0,0,1,2020-02-25 00:00:00+00:00
12,Egypt,EG,,,,26.82,30.8,1,0,0,1,2020-02-26 00:00:00+00:00
13,Egypt,EG,,,,26.82,30.8,1,0,0,1,2020-02-27 00:00:00+00:00
14,Egypt,EG,,,,26.82,30.8,1,0,1,0,2020-02-28 00:00:00+00:00
15,Egypt,EG,,,,26.82,30.8,1,0,1,0,2020-02-29 00:00:00+00:00
16,Egypt,EG,,,,26.82,30.8,2,0,1,1,2020-03-01 00:00:00+00:00
17,Egypt,EG,,,,26.82,30.8,2,0,1,1,2020-03-02 00:00:00+00:00
18,Egypt,EG,,,,26.82,30.8,2,0,1,1,2020-03-03 00:00:00+00:00
19,Egypt,EG,,,,26.82,30.8,2,0,1,1,2020-03-04 00:00:00+00:00
20,Egypt,EG,,,,26.82,30.8,3,0,1,2,2020-03-05 00:00:00+00:00
21,Egypt,EG,,,,26.82,30.8,15,0,1,14,2020-03-06 00:00:00+00:00
22,Egypt,EG,,,,26.82,30.8,15,0,1,14,2020-03-07 00:00:00+00:00
23,Egypt,EG,,,,26.82,30.8,49,1,1,47,2020-03-08 00:00:00+00:00
24,Egypt,EG,,,,26.82,30.8,55,1,1,53,2020-03-09 00:00:00+00:00
25,Egypt,EG,,,,26.82,30.8,59,1,1,57,2020-03-10 00:00:00+00:00
26,Egypt,EG,,,,26.82,30.8,60,1,27,32,2020-03-11 00:00:00+00:00
27,Egypt,EG,,,,26.82,30.8,67,1,27,39,2020-03-12 00:00:00+00:00
28,Egypt,EG,,,,26.82,30.8,80,2,27,51,2020-03-13 00:00:00+00:00
29,Egypt,EG,,,,26.82,30.8,109,2,27,80,2020-03-14 00:00:00+00:00
30,Egypt,EG,,,,26.82,30.8,110,2,21,87,2020-03-15 00:00:00+00:00
31,Egypt,EG,,,,26.82,30.8,150,2,27,121,2020-03-16 00:00:00+00:00
32,Egypt,EG,,,,26.82,30.8,196,4,32,160,2020-03-17 00:00:00+00:00
33,Egypt,EG,,,,26.82,30.8,196,6,32,158,2020-03-18 00:00:00+00:00
34,Egypt,EG,,,,26.82,30.8,256,6,32,218,2020-03-19 00:00:00+00:00
35,Egypt,EG,,,,26.82,30.8,285,8,39,238,2020-03-20 00:00:00+00:00
36,Egypt,EG,,,,26.82,30.8,294,10,41,243,2020-03-21 00:00:00+00:00
37,Egypt,EG,,,,26.82,30.8,327,14,56,257,2020-03-22 00:00:00+00:00
38,Egypt,EG,,,,26.82,30.8,366,19,56,291,2020-03-23 00:00:00+00:00
39,Egypt,EG,,,,26.82,30.8,402,20,80,302,2020-03-24 00:00:00+00:00
40,Egypt,EG,,,,26.82,30.8,456,21,95,340,2020-03-25 00:00:00+00:00
41,Egypt,EG,,,,26.82,30.8,495,24,102,369,2020-03-26 00:00:00+00:00
42,Egypt,EG,,,,26.82,30.8,536,30,116,390,2020-03-27 00:00:00+00:00
43,Egypt,EG,,,,26.82,30.8,576,36,121,419,2020-03-28 00:00:00+00:00
44,Egypt,EG,,,,26.82,30.8,609,40,132,437,2020-03-29 00:00:00+00:00
45,Egypt,EG,,,,26.82,30.8,656,41,150,465,2020-03-30 00:00:00+00:00
46,Egypt,EG,,,,26.82,30.8,710,46,157,507,2020-03-31 00:00:00+00:00
47,Egypt,EG,,,,26.82,30.8,779,52,179,548,2020-04-01 00:00:00+00:00
48,Egypt,EG,,,,26.82,30.8,865,58,201,606,2020-04-02 00:00:00+00:00
49,Egypt,EG,,,,26.82,30.8,985,66,216,703,2020-04-03 00:00:00+00:00
50,Egypt,EG,,,,26.82,30.8,1070,71,241,758,2020-04-04 00:00:00+00:00
51,Egypt,EG,,,,26.82,30.8,1173,78,247,848,2020-04-05 00:00:00+00:00
52,Egypt,EG,,,,26.82,30.8,1322,85,259,978,2020-04-06 00:00:00+00:00
53,Egypt,EG,,,,26.82,30.8,1450,94,276,1080,2020-04-07 00:00:00+00:00
54,Egypt,EG,,,,26.82,30.8,1560,103,305,1152,2020-04-08 00:00:00+00:00
55,Egypt,EG,,,,26.82,30.8,1699,118,348,1233,2020-04-09 00:00:00+00:00
56,Egypt,EG,,,,26.82,30.8,1794,135,384,1275,2020-04-10 00:00:00+00:00
57,Egypt,EG,,,,26.82,30.8,1939,146,426,1367,2020-04-11 00:00:00+00:00
58,Egypt,EG,,,,26.82,30.8,2065,159,589,1317,2020-04-12 00:00:00+00:00
59,Egypt,EG,,,,26.82,30.8,2190,164,589,1437,2020-04-13 00:00:00+00:00
60,Egypt,EG,,,,26.82,30.8,2350,178,589,1583,2020-04-14 00:00:00+00:00
61,Egypt,EG,,,,26.82,30.8,2505,183,589,1733,2020-04-15 00:00:00+00:00
62,Egypt,EG,,,,26.82,30.8,2673,196,596,1881,2020-04-16 00:00:00+00:00
63,Egypt,EG,,,,26.82,30.8,2844,205,646,1993,2020-04-17 00:00:00+00:00
64,Egypt,EG,,,,26.82,30.8,3032,224,701,2107,2020-04-18 00:00:00+00:00
65,Egypt,EG,,,,26.82,30.8,3144,239,732,2173,2020-04-19 00:00:00+00:00
66,Egypt,EG,,,,26.82,30.8,3333,250,821,2262,2020-04-20 00:00:00+00:00
67,Egypt,EG,,,,26.82,30.8,3490,264,870,2356,2020-04-21 00:00:00+00:00
68,Egypt,EG,,,,26.82,30.8,3659,276,935,2448,2020-04-22 00:00:00+00:00
69,Egypt,EG,,,,26.82,30.8,3891,287,1004,2600,2020-04-23 00:00:00+00:00
70,Egypt,EG,,,,26.82,30.8,4092,294,1075,2723,2020-04-24 00:00:00+00:00
71,Egypt,EG,,,,26.82,30.8,4319,307,1114,2898,2020-04-25 00:00:00+00:00
72,Egypt,EG,,,,26.82,30.8,4534,317,1176,3041,2020-04-26 00:00:00+00:00
73,Egypt,EG,,,,26.82,30.8,4782,337,1236,3209,2020-04-27 00:00:00+00:00
74,Egypt,EG,,,,26.82,30.8,5042,359,1304,3379,2020-04-28 00:00:00+00:00
75,Egypt,EG,,,,26.82,30.8,5268,380,1335,3553,2020-04-29 00:00:00+00:00
76,Egypt,EG,,,,26.82,30.8,5537,392,1381,3764,2020-04-30 00:00:00+00:00
77,Egypt,EG,,,,26.82,30.8,5895,406,1460,4029,2020-05-01 00:00:00+00:00
78,Egypt,EG,,,,26.82,30.8,6193,415,1522,4256,2020-05-02 00:00:00+00:00
79,Egypt,EG,,,,26.82,30.8,6465,429,1562,4474,2020-05-03 00:00:00+00:00
