,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,France,FR,Mayotte,,,-12.83,45.17,196,3,59,134,2020-04-13 00:00:00+00:00
1,France,FR,Martinique,,,14.64,-61.02,155,6,50,99,2020-04-13 00:00:00+00:00
2,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,4,2,2020-04-13 00:00:00+00:00
3,France,FR,New Caledonia,,,-20.9,165.62,18,0,1,17,2020-04-13 00:00:00+00:00
4,France,FR,Reunion,,,-21.14,55.25,389,0,40,349,2020-04-13 00:00:00+00:00
5,France,FR,Guadeloupe,,,16.25,-61.58,143,8,67,68,2020-04-13 00:00:00+00:00
6,France,FR,French Polynesia,,,-17.68,149.41,53,0,0,53,2020-04-13 00:00:00+00:00
7,France,FR,French Guiana,,,3.93,-53.13,86,0,51,35,2020-04-13 00:00:00+00:00
8,France,FR,,,,46.23,2.21,132591,14393,27186,91012,2020-04-13 00:00:00+00:00
9,France,FR,St Martin,,,18.07,-63.05,32,2,11,19,2020-04-13 00:00:00+00:00
10,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-13 00:00:00+00:00
11,France,FR,,,,46.23,2.21,136779,14967,27718,94094,2020-04-14 00:00:00+00:00
12,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,4,2,2020-04-14 00:00:00+00:00
13,France,FR,New Caledonia,,,-20.9,165.62,18,0,1,17,2020-04-14 00:00:00+00:00
14,France,FR,French Guiana,,,3.93,-53.13,86,0,51,35,2020-04-14 00:00:00+00:00
15,France,FR,Reunion,,,-21.14,55.25,391,0,40,351,2020-04-14 00:00:00+00:00
16,France,FR,Martinique,,,14.64,-61.02,157,6,50,101,2020-04-14 00:00:00+00:00
17,France,FR,Guadeloupe,,,16.25,-61.58,145,8,67,70,2020-04-14 00:00:00+00:00
18,France,FR,St Martin,,,18.07,-63.05,32,2,11,19,2020-04-14 00:00:00+00:00
19,France,FR,French Polynesia,,,-17.68,149.41,55,0,0,55,2020-04-14 00:00:00+00:00
20,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-14 00:00:00+00:00
21,France,FR,Mayotte,,,-12.83,45.17,207,3,59,145,2020-04-14 00:00:00+00:00
22,France,FR,French Polynesia,,,-17.68,149.41,55,0,0,55,2020-04-15 00:00:00+00:00
23,France,FR,,,,46.23,2.21,130253,15729,28805,85719,2020-04-15 00:00:00+00:00
24,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-15 00:00:00+00:00
25,France,FR,Mayotte,,,-12.83,45.17,217,3,69,145,2020-04-15 00:00:00+00:00
26,France,FR,St Martin,,,18.07,-63.05,32,2,11,19,2020-04-15 00:00:00+00:00
27,France,FR,Reunion,,,-21.14,55.25,391,0,40,351,2020-04-15 00:00:00+00:00
28,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,4,2,2020-04-15 00:00:00+00:00
29,France,FR,New Caledonia,,,-20.9,165.62,18,0,1,17,2020-04-15 00:00:00+00:00
30,France,FR,Martinique,,,14.64,-61.02,157,6,50,101,2020-04-15 00:00:00+00:00
31,France,FR,French Guiana,,,3.93,-53.13,86,0,51,35,2020-04-15 00:00:00+00:00
32,France,FR,Guadeloupe,,,16.25,-61.58,145,8,67,70,2020-04-15 00:00:00+00:00
33,France,FR,French Guiana,,,3.93,-53.13,86,0,51,35,2020-04-16 00:00:00+00:00
34,France,FR,St Martin,,,18.07,-63.05,35,2,13,20,2020-04-16 00:00:00+00:00
35,France,FR,Reunion,,,-21.14,55.25,391,0,237,154,2020-04-16 00:00:00+00:00
36,France,FR,,,,46.23,2.21,133470,17167,30955,85348,2020-04-16 00:00:00+00:00
37,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-16 00:00:00+00:00
38,France,FR,Martinique,,,14.64,-61.02,158,8,73,77,2020-04-16 00:00:00+00:00
39,France,FR,New Caledonia,,,-20.9,165.62,18,0,1,17,2020-04-16 00:00:00+00:00
40,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,4,2,2020-04-16 00:00:00+00:00
41,France,FR,French Polynesia,,,-17.68,149.41,55,0,0,55,2020-04-16 00:00:00+00:00
42,France,FR,Guadeloupe,,,16.25,-61.58,145,8,67,70,2020-04-16 00:00:00+00:00
43,France,FR,Mayotte,,,-12.83,45.17,217,3,69,145,2020-04-16 00:00:00+00:00
44,France,FR,New Caledonia,,,-20.9,165.62,18,0,1,17,2020-04-17 00:00:00+00:00
45,France,FR,St Martin,,,18.07,-63.05,35,2,13,20,2020-04-17 00:00:00+00:00
46,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-17 00:00:00+00:00
47,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,4,2,2020-04-17 00:00:00+00:00
48,France,FR,French Guiana,,,3.93,-53.13,86,0,51,35,2020-04-17 00:00:00+00:00
49,France,FR,Mayotte,,,-12.83,45.17,233,3,69,161,2020-04-17 00:00:00+00:00
50,France,FR,French Polynesia,,,-17.68,149.41,55,0,0,55,2020-04-17 00:00:00+00:00
51,France,FR,,,,46.23,2.21,145960,17920,32812,95228,2020-04-17 00:00:00+00:00
52,France,FR,Reunion,,,-21.14,55.25,394,0,237,157,2020-04-17 00:00:00+00:00
53,France,FR,Martinique,,,14.64,-61.02,158,8,73,77,2020-04-17 00:00:00+00:00
54,France,FR,Guadeloupe,,,16.25,-61.58,145,8,67,70,2020-04-17 00:00:00+00:00
55,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-18 00:00:00+00:00
56,France,FR,St Martin,,,18.07,-63.05,35,2,13,20,2020-04-18 00:00:00+00:00
57,France,FR,Mayotte,,,-12.83,45.17,245,4,117,124,2020-04-18 00:00:00+00:00
58,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,4,2,2020-04-18 00:00:00+00:00
59,France,FR,,,,46.23,2.21,147969,18681,34420,94868,2020-04-18 00:00:00+00:00
60,France,FR,French Polynesia,,,-17.68,149.41,55,0,2,53,2020-04-18 00:00:00+00:00
61,France,FR,Martinique,,,14.64,-61.02,158,8,73,77,2020-04-18 00:00:00+00:00
62,France,FR,New Caledonia,,,-20.9,165.62,18,0,14,4,2020-04-18 00:00:00+00:00
63,France,FR,Guadeloupe,,,16.25,-61.58,145,8,67,70,2020-04-18 00:00:00+00:00
64,France,FR,Reunion,,,-21.14,55.25,402,0,237,165,2020-04-18 00:00:00+00:00
65,France,FR,French Guiana,,,3.93,-53.13,96,0,61,35,2020-04-18 00:00:00+00:00
66,France,FR,Guadeloupe,,,16.25,-61.58,148,8,73,67,2020-04-19 00:00:00+00:00
67,France,FR,Reunion,,,-21.14,55.25,407,0,237,170,2020-04-19 00:00:00+00:00
68,France,FR,Mayotte,,,-12.83,45.17,254,4,117,133,2020-04-19 00:00:00+00:00
69,France,FR,,,,46.23,2.21,151793,19323,35983,96487,2020-04-19 00:00:00+00:00
70,France,FR,New Caledonia,,,-20.9,165.62,18,0,14,4,2020-04-19 00:00:00+00:00
71,France,FR,Martinique,,,14.64,-61.02,163,12,73,78,2020-04-19 00:00:00+00:00
72,France,FR,French Guiana,,,3.93,-53.13,96,0,64,32,2020-04-19 00:00:00+00:00
73,France,FR,French Polynesia,,,-17.68,149.41,55,0,2,53,2020-04-19 00:00:00+00:00
74,France,FR,St Martin,,,18.07,-63.05,37,2,19,16,2020-04-19 00:00:00+00:00
75,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,5,1,2020-04-19 00:00:00+00:00
76,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-19 00:00:00+00:00
77,France,FR,French Guiana,,,3.93,-53.13,96,0,64,32,2020-04-20 00:00:00+00:00
78,France,FR,Martinique,,,14.64,-61.02,163,12,73,78,2020-04-20 00:00:00+00:00
79,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,5,1,2020-04-20 00:00:00+00:00
80,France,FR,New Caledonia,,,-20.9,165.62,18,0,15,3,2020-04-20 00:00:00+00:00
81,France,FR,Guadeloupe,,,16.25,-61.58,148,8,73,67,2020-04-20 00:00:00+00:00
82,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-20 00:00:00+00:00
83,France,FR,Reunion,,,-21.14,55.25,408,0,237,171,2020-04-20 00:00:00+00:00
84,France,FR,St Martin,,,18.07,-63.05,37,2,19,16,2020-04-20 00:00:00+00:00
85,France,FR,French Polynesia,,,-17.68,149.41,55,0,2,53,2020-04-20 00:00:00+00:00
86,France,FR,Mayotte,,,-12.83,45.17,271,4,117,150,2020-04-20 00:00:00+00:00
87,France,FR,,,,46.23,2.21,152894,19718,36578,96598,2020-04-20 00:00:00+00:00
88,France,FR,New Caledonia,,,-20.9,165.62,18,0,15,3,2020-04-21 00:00:00+00:00
89,France,FR,Guadeloupe,,,16.25,-61.58,148,8,73,67,2020-04-21 00:00:00+00:00
90,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-21 00:00:00+00:00
91,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,5,1,2020-04-21 00:00:00+00:00
92,France,FR,French Polynesia,,,-17.68,149.41,56,0,19,37,2020-04-21 00:00:00+00:00
93,France,FR,French Guiana,,,3.93,-53.13,97,1,69,27,2020-04-21 00:00:00+00:00
94,France,FR,,,,46.23,2.21,155275,20265,37409,97601,2020-04-21 00:00:00+00:00
95,France,FR,Reunion,,,-21.14,55.25,408,0,237,171,2020-04-21 00:00:00+00:00
96,France,FR,Mayotte,,,-12.83,45.17,271,4,117,150,2020-04-21 00:00:00+00:00
97,France,FR,Martinique,,,14.64,-61.02,163,12,73,78,2020-04-21 00:00:00+00:00
98,France,FR,St Martin,,,18.07,-63.05,37,2,19,16,2020-04-21 00:00:00+00:00
99,France,FR,Guadeloupe,,,16.25,-61.58,148,12,73,63,2020-04-22 00:00:00+00:00
100,France,FR,,,,46.23,2.21,158050,20796,39181,98073,2020-04-22 00:00:00+00:00
101,France,FR,French Polynesia,,,-17.68,149.41,57,0,35,22,2020-04-22 00:00:00+00:00
102,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-22 00:00:00+00:00
103,France,FR,Mayotte,,,-12.83,45.17,311,4,117,190,2020-04-22 00:00:00+00:00
104,France,FR,Reunion,,,-21.14,55.25,410,0,238,172,2020-04-22 00:00:00+00:00
105,France,FR,French Guiana,,,3.93,-53.13,97,1,76,20,2020-04-22 00:00:00+00:00
106,France,FR,New Caledonia,,,-20.9,165.62,18,0,17,1,2020-04-22 00:00:00+00:00
107,France,FR,Martinique,,,14.64,-61.02,163,14,73,76,2020-04-22 00:00:00+00:00
108,France,FR,St Martin,,,18.07,-63.05,38,2,19,17,2020-04-22 00:00:00+00:00
109,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,6,0,2020-04-22 00:00:00+00:00
110,France,FR,New Caledonia,,,-20.9,165.62,18,0,17,1,2020-04-23 00:00:00+00:00
111,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,6,0,2020-04-23 00:00:00+00:00
112,France,FR,Guadeloupe,,,16.25,-61.58,148,12,73,63,2020-04-23 00:00:00+00:00
113,France,FR,St Martin,,,18.07,-63.05,38,2,19,17,2020-04-23 00:00:00+00:00
114,France,FR,,,,46.23,2.21,155860,21340,40657,93863,2020-04-23 00:00:00+00:00
115,France,FR,Reunion,,,-21.14,55.25,410,0,238,172,2020-04-23 00:00:00+00:00
116,France,FR,Martinique,,,14.64,-61.02,164,14,73,77,2020-04-23 00:00:00+00:00
117,France,FR,French Guiana,,,3.93,-53.13,107,1,84,22,2020-04-23 00:00:00+00:00
118,France,FR,Mayotte,,,-12.83,45.17,326,4,125,197,2020-04-23 00:00:00+00:00
119,France,FR,French Polynesia,,,-17.68,149.41,57,0,35,22,2020-04-23 00:00:00+00:00
120,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-23 00:00:00+00:00
121,France,FR,St Martin,,,18.07,-63.05,38,2,19,17,2020-04-24 00:00:00+00:00
122,France,FR,Guadeloupe,,,16.25,-61.58,148,12,76,60,2020-04-24 00:00:00+00:00
123,France,FR,French Guiana,,,3.93,-53.13,107,1,84,22,2020-04-24 00:00:00+00:00
124,France,FR,Reunion,,,-21.14,55.25,412,0,238,174,2020-04-24 00:00:00+00:00
125,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-24 00:00:00+00:00
126,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,6,0,2020-04-24 00:00:00+00:00
127,France,FR,Mayotte,,,-12.83,45.17,326,4,125,197,2020-04-24 00:00:00+00:00
128,France,FR,Martinique,,,14.64,-61.02,164,14,73,77,2020-04-24 00:00:00+00:00
129,France,FR,,,,46.23,2.21,158183,21856,42088,94239,2020-04-24 00:00:00+00:00
130,France,FR,French Polynesia,,,-17.68,149.41,57,0,36,21,2020-04-24 00:00:00+00:00
131,France,FR,New Caledonia,,,-20.9,165.62,18,0,17,1,2020-04-24 00:00:00+00:00
132,France,FR,Mayotte,,,-12.83,45.17,354,4,144,206,2020-04-25 00:00:00+00:00
133,France,FR,French Polynesia,,,-17.68,149.41,57,0,41,16,2020-04-25 00:00:00+00:00
134,France,FR,New Caledonia,,,-20.9,165.62,18,0,17,1,2020-04-25 00:00:00+00:00
135,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,6,0,2020-04-25 00:00:00+00:00
136,France,FR,Martinique,,,14.64,-61.02,170,14,77,79,2020-04-25 00:00:00+00:00
137,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-25 00:00:00+00:00
138,France,FR,St Martin,,,18.07,-63.05,38,3,24,11,2020-04-25 00:00:00+00:00
139,France,FR,French Guiana,,,3.93,-53.13,111,1,87,23,2020-04-25 00:00:00+00:00
140,France,FR,Reunion,,,-21.14,55.25,412,0,300,112,2020-04-25 00:00:00+00:00
141,France,FR,Guadeloupe,,,16.25,-61.58,149,12,82,55,2020-04-25 00:00:00+00:00
142,France,FR,,,,46.23,2.21,158636,22245,43493,92898,2020-04-25 00:00:00+00:00
143,France,FR,Guadeloupe,,,16.25,-61.58,149,12,82,55,2020-04-26 00:00:00+00:00
144,France,FR,,,,46.23,2.21,160292,22614,44594,93084,2020-04-26 00:00:00+00:00
145,France,FR,French Guiana,,,3.93,-53.13,111,1,87,23,2020-04-26 00:00:00+00:00
146,France,FR,Mayotte,,,-12.83,45.17,380,4,144,232,2020-04-26 00:00:00+00:00
147,France,FR,Martinique,,,14.64,-61.02,175,14,77,84,2020-04-26 00:00:00+00:00
148,France,FR,French Polynesia,,,-17.68,149.41,57,0,41,16,2020-04-26 00:00:00+00:00
149,France,FR,Reunion,,,-21.14,55.25,417,0,300,117,2020-04-26 00:00:00+00:00
150,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-26 00:00:00+00:00
151,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,6,0,2020-04-26 00:00:00+00:00
152,France,FR,New Caledonia,,,-20.9,165.62,18,0,17,1,2020-04-26 00:00:00+00:00
153,France,FR,St Martin,,,18.07,-63.05,38,3,24,11,2020-04-26 00:00:00+00:00
154,France,FR,French Polynesia,,,-17.68,149.41,57,0,41,16,2020-04-27 00:00:00+00:00
155,France,FR,Guadeloupe,,,16.25,-61.58,149,12,82,55,2020-04-27 00:00:00+00:00
156,France,FR,Reunion,,,-21.14,55.25,417,0,300,117,2020-04-27 00:00:00+00:00
157,France,FR,,,,46.23,2.21,160847,22856,44903,93088,2020-04-27 00:00:00+00:00
158,France,FR,Mayotte,,,-12.83,45.17,401,4,144,253,2020-04-27 00:00:00+00:00
159,France,FR,St Martin,,,18.07,-63.05,38,3,24,11,2020-04-27 00:00:00+00:00
160,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,6,0,2020-04-27 00:00:00+00:00
161,France,FR,French Guiana,,,3.93,-53.13,111,1,87,23,2020-04-27 00:00:00+00:00
162,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-27 00:00:00+00:00
163,France,FR,Martinique,,,14.64,-61.02,175,14,77,84,2020-04-27 00:00:00+00:00
164,France,FR,New Caledonia,,,-20.9,165.62,18,0,17,1,2020-04-27 00:00:00+00:00
165,France,FR,French Polynesia,,,-17.68,149.41,57,0,43,14,2020-04-28 00:00:00+00:00
166,France,FR,Mayotte,,,-12.83,45.17,401,4,144,253,2020-04-28 00:00:00+00:00
167,France,FR,,,,46.23,2.21,164589,23293,45513,95783,2020-04-28 00:00:00+00:00
168,France,FR,French Guiana,,,3.93,-53.13,111,1,87,23,2020-04-28 00:00:00+00:00
169,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,6,0,2020-04-28 00:00:00+00:00
170,France,FR,Reunion,,,-21.14,55.25,417,0,300,117,2020-04-28 00:00:00+00:00
171,France,FR,Martinique,,,14.64,-61.02,175,14,77,84,2020-04-28 00:00:00+00:00
172,France,FR,Guadeloupe,,,16.25,-61.58,149,12,82,55,2020-04-28 00:00:00+00:00
173,France,FR,New Caledonia,,,-20.9,165.62,18,0,17,1,2020-04-28 00:00:00+00:00
174,France,FR,St Martin,,,18.07,-63.05,38,3,24,11,2020-04-28 00:00:00+00:00
175,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-04-28 00:00:00+00:00
176,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-05-04 00:00:00+00:00
177,France,FR,New Caledonia,,,-20.9,165.62,18,0,17,1,2020-05-04 00:00:00+00:00
178,France,FR,Mayotte,,,-12.83,45.17,650,6,235,409,2020-05-04 00:00:00+00:00
179,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,6,0,2020-05-04 00:00:00+00:00
180,France,FR,Guadeloupe,,,16.25,-61.58,152,12,95,45,2020-05-04 00:00:00+00:00
181,France,FR,Reunion,,,-21.14,55.25,423,0,300,123,2020-05-04 00:00:00+00:00
182,France,FR,French Guiana,,,3.93,-53.13,128,1,98,29,2020-05-04 00:00:00+00:00
183,France,FR,,,,46.23,2.21,167272,24864,49973,92435,2020-05-04 00:00:00+00:00
184,France,FR,French Polynesia,,,-17.68,149.41,58,0,51,7,2020-05-04 00:00:00+00:00
185,France,FR,Martinique,,,14.64,-61.02,179,14,83,82,2020-05-04 00:00:00+00:00
186,France,FR,St Martin,,,18.07,-63.05,38,3,27,8,2020-05-04 00:00:00+00:00
187,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,6,0,2020-05-05 00:00:00+00:00
188,France,FR,Martinique,,,14.64,-61.02,181,14,83,84,2020-05-05 00:00:00+00:00
189,France,FR,Guadeloupe,,,16.25,-61.58,152,12,98,42,2020-05-05 00:00:00+00:00
190,France,FR,Reunion,,,-21.14,55.25,424,0,300,124,2020-05-05 00:00:00+00:00
191,France,FR,New Caledonia,,,-20.9,165.62,18,0,17,1,2020-05-05 00:00:00+00:00
192,France,FR,French Guiana,,,3.93,-53.13,133,1,100,32,2020-05-05 00:00:00+00:00
193,France,FR,,,,46.23,2.21,167886,25168,50438,92280,2020-05-05 00:00:00+00:00
194,France,FR,St Martin,,,18.07,-63.05,38,3,29,6,2020-05-05 00:00:00+00:00
195,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-05-05 00:00:00+00:00
196,France,FR,French Polynesia,,,-17.68,149.41,58,0,51,7,2020-05-05 00:00:00+00:00
197,France,FR,Mayotte,,,-12.83,45.17,686,6,352,328,2020-05-05 00:00:00+00:00
198,France,FR,Saint Pierre and Miquelon,,,46.89,-56.32,1,0,0,1,2020-05-06 00:00:00+00:00
199,France,FR,St Martin,,,18.07,-63.05,38,3,29,6,2020-05-06 00:00:00+00:00
200,France,FR,Martinique,,,14.64,-61.02,181,14,83,84,2020-05-06 00:00:00+00:00
201,France,FR,Reunion,,,-21.14,55.25,424,0,300,124,2020-05-06 00:00:00+00:00
202,France,FR,Mayotte,,,-12.83,45.17,739,9,352,378,2020-05-06 00:00:00+00:00
203,France,FR,Guadeloupe,,,16.25,-61.58,152,12,98,42,2020-05-06 00:00:00+00:00
204,France,FR,French Guiana,,,3.93,-53.13,133,1,100,32,2020-05-06 00:00:00+00:00
205,France,FR,Saint Barthelemy,,,17.9,-62.83,6,0,6,0,2020-05-06 00:00:00+00:00
206,France,FR,New Caledonia,,,-20.9,165.62,18,0,17,1,2020-05-06 00:00:00+00:00
207,France,FR,,,,46.23,2.21,168935,25498,51803,91634,2020-05-06 00:00:00+00:00
208,France,FR,French Polynesia,,,-17.68,149.41,60,0,54,6,2020-05-06 00:00:00+00:00
