,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Germany,DE,,,,51.17,10.45,1,0,0,1,2020-01-27 00:00:00+00:00
1,Germany,DE,,,,51.17,10.45,4,0,0,4,2020-01-28 00:00:00+00:00
2,Germany,DE,,,,51.17,10.45,4,0,0,4,2020-01-29 00:00:00+00:00
3,Germany,DE,,,,51.17,10.45,4,0,0,4,2020-01-30 00:00:00+00:00
4,Germany,DE,,,,51.17,10.45,5,0,0,5,2020-01-31 00:00:00+00:00
5,Germany,DE,,,,51.17,10.45,8,0,0,8,2020-02-01 00:00:00+00:00
6,Germany,DE,,,,51.17,10.45,10,0,0,10,2020-02-02 00:00:00+00:00
7,Germany,DE,,,,51.17,10.45,12,0,0,12,2020-02-03 00:00:00+00:00
8,Germany,DE,,,,51.17,10.45,12,0,0,12,2020-02-04 00:00:00+00:00
9,Germany,DE,,,,51.17,10.45,12,0,0,12,2020-02-05 00:00:00+00:00
10,Germany,DE,,,,51.17,10.45,12,0,0,12,2020-02-06 00:00:00+00:00
11,Germany,DE,,,,51.17,10.45,13,0,0,13,2020-02-07 00:00:00+00:00
12,Germany,DE,,,,51.17,10.45,13,0,0,13,2020-02-08 00:00:00+00:00
13,Germany,DE,,,,51.17,10.45,14,0,0,14,2020-02-09 00:00:00+00:00
14,Germany,DE,,,,51.17,10.45,14,0,0,14,2020-02-10 00:00:00+00:00
15,Germany,DE,,,,51.17,10.45,16,0,0,16,2020-02-11 00:00:00+00:00
16,Germany,DE,,,,51.17,10.45,16,0,0,16,2020-02-12 00:00:00+00:00
17,Germany,DE,,,,51.17,10.45,16,0,1,15,2020-02-13 00:00:00+00:00
18,Germany,DE,,,,51.17,10.45,16,0,1,15,2020-02-14 00:00:00+00:00
19,Germany,DE,,,,51.17,10.45,16,0,1,15,2020-02-15 00:00:00+00:00
20,Germany,DE,,,,51.17,10.45,16,0,1,15,2020-02-16 00:00:00+00:00
21,Germany,DE,,,,51.17,10.45,16,0,1,15,2020-02-17 00:00:00+00:00
22,Germany,DE,,,,51.17,10.45,16,0,12,4,2020-02-18 00:00:00+00:00
23,Germany,DE,,,,51.17,10.45,16,0,12,4,2020-02-19 00:00:00+00:00
24,Germany,DE,,,,51.17,10.45,16,0,12,4,2020-02-20 00:00:00+00:00
25,Germany,DE,,,,51.17,10.45,16,0,14,2,2020-02-21 00:00:00+00:00
26,Germany,DE,,,,51.17,10.45,16,0,14,2,2020-02-22 00:00:00+00:00
27,Germany,DE,,,,51.17,10.45,16,0,14,2,2020-02-23 00:00:00+00:00
28,Germany,DE,,,,51.17,10.45,16,0,14,2,2020-02-24 00:00:00+00:00
29,Germany,DE,,,,51.17,10.45,17,0,14,3,2020-02-25 00:00:00+00:00
30,Germany,DE,,,,51.17,10.45,27,0,15,12,2020-02-26 00:00:00+00:00
31,Germany,DE,,,,51.17,10.45,46,0,16,30,2020-02-27 00:00:00+00:00
32,Germany,DE,,,,51.17,10.45,48,0,16,32,2020-02-28 00:00:00+00:00
33,Germany,DE,,,,51.17,10.45,79,0,16,63,2020-02-29 00:00:00+00:00
34,Germany,DE,,,,51.17,10.45,130,0,16,114,2020-03-01 00:00:00+00:00
35,Germany,DE,,,,51.17,10.45,159,0,16,143,2020-03-02 00:00:00+00:00
36,Germany,DE,,,,51.17,10.45,196,0,16,180,2020-03-03 00:00:00+00:00
37,Germany,DE,,,,51.17,10.45,262,0,16,246,2020-03-04 00:00:00+00:00
38,Germany,DE,,,,51.17,10.45,482,0,16,466,2020-03-05 00:00:00+00:00
39,Germany,DE,,,,51.17,10.45,670,0,17,653,2020-03-06 00:00:00+00:00
40,Germany,DE,,,,51.17,10.45,799,0,18,781,2020-03-07 00:00:00+00:00
