,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Haiti,HT,,,,18.97,-72.29,33,3,0,30,2020-04-13 00:00:00+00:00
1,Haiti,HT,,,,18.97,-72.29,40,3,0,37,2020-04-14 00:00:00+00:00
2,Haiti,HT,,,,18.97,-72.29,40,3,0,37,2020-04-15 00:00:00+00:00
3,Haiti,HT,,,,18.97,-72.29,41,3,0,38,2020-04-16 00:00:00+00:00
4,Haiti,HT,,,,18.97,-72.29,41,3,0,38,2020-04-17 00:00:00+00:00
5,Haiti,HT,,,,18.97,-72.29,43,3,0,40,2020-04-18 00:00:00+00:00
6,Haiti,HT,,,,18.97,-72.29,44,3,0,41,2020-04-19 00:00:00+00:00
7,Haiti,HT,,,,18.97,-72.29,47,3,0,44,2020-04-20 00:00:00+00:00
8,Haiti,HT,,,,18.97,-72.29,57,3,0,54,2020-04-21 00:00:00+00:00
9,Haiti,HT,,,,18.97,-72.29,57,3,0,54,2020-04-22 00:00:00+00:00
10,Haiti,HT,,,,18.97,-72.29,62,4,2,56,2020-04-23 00:00:00+00:00
11,Haiti,HT,,,,18.97,-72.29,72,5,2,65,2020-04-24 00:00:00+00:00
12,Haiti,HT,,,,18.97,-72.29,72,6,6,60,2020-04-25 00:00:00+00:00
13,Haiti,HT,,,,18.97,-72.29,72,6,6,60,2020-04-26 00:00:00+00:00
14,Haiti,HT,,,,18.97,-72.29,74,6,7,61,2020-04-27 00:00:00+00:00
15,Haiti,HT,,,,18.97,-72.29,74,6,7,61,2020-04-28 00:00:00+00:00
16,Haiti,HT,,,,18.97,-72.29,88,9,10,69,2020-05-04 00:00:00+00:00
17,Haiti,HT,,,,18.97,-72.29,100,11,10,79,2020-05-05 00:00:00+00:00
18,Haiti,HT,,,,18.97,-72.29,101,12,10,79,2020-05-06 00:00:00+00:00
