,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Honduras,HN,,,,15.2,-86.24,2,0,0,2,2020-03-11 00:00:00+00:00
1,Honduras,HN,,,,15.2,-86.24,2,0,0,2,2020-03-12 00:00:00+00:00
2,Honduras,HN,,,,15.2,-86.24,2,0,0,2,2020-03-13 00:00:00+00:00
3,Honduras,HN,,,,15.2,-86.24,2,0,0,2,2020-03-14 00:00:00+00:00
4,Honduras,HN,,,,15.2,-86.24,3,0,0,3,2020-03-15 00:00:00+00:00
5,Honduras,HN,,,,15.2,-86.24,6,0,0,6,2020-03-16 00:00:00+00:00
6,Honduras,HN,,,,15.2,-86.24,8,0,0,8,2020-03-17 00:00:00+00:00
7,Honduras,HN,,,,15.2,-86.24,9,0,0,9,2020-03-18 00:00:00+00:00
8,Honduras,HN,,,,15.2,-86.24,12,0,0,12,2020-03-19 00:00:00+00:00
9,Honduras,HN,,,,15.2,-86.24,24,0,0,24,2020-03-20 00:00:00+00:00
10,Honduras,HN,,,,15.2,-86.24,24,0,0,24,2020-03-21 00:00:00+00:00
11,Honduras,HN,,,,15.2,-86.24,26,0,0,26,2020-03-22 00:00:00+00:00
12,Honduras,HN,,,,15.2,-86.24,30,0,0,30,2020-03-23 00:00:00+00:00
13,Honduras,HN,,,,15.2,-86.24,30,0,0,30,2020-03-24 00:00:00+00:00
14,Honduras,HN,,,,15.2,-86.24,36,0,0,36,2020-03-25 00:00:00+00:00
15,Honduras,HN,,,,15.2,-86.24,52,1,0,51,2020-03-26 00:00:00+00:00
16,Honduras,HN,,,,15.2,-86.24,68,1,0,67,2020-03-27 00:00:00+00:00
17,Honduras,HN,,,,15.2,-86.24,95,1,3,91,2020-03-28 00:00:00+00:00
18,Honduras,HN,,,,15.2,-86.24,110,3,3,104,2020-03-29 00:00:00+00:00
19,Honduras,HN,,,,15.2,-86.24,139,7,3,129,2020-03-30 00:00:00+00:00
20,Honduras,HN,,,,15.2,-86.24,141,7,3,131,2020-03-31 00:00:00+00:00
21,Honduras,HN,,,,15.2,-86.24,172,10,3,159,2020-04-01 00:00:00+00:00
22,Honduras,HN,,,,15.2,-86.24,219,14,3,202,2020-04-02 00:00:00+00:00
23,Honduras,HN,,,,15.2,-86.24,222,15,3,204,2020-04-03 00:00:00+00:00
24,Honduras,HN,,,,15.2,-86.24,264,15,3,246,2020-04-04 00:00:00+00:00
25,Honduras,HN,,,,15.2,-86.24,268,22,6,240,2020-04-05 00:00:00+00:00
26,Honduras,HN,,,,15.2,-86.24,298,22,6,270,2020-04-06 00:00:00+00:00
27,Honduras,HN,,,,15.2,-86.24,305,22,6,277,2020-04-07 00:00:00+00:00
28,Honduras,HN,,,,15.2,-86.24,312,22,6,284,2020-04-08 00:00:00+00:00
29,Honduras,HN,,,,15.2,-86.24,343,23,6,314,2020-04-09 00:00:00+00:00
30,Honduras,HN,,,,15.2,-86.24,382,23,7,352,2020-04-10 00:00:00+00:00
31,Honduras,HN,,,,15.2,-86.24,392,24,7,361,2020-04-11 00:00:00+00:00
32,Honduras,HN,,,,15.2,-86.24,393,25,7,361,2020-04-12 00:00:00+00:00
33,Honduras,HN,,,,15.2,-86.24,397,25,7,365,2020-04-13 00:00:00+00:00
34,Honduras,HN,,,,15.2,-86.24,407,26,7,374,2020-04-14 00:00:00+00:00
35,Honduras,HN,,,,15.2,-86.24,419,31,9,379,2020-04-15 00:00:00+00:00
36,Honduras,HN,,,,15.2,-86.24,426,35,9,382,2020-04-16 00:00:00+00:00
37,Honduras,HN,,,,15.2,-86.24,442,41,10,391,2020-04-17 00:00:00+00:00
38,Honduras,HN,,,,15.2,-86.24,457,46,10,401,2020-04-18 00:00:00+00:00
39,Honduras,HN,,,,15.2,-86.24,472,46,15,411,2020-04-19 00:00:00+00:00
40,Honduras,HN,,,,15.2,-86.24,477,46,25,406,2020-04-20 00:00:00+00:00
