,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,"Iran, Islamic Republic of",IR,,,,32.43,53.69,71686,4474,43894,23318,2020-04-13 00:00:00+00:00
1,"Iran, Islamic Republic of",IR,,,,32.43,53.69,73303,4585,45983,22735,2020-04-14 00:00:00+00:00
2,"Iran, Islamic Republic of",IR,,,,32.43,53.69,74877,4683,48129,22065,2020-04-15 00:00:00+00:00
3,"Iran, Islamic Republic of",IR,,,,32.43,53.69,76389,4777,49933,21679,2020-04-16 00:00:00+00:00
4,"Iran, Islamic Republic of",IR,,,,32.43,53.69,77995,4869,52229,20897,2020-04-17 00:00:00+00:00
5,"Iran, Islamic Republic of",IR,,,,32.43,53.69,79494,4958,54064,20472,2020-04-18 00:00:00+00:00
6,"Iran, Islamic Republic of",IR,,,,32.43,53.69,80868,5031,55987,19850,2020-04-19 00:00:00+00:00
7,"Iran, Islamic Republic of",IR,,,,32.43,53.69,82211,5118,57023,20070,2020-04-20 00:00:00+00:00
8,"Iran, Islamic Republic of",IR,,,,32.43,53.69,83505,5209,59273,19023,2020-04-21 00:00:00+00:00
9,"Iran, Islamic Republic of",IR,,,,32.43,53.69,84802,5297,60965,18540,2020-04-22 00:00:00+00:00
10,"Iran, Islamic Republic of",IR,,,,32.43,53.69,85996,5391,63113,17492,2020-04-23 00:00:00+00:00
11,"Iran, Islamic Republic of",IR,,,,32.43,53.69,87026,5481,64843,16702,2020-04-24 00:00:00+00:00
12,"Iran, Islamic Republic of",IR,,,,32.43,53.69,88194,5574,66599,16021,2020-04-25 00:00:00+00:00
13,"Iran, Islamic Republic of",IR,,,,32.43,53.69,89328,5650,68193,15485,2020-04-26 00:00:00+00:00
14,"Iran, Islamic Republic of",IR,,,,32.43,53.69,90481,5710,69657,15114,2020-04-27 00:00:00+00:00
15,"Iran, Islamic Republic of",IR,,,,32.43,53.69,91472,5806,70933,14733,2020-04-28 00:00:00+00:00
16,"Iran, Islamic Republic of",IR,,,,32.43,53.69,97424,6203,78422,12799,2020-05-04 00:00:00+00:00
17,"Iran, Islamic Republic of",IR,,,,32.43,53.69,98647,6277,79379,12991,2020-05-05 00:00:00+00:00
18,"Iran, Islamic Republic of",IR,,,,32.43,53.69,99970,6340,80475,13155,2020-05-06 00:00:00+00:00
