,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Ireland,IE,,,,53.41,-8.24,9655,334,25,9296,2020-04-13 00:00:00+00:00
1,Ireland,IE,,,,53.41,-8.24,10647,365,25,10257,2020-04-14 00:00:00+00:00
2,Ireland,IE,,,,53.41,-8.24,11479,406,25,11048,2020-04-15 00:00:00+00:00
3,Ireland,IE,,,,53.41,-8.24,12547,444,77,12026,2020-04-16 00:00:00+00:00
4,Ireland,IE,,,,53.41,-8.24,13271,486,77,12708,2020-04-17 00:00:00+00:00
5,Ireland,IE,,,,53.41,-8.24,13980,530,77,13373,2020-04-18 00:00:00+00:00
6,Ireland,IE,,,,53.41,-8.24,14758,571,77,14110,2020-04-19 00:00:00+00:00
7,Ireland,IE,,,,53.41,-8.24,15251,610,77,14564,2020-04-20 00:00:00+00:00
8,Ireland,IE,,,,53.41,-8.24,15652,687,77,14888,2020-04-21 00:00:00+00:00
9,Ireland,IE,,,,53.41,-8.24,16040,730,9233,6077,2020-04-22 00:00:00+00:00
10,Ireland,IE,,,,53.41,-8.24,16671,769,9233,6669,2020-04-23 00:00:00+00:00
11,Ireland,IE,,,,53.41,-8.24,17607,794,9233,7580,2020-04-24 00:00:00+00:00
12,Ireland,IE,,,,53.41,-8.24,18184,1014,9233,7937,2020-04-25 00:00:00+00:00
13,Ireland,IE,,,,53.41,-8.24,18561,1063,9233,8265,2020-04-26 00:00:00+00:00
14,Ireland,IE,,,,53.41,-8.24,19262,1087,9233,8942,2020-04-27 00:00:00+00:00
15,Ireland,IE,,,,53.41,-8.24,19648,1102,9233,9313,2020-04-28 00:00:00+00:00
16,Ireland,IE,,,,53.41,-8.24,21506,1303,13386,6817,2020-05-04 00:00:00+00:00
17,Ireland,IE,,,,53.41,-8.24,21772,1319,13386,7067,2020-05-05 00:00:00+00:00
18,Ireland,IE,,,,53.41,-8.24,21983,1339,13386,7258,2020-05-06 00:00:00+00:00
