,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Israel,IL,,,,31.05,34.85,11145,103,1627,9415,2020-04-13 00:00:00+00:00
1,Israel,IL,,,,31.05,34.85,11586,116,1855,9615,2020-04-14 00:00:00+00:00
2,Israel,IL,,,,31.05,34.85,12046,123,2195,9728,2020-04-15 00:00:00+00:00
3,Israel,IL,,,,31.05,34.85,12591,140,2624,9827,2020-04-16 00:00:00+00:00
4,Israel,IL,,,,31.05,34.85,12758,142,2818,9798,2020-04-17 00:00:00+00:00
5,Israel,IL,,,,31.05,34.85,12982,151,3126,9705,2020-04-18 00:00:00+00:00
6,Israel,IL,,,,31.05,34.85,13265,164,3456,9645,2020-04-19 00:00:00+00:00
7,Israel,IL,,,,31.05,34.85,13491,172,3754,9565,2020-04-20 00:00:00+00:00
8,Israel,IL,,,,31.05,34.85,13713,177,4049,9487,2020-04-21 00:00:00+00:00
9,Israel,IL,,,,31.05,34.85,13942,184,4507,9251,2020-04-22 00:00:00+00:00
10,Israel,IL,,,,31.05,34.85,14498,189,5215,9094,2020-04-23 00:00:00+00:00
11,Israel,IL,,,,31.05,34.85,14803,192,5611,9000,2020-04-24 00:00:00+00:00
12,Israel,IL,,,,31.05,34.85,15058,194,6003,8861,2020-04-25 00:00:00+00:00
13,Israel,IL,,,,31.05,34.85,15298,199,6435,8664,2020-04-26 00:00:00+00:00
14,Israel,IL,,,,31.05,34.85,15443,201,6731,8511,2020-04-27 00:00:00+00:00
15,Israel,IL,,,,31.05,34.85,15555,204,7200,8151,2020-04-28 00:00:00+00:00
16,Israel,IL,,,,31.05,34.85,16208,232,9749,6227,2020-05-04 00:00:00+00:00
17,Israel,IL,,,,31.05,34.85,16246,235,10064,5947,2020-05-05 00:00:00+00:00
18,Israel,IL,,,,31.05,34.85,16289,238,10465,5586,2020-05-06 00:00:00+00:00
