,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Italy,IT,,,,41.87,12.57,156363,19899,34211,102253,2020-04-13 00:00:00+00:00
1,Italy,IT,,,,41.87,12.57,159516,20465,35435,103616,2020-04-14 00:00:00+00:00
2,Italy,IT,,,,41.87,12.57,162488,21067,37130,104291,2020-04-15 00:00:00+00:00
3,Italy,IT,,,,41.87,12.57,165155,21645,38092,105418,2020-04-16 00:00:00+00:00
4,Italy,IT,,,,41.87,12.57,168941,22170,40164,106607,2020-04-17 00:00:00+00:00
5,Italy,IT,,,,41.87,12.57,172434,22745,42727,106962,2020-04-18 00:00:00+00:00
6,Italy,IT,,,,41.87,12.57,175925,23227,44927,107771,2020-04-19 00:00:00+00:00
7,Italy,IT,,,,41.87,12.57,178972,23660,47055,108257,2020-04-20 00:00:00+00:00
8,Italy,IT,,,,41.87,12.57,181228,24114,48877,108237,2020-04-21 00:00:00+00:00
9,Italy,IT,,,,41.87,12.57,183957,24648,51600,107709,2020-04-22 00:00:00+00:00
10,Italy,IT,,,,41.87,12.57,187327,25085,54543,107699,2020-04-23 00:00:00+00:00
11,Italy,IT,,,,41.87,12.57,189973,25549,57576,106848,2020-04-24 00:00:00+00:00
12,Italy,IT,,,,41.87,12.57,192994,25969,60498,106527,2020-04-25 00:00:00+00:00
13,Italy,IT,,,,41.87,12.57,195351,26384,63120,105847,2020-04-26 00:00:00+00:00
14,Italy,IT,,,,41.87,12.57,197675,26644,64928,106103,2020-04-27 00:00:00+00:00
15,Italy,IT,,,,41.87,12.57,199414,26977,66624,105813,2020-04-28 00:00:00+00:00
16,Italy,IT,,,,41.87,12.57,210717,28884,81654,100179,2020-05-04 00:00:00+00:00
17,Italy,IT,,,,41.87,12.57,211938,29079,82879,99980,2020-05-05 00:00:00+00:00
18,Italy,IT,,,,41.87,12.57,213013,29315,85231,98467,2020-05-06 00:00:00+00:00
