,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Kuwait,KW,,,,29.31,47.48,1,0,0,1,2020-02-24 00:00:00+00:00
1,Kuwait,KW,,,,29.31,47.48,11,0,0,11,2020-02-25 00:00:00+00:00
2,Kuwait,KW,,,,29.31,47.48,26,0,0,26,2020-02-26 00:00:00+00:00
3,Kuwait,KW,,,,29.31,47.48,43,0,0,43,2020-02-27 00:00:00+00:00
4,Kuwait,KW,,,,29.31,47.48,45,0,0,45,2020-02-28 00:00:00+00:00
5,Kuwait,KW,,,,29.31,47.48,45,0,0,45,2020-02-29 00:00:00+00:00
6,Kuwait,KW,,,,29.31,47.48,45,0,0,45,2020-03-01 00:00:00+00:00
7,Kuwait,KW,,,,29.31,47.48,56,0,0,56,2020-03-02 00:00:00+00:00
8,Kuwait,KW,,,,29.31,47.48,56,0,0,56,2020-03-03 00:00:00+00:00
9,Kuwait,KW,,,,29.31,47.48,56,0,0,56,2020-03-04 00:00:00+00:00
10,Kuwait,KW,,,,29.31,47.48,58,0,0,58,2020-03-05 00:00:00+00:00
11,Kuwait,KW,,,,29.31,47.48,58,0,0,58,2020-03-06 00:00:00+00:00
12,Kuwait,KW,,,,29.31,47.48,61,0,0,61,2020-03-07 00:00:00+00:00
13,Kuwait,KW,,,,29.31,47.48,64,0,1,63,2020-03-08 00:00:00+00:00
14,Kuwait,KW,,,,29.31,47.48,64,0,1,63,2020-03-09 00:00:00+00:00
15,Kuwait,KW,,,,29.31,47.48,69,0,1,68,2020-03-10 00:00:00+00:00
16,Kuwait,KW,,,,29.31,47.48,72,0,2,70,2020-03-11 00:00:00+00:00
17,Kuwait,KW,,,,29.31,47.48,80,0,5,75,2020-03-12 00:00:00+00:00
18,Kuwait,KW,,,,29.31,47.48,80,0,5,75,2020-03-13 00:00:00+00:00
19,Kuwait,KW,,,,29.31,47.48,104,0,5,99,2020-03-14 00:00:00+00:00
20,Kuwait,KW,,,,29.31,47.48,112,0,5,107,2020-03-15 00:00:00+00:00
21,Kuwait,KW,,,,29.31,47.48,123,0,9,114,2020-03-16 00:00:00+00:00
22,Kuwait,KW,,,,29.31,47.48,130,0,9,121,2020-03-17 00:00:00+00:00
23,Kuwait,KW,,,,29.31,47.48,142,0,15,127,2020-03-18 00:00:00+00:00
24,Kuwait,KW,,,,29.31,47.48,148,0,18,130,2020-03-19 00:00:00+00:00
25,Kuwait,KW,,,,29.31,47.48,159,0,18,141,2020-03-20 00:00:00+00:00
26,Kuwait,KW,,,,29.31,47.48,176,0,27,149,2020-03-21 00:00:00+00:00
27,Kuwait,KW,,,,29.31,47.48,188,0,27,161,2020-03-22 00:00:00+00:00
28,Kuwait,KW,,,,29.31,47.48,189,0,27,162,2020-03-23 00:00:00+00:00
29,Kuwait,KW,,,,29.31,47.48,191,0,39,152,2020-03-24 00:00:00+00:00
30,Kuwait,KW,,,,29.31,47.48,195,0,43,152,2020-03-25 00:00:00+00:00
31,Kuwait,KW,,,,29.31,47.48,208,0,49,159,2020-03-26 00:00:00+00:00
32,Kuwait,KW,,,,29.31,47.48,225,0,57,168,2020-03-27 00:00:00+00:00
33,Kuwait,KW,,,,29.31,47.48,235,0,64,171,2020-03-28 00:00:00+00:00
34,Kuwait,KW,,,,29.31,47.48,255,0,67,188,2020-03-29 00:00:00+00:00
35,Kuwait,KW,,,,29.31,47.48,266,0,72,194,2020-03-30 00:00:00+00:00
36,Kuwait,KW,,,,29.31,47.48,289,0,73,216,2020-03-31 00:00:00+00:00
37,Kuwait,KW,,,,29.31,47.48,317,0,80,237,2020-04-01 00:00:00+00:00
38,Kuwait,KW,,,,29.31,47.48,342,0,81,261,2020-04-02 00:00:00+00:00
39,Kuwait,KW,,,,29.31,47.48,417,0,82,335,2020-04-03 00:00:00+00:00
40,Kuwait,KW,,,,29.31,47.48,479,1,93,385,2020-04-04 00:00:00+00:00
41,Kuwait,KW,,,,29.31,47.48,556,1,99,456,2020-04-05 00:00:00+00:00
42,Kuwait,KW,,,,29.31,47.48,665,1,103,561,2020-04-06 00:00:00+00:00
43,Kuwait,KW,,,,29.31,47.48,743,1,105,637,2020-04-07 00:00:00+00:00
44,Kuwait,KW,,,,29.31,47.48,855,1,111,743,2020-04-08 00:00:00+00:00
45,Kuwait,KW,,,,29.31,47.48,910,1,111,798,2020-04-09 00:00:00+00:00
46,Kuwait,KW,,,,29.31,47.48,993,1,123,869,2020-04-10 00:00:00+00:00
47,Kuwait,KW,,,,29.31,47.48,1154,1,133,1020,2020-04-11 00:00:00+00:00
48,Kuwait,KW,,,,29.31,47.48,1234,1,142,1091,2020-04-12 00:00:00+00:00
49,Kuwait,KW,,,,29.31,47.48,1300,2,150,1148,2020-04-13 00:00:00+00:00
50,Kuwait,KW,,,,29.31,47.48,1355,3,176,1176,2020-04-14 00:00:00+00:00
51,Kuwait,KW,,,,29.31,47.48,1405,3,206,1196,2020-04-15 00:00:00+00:00
52,Kuwait,KW,,,,29.31,47.48,1524,3,225,1296,2020-04-16 00:00:00+00:00
53,Kuwait,KW,,,,29.31,47.48,1658,5,258,1395,2020-04-17 00:00:00+00:00
54,Kuwait,KW,,,,29.31,47.48,1751,6,280,1465,2020-04-18 00:00:00+00:00
55,Kuwait,KW,,,,29.31,47.48,1915,7,305,1603,2020-04-19 00:00:00+00:00
56,Kuwait,KW,,,,29.31,47.48,1995,9,367,1619,2020-04-20 00:00:00+00:00
57,Kuwait,KW,,,,29.31,47.48,2080,11,412,1657,2020-04-21 00:00:00+00:00
58,Kuwait,KW,,,,29.31,47.48,2248,13,443,1792,2020-04-22 00:00:00+00:00
59,Kuwait,KW,,,,29.31,47.48,2399,14,498,1887,2020-04-23 00:00:00+00:00
60,Kuwait,KW,,,,29.31,47.48,2614,15,613,1986,2020-04-24 00:00:00+00:00
61,Kuwait,KW,,,,29.31,47.48,2892,19,656,2217,2020-04-25 00:00:00+00:00
62,Kuwait,KW,,,,29.31,47.48,3075,20,806,2249,2020-04-26 00:00:00+00:00
63,Kuwait,KW,,,,29.31,47.48,3288,22,1012,2254,2020-04-27 00:00:00+00:00
64,Kuwait,KW,,,,29.31,47.48,3440,23,1176,2241,2020-04-28 00:00:00+00:00
65,Kuwait,KW,,,,29.31,47.48,3740,24,1389,2327,2020-04-29 00:00:00+00:00
66,Kuwait,KW,,,,29.31,47.48,4024,26,1539,2459,2020-04-30 00:00:00+00:00
67,Kuwait,KW,,,,29.31,47.48,4377,30,1602,2745,2020-05-01 00:00:00+00:00
68,Kuwait,KW,,,,29.31,47.48,4619,33,1703,2883,2020-05-02 00:00:00+00:00
69,Kuwait,KW,,,,29.31,47.48,4983,38,1776,3169,2020-05-03 00:00:00+00:00
70,Kuwait,KW,,,,29.31,47.48,5278,40,1947,3291,2020-05-04 00:00:00+00:00
71,Kuwait,KW,,,,29.31,47.48,5804,40,2032,3732,2020-05-05 00:00:00+00:00
72,Kuwait,KW,,,,29.31,47.48,6289,42,2219,4028,2020-05-06 00:00:00+00:00
73,Kuwait,KW,,,,29.31,47.48,6567,44,2381,4142,2020-05-07 00:00:00+00:00
74,Kuwait,KW,,,,29.31,47.48,7208,47,2466,4695,2020-05-08 00:00:00+00:00
75,Kuwait,KW,,,,29.31,47.48,7623,49,2622,4952,2020-05-09 00:00:00+00:00
76,Kuwait,KW,,,,29.31,47.48,8688,58,2729,5901,2020-05-10 00:00:00+00:00
77,Kuwait,KW,,,,29.31,47.48,9286,65,2907,6314,2020-05-11 00:00:00+00:00
78,Kuwait,KW,,,,29.31,47.48,10277,75,3101,7101,2020-05-12 00:00:00+00:00
79,Kuwait,KW,,,,29.31,47.48,11028,82,3263,7683,2020-05-13 00:00:00+00:00
80,Kuwait,KW,,,,29.31,47.48,11975,88,3451,8436,2020-05-14 00:00:00+00:00
81,Kuwait,KW,,,,29.31,47.48,12860,96,3640,9124,2020-05-15 00:00:00+00:00
82,Kuwait,KW,,,,29.31,47.48,13802,107,3843,9852,2020-05-16 00:00:00+00:00
83,Kuwait,KW,,,,29.31,47.48,14850,112,4093,10645,2020-05-17 00:00:00+00:00
84,Kuwait,KW,,,,29.31,47.48,15691,118,4339,11234,2020-05-18 00:00:00+00:00
85,Kuwait,KW,,,,29.31,47.48,16764,121,4681,11962,2020-05-19 00:00:00+00:00
86,Kuwait,KW,,,,29.31,47.48,17568,124,4885,12559,2020-05-20 00:00:00+00:00
87,Kuwait,KW,,,,29.31,47.48,18609,129,5205,13275,2020-05-21 00:00:00+00:00
88,Kuwait,KW,,,,29.31,47.48,19564,138,5515,13911,2020-05-22 00:00:00+00:00
89,Kuwait,KW,,,,29.31,47.48,20464,148,5747,14569,2020-05-23 00:00:00+00:00
90,Kuwait,KW,,,,29.31,47.48,21302,156,6117,15029,2020-05-24 00:00:00+00:00
91,Kuwait,KW,,,,29.31,47.48,21967,165,6621,15181,2020-05-25 00:00:00+00:00
92,Kuwait,KW,,,,29.31,47.48,22575,172,7306,15097,2020-05-26 00:00:00+00:00
93,Kuwait,KW,,,,29.31,47.48,23267,175,7946,15146,2020-05-27 00:00:00+00:00
94,Kuwait,KW,,,,29.31,47.48,24112,185,8698,15229,2020-05-28 00:00:00+00:00
95,Kuwait,KW,,,,29.31,47.48,25184,194,9273,15717,2020-05-29 00:00:00+00:00
96,Kuwait,KW,,,,29.31,47.48,26192,205,10156,15831,2020-05-30 00:00:00+00:00
97,Kuwait,KW,,,,29.31,47.48,27043,212,11386,15445,2020-05-31 00:00:00+00:00
98,Kuwait,KW,,,,29.31,47.48,27762,220,12899,14643,2020-06-01 00:00:00+00:00
99,Kuwait,KW,,,,29.31,47.48,28649,226,14281,14142,2020-06-02 00:00:00+00:00
100,Kuwait,KW,,,,29.31,47.48,29359,230,15750,13379,2020-06-03 00:00:00+00:00
101,Kuwait,KW,,,,29.31,47.48,29921,236,17223,12462,2020-06-04 00:00:00+00:00
102,Kuwait,KW,,,,29.31,47.48,30644,244,18277,12123,2020-06-05 00:00:00+00:00
103,Kuwait,KW,,,,29.31,47.48,31131,254,19282,11595,2020-06-06 00:00:00+00:00
104,Kuwait,KW,,,,29.31,47.48,31848,264,20205,11379,2020-06-07 00:00:00+00:00
105,Kuwait,KW,,,,29.31,47.48,32510,269,21242,10999,2020-06-08 00:00:00+00:00
106,Kuwait,KW,,,,29.31,47.48,33140,273,22162,10705,2020-06-09 00:00:00+00:00
107,Kuwait,KW,,,,29.31,47.48,33823,275,23288,10260,2020-06-10 00:00:00+00:00
108,Kuwait,KW,,,,29.31,47.48,34432,279,24137,10016,2020-06-11 00:00:00+00:00
109,Kuwait,KW,,,,29.31,47.48,34952,285,25048,9619,2020-06-12 00:00:00+00:00
110,Kuwait,KW,,,,29.31,47.48,35466,289,25882,9295,2020-06-13 00:00:00+00:00
111,Kuwait,KW,,,,29.31,47.48,35920,296,26759,8865,2020-06-14 00:00:00+00:00
112,Kuwait,KW,,,,29.31,47.48,36431,298,27531,8602,2020-06-15 00:00:00+00:00
113,Kuwait,KW,,,,29.31,47.48,36958,303,28206,8449,2020-06-16 00:00:00+00:00
114,Kuwait,KW,,,,29.31,47.48,37533,306,28896,8331,2020-06-17 00:00:00+00:00
115,Kuwait,KW,,,,29.31,47.48,38074,308,29512,8254,2020-06-18 00:00:00+00:00
116,Kuwait,KW,,,,29.31,47.48,38678,313,30190,8175,2020-06-19 00:00:00+00:00
117,Kuwait,KW,,,,29.31,47.48,39145,319,30726,8100,2020-06-20 00:00:00+00:00
118,Kuwait,KW,,,,29.31,47.48,39650,326,31240,8084,2020-06-21 00:00:00+00:00
119,Kuwait,KW,,,,29.31,47.48,40291,330,31770,8191,2020-06-22 00:00:00+00:00
120,Kuwait,KW,,,,29.31,47.48,41033,334,32304,8395,2020-06-23 00:00:00+00:00
