,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Luxembourg,LU,,,,49.82,6.13,3281,66,500,2715,2020-04-13 00:00:00+00:00
1,Luxembourg,LU,,,,49.82,6.13,3292,69,500,2723,2020-04-14 00:00:00+00:00
2,Luxembourg,LU,,,,49.82,6.13,3307,67,500,2740,2020-04-15 00:00:00+00:00
3,Luxembourg,LU,,,,49.82,6.13,3373,69,526,2778,2020-04-16 00:00:00+00:00
4,Luxembourg,LU,,,,49.82,6.13,3444,69,552,2823,2020-04-17 00:00:00+00:00
5,Luxembourg,LU,,,,49.82,6.13,3480,72,579,2829,2020-04-18 00:00:00+00:00
6,Luxembourg,LU,,,,49.82,6.13,3537,72,601,2864,2020-04-19 00:00:00+00:00
7,Luxembourg,LU,,,,49.82,6.13,3550,73,627,2850,2020-04-20 00:00:00+00:00
8,Luxembourg,LU,,,,49.82,6.13,3558,75,637,2846,2020-04-21 00:00:00+00:00
9,Luxembourg,LU,,,,49.82,6.13,3618,78,670,2870,2020-04-22 00:00:00+00:00
10,Luxembourg,LU,,,,49.82,6.13,3654,80,711,2863,2020-04-23 00:00:00+00:00
11,Luxembourg,LU,,,,49.82,6.13,3665,83,728,2854,2020-04-24 00:00:00+00:00
12,Luxembourg,LU,,,,49.82,6.13,3695,85,3007,603,2020-04-25 00:00:00+00:00
13,Luxembourg,LU,,,,49.82,6.13,3711,85,3088,538,2020-04-26 00:00:00+00:00
14,Luxembourg,LU,,,,49.82,6.13,3723,88,3104,531,2020-04-27 00:00:00+00:00
15,Luxembourg,LU,,,,49.82,6.13,3729,88,3123,518,2020-04-28 00:00:00+00:00
16,Luxembourg,LU,,,,49.82,6.13,3824,96,3379,349,2020-05-04 00:00:00+00:00
17,Luxembourg,LU,,,,49.82,6.13,3828,96,3405,327,2020-05-05 00:00:00+00:00
18,Luxembourg,LU,,,,49.82,6.13,3840,96,3412,332,2020-05-06 00:00:00+00:00
