,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Mexico,MX,,,,23.63,-102.55,4661,296,1843,2522,2020-04-13 00:00:00+00:00
1,Mexico,MX,,,,23.63,-102.55,4661,296,1843,2522,2020-04-14 00:00:00+00:00
2,Mexico,MX,,,,23.63,-102.55,5014,332,1964,2718,2020-04-15 00:00:00+00:00
3,Mexico,MX,,,,23.63,-102.55,5847,449,2125,3273,2020-04-16 00:00:00+00:00
4,Mexico,MX,,,,23.63,-102.55,5847,449,2125,3273,2020-04-17 00:00:00+00:00
5,Mexico,MX,,,,23.63,-102.55,6875,546,2125,4204,2020-04-18 00:00:00+00:00
6,Mexico,MX,,,,23.63,-102.55,7497,650,2125,4722,2020-04-19 00:00:00+00:00
7,Mexico,MX,,,,23.63,-102.55,7497,650,2627,4220,2020-04-20 00:00:00+00:00
8,Mexico,MX,,,,23.63,-102.55,8261,686,2627,4948,2020-04-21 00:00:00+00:00
9,Mexico,MX,,,,23.63,-102.55,8772,712,2627,5433,2020-04-22 00:00:00+00:00
10,Mexico,MX,,,,23.63,-102.55,9501,857,2627,6017,2020-04-23 00:00:00+00:00
11,Mexico,MX,,,,23.63,-102.55,10544,970,2627,6947,2020-04-24 00:00:00+00:00
12,Mexico,MX,,,,23.63,-102.55,12872,1221,7149,4502,2020-04-25 00:00:00+00:00
13,Mexico,MX,,,,23.63,-102.55,12872,1221,7149,4502,2020-04-26 00:00:00+00:00
14,Mexico,MX,,,,23.63,-102.55,14677,1351,8354,4972,2020-04-27 00:00:00+00:00
15,Mexico,MX,,,,23.63,-102.55,14677,1351,8354,4972,2020-04-28 00:00:00+00:00
16,Mexico,MX,,,,23.63,-102.55,23471,2154,13447,7870,2020-05-04 00:00:00+00:00
17,Mexico,MX,,,,23.63,-102.55,23471,2154,13447,7870,2020-05-05 00:00:00+00:00
18,Mexico,MX,,,,23.63,-102.55,26025,2507,16810,6708,2020-05-06 00:00:00+00:00
