,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Netherlands,NL,"Bonaire, Sint Eustatius and Saba",,,12.18,-68.24,3,0,0,3,2020-04-13 00:00:00+00:00
1,Netherlands,NL,,,,52.13,5.29,25587,2737,250,22600,2020-04-13 00:00:00+00:00
2,Netherlands,NL,Aruba,,,12.52,-70.04,92,0,32,60,2020-04-13 00:00:00+00:00
3,Netherlands,NL,Curacao,,,12.17,-68.99,14,1,8,5,2020-04-13 00:00:00+00:00
4,Netherlands,NL,Sint Maarten,,,18.04,-63.05,50,9,5,36,2020-04-13 00:00:00+00:00
5,Netherlands,NL,,,,52.13,5.29,26551,2823,250,23478,2020-04-14 00:00:00+00:00
6,Netherlands,NL,Sint Maarten,,,18.04,-63.05,50,9,5,36,2020-04-14 00:00:00+00:00
7,Netherlands,NL,Curacao,,,12.17,-68.99,14,1,8,5,2020-04-14 00:00:00+00:00
8,Netherlands,NL,"Bonaire, Sint Eustatius and Saba",,,12.18,-68.24,3,0,0,3,2020-04-14 00:00:00+00:00
9,Netherlands,NL,Aruba,,,12.52,-70.04,92,0,32,60,2020-04-14 00:00:00+00:00
10,Netherlands,NL,Aruba,,,12.52,-70.04,92,0,32,60,2020-04-15 00:00:00+00:00
11,Netherlands,NL,Curacao,,,12.17,-68.99,14,1,10,3,2020-04-15 00:00:00+00:00
12,Netherlands,NL,,,,52.13,5.29,27419,2945,250,24224,2020-04-15 00:00:00+00:00
13,Netherlands,NL,Sint Maarten,,,18.04,-63.05,52,9,5,38,2020-04-15 00:00:00+00:00
14,Netherlands,NL,"Bonaire, Sint Eustatius and Saba",,,12.18,-68.24,3,0,0,3,2020-04-15 00:00:00+00:00
15,Netherlands,NL,"Bonaire, Sint Eustatius and Saba",,,12.18,-68.24,3,0,0,3,2020-04-16 00:00:00+00:00
16,Netherlands,NL,Aruba,,,12.52,-70.04,93,1,39,53,2020-04-16 00:00:00+00:00
17,Netherlands,NL,,,,52.13,5.29,28153,3134,250,24769,2020-04-16 00:00:00+00:00
18,Netherlands,NL,Curacao,,,12.17,-68.99,14,1,10,3,2020-04-16 00:00:00+00:00
19,Netherlands,NL,Sint Maarten,,,18.04,-63.05,53,9,5,39,2020-04-16 00:00:00+00:00
20,Netherlands,NL,,,,52.13,5.29,29214,3315,250,25649,2020-04-17 00:00:00+00:00
21,Netherlands,NL,"Bonaire, Sint Eustatius and Saba",,,12.18,-68.24,3,0,0,3,2020-04-17 00:00:00+00:00
22,Netherlands,NL,Aruba,,,12.52,-70.04,95,2,39,54,2020-04-17 00:00:00+00:00
23,Netherlands,NL,Sint Maarten,,,18.04,-63.05,57,9,12,36,2020-04-17 00:00:00+00:00
24,Netherlands,NL,Curacao,,,12.17,-68.99,14,1,10,3,2020-04-17 00:00:00+00:00
25,Netherlands,NL,Curacao,,,12.17,-68.99,14,1,10,3,2020-04-18 00:00:00+00:00
26,Netherlands,NL,Aruba,,,12.52,-70.04,96,2,43,51,2020-04-18 00:00:00+00:00
27,Netherlands,NL,,,,52.13,5.29,30449,3459,250,26740,2020-04-18 00:00:00+00:00
