,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Oman,OM,,,,21.51,55.92,2,0,0,2,2020-02-24 00:00:00+00:00
1,Oman,OM,,,,21.51,55.92,2,0,0,2,2020-02-25 00:00:00+00:00
2,Oman,OM,,,,21.51,55.92,4,0,0,4,2020-02-26 00:00:00+00:00
3,Oman,OM,,,,21.51,55.92,4,0,0,4,2020-02-27 00:00:00+00:00
4,Oman,OM,,,,21.51,55.92,4,0,0,4,2020-02-28 00:00:00+00:00
5,Oman,OM,,,,21.51,55.92,6,0,1,5,2020-02-29 00:00:00+00:00
6,Oman,OM,,,,21.51,55.92,6,0,1,5,2020-03-01 00:00:00+00:00
7,Oman,OM,,,,21.51,55.92,6,0,1,5,2020-03-02 00:00:00+00:00
8,Oman,OM,,,,21.51,55.92,12,0,2,10,2020-03-03 00:00:00+00:00
9,Oman,OM,,,,21.51,55.92,15,0,2,13,2020-03-04 00:00:00+00:00
10,Oman,OM,,,,21.51,55.92,16,0,2,14,2020-03-05 00:00:00+00:00
11,Oman,OM,,,,21.51,55.92,16,0,2,14,2020-03-06 00:00:00+00:00
12,Oman,OM,,,,21.51,55.92,16,0,2,14,2020-03-07 00:00:00+00:00
13,Oman,OM,,,,21.51,55.92,16,0,2,14,2020-03-08 00:00:00+00:00
14,Oman,OM,,,,21.51,55.92,16,0,2,14,2020-03-09 00:00:00+00:00
15,Oman,OM,,,,21.51,55.92,18,0,9,9,2020-03-10 00:00:00+00:00
16,Oman,OM,,,,21.51,55.92,18,0,9,9,2020-03-11 00:00:00+00:00
17,Oman,OM,,,,21.51,55.92,18,0,9,9,2020-03-12 00:00:00+00:00
18,Oman,OM,,,,21.51,55.92,19,0,9,10,2020-03-13 00:00:00+00:00
19,Oman,OM,,,,21.51,55.92,19,0,9,10,2020-03-14 00:00:00+00:00
20,Oman,OM,,,,21.51,55.92,22,0,9,13,2020-03-15 00:00:00+00:00
21,Oman,OM,,,,21.51,55.92,22,0,9,13,2020-03-16 00:00:00+00:00
22,Oman,OM,,,,21.51,55.92,24,0,9,15,2020-03-17 00:00:00+00:00
23,Oman,OM,,,,21.51,55.92,39,0,12,27,2020-03-18 00:00:00+00:00
24,Oman,OM,,,,21.51,55.92,48,0,12,36,2020-03-19 00:00:00+00:00
25,Oman,OM,,,,21.51,55.92,48,0,12,36,2020-03-20 00:00:00+00:00
26,Oman,OM,,,,21.51,55.92,52,0,12,40,2020-03-21 00:00:00+00:00
27,Oman,OM,,,,21.51,55.92,55,0,17,38,2020-03-22 00:00:00+00:00
28,Oman,OM,,,,21.51,55.92,66,0,17,49,2020-03-23 00:00:00+00:00
29,Oman,OM,,,,21.51,55.92,84,0,17,67,2020-03-24 00:00:00+00:00
30,Oman,OM,,,,21.51,55.92,99,0,17,82,2020-03-25 00:00:00+00:00
31,Oman,OM,,,,21.51,55.92,109,0,23,86,2020-03-26 00:00:00+00:00
32,Oman,OM,,,,21.51,55.92,131,0,23,108,2020-03-27 00:00:00+00:00
33,Oman,OM,,,,21.51,55.92,152,0,23,129,2020-03-28 00:00:00+00:00
34,Oman,OM,,,,21.51,55.92,167,0,23,144,2020-03-29 00:00:00+00:00
35,Oman,OM,,,,21.51,55.92,179,0,29,150,2020-03-30 00:00:00+00:00
36,Oman,OM,,,,21.51,55.92,192,1,34,157,2020-03-31 00:00:00+00:00
37,Oman,OM,,,,21.51,55.92,210,1,34,175,2020-04-01 00:00:00+00:00
38,Oman,OM,,,,21.51,55.92,231,1,57,173,2020-04-02 00:00:00+00:00
39,Oman,OM,,,,21.51,55.92,252,1,57,194,2020-04-03 00:00:00+00:00
40,Oman,OM,,,,21.51,55.92,277,2,61,214,2020-04-04 00:00:00+00:00
41,Oman,OM,,,,21.51,55.92,298,2,61,235,2020-04-05 00:00:00+00:00
42,Oman,OM,,,,21.51,55.92,331,2,61,268,2020-04-06 00:00:00+00:00
43,Oman,OM,,,,21.51,55.92,371,2,67,302,2020-04-07 00:00:00+00:00
44,Oman,OM,,,,21.51,55.92,419,2,72,345,2020-04-08 00:00:00+00:00
45,Oman,OM,,,,21.51,55.92,457,3,109,345,2020-04-09 00:00:00+00:00
46,Oman,OM,,,,21.51,55.92,484,3,109,372,2020-04-10 00:00:00+00:00
47,Oman,OM,,,,21.51,55.92,546,3,109,434,2020-04-11 00:00:00+00:00
48,Oman,OM,,,,21.51,55.92,599,4,109,486,2020-04-12 00:00:00+00:00
49,Oman,OM,,,,21.51,55.92,727,4,124,599,2020-04-13 00:00:00+00:00
50,Oman,OM,,,,21.51,55.92,813,4,130,679,2020-04-14 00:00:00+00:00
51,Oman,OM,,,,21.51,55.92,910,4,131,775,2020-04-15 00:00:00+00:00
52,Oman,OM,,,,21.51,55.92,1019,4,176,839,2020-04-16 00:00:00+00:00
53,Oman,OM,,,,21.51,55.92,1069,6,176,887,2020-04-17 00:00:00+00:00
54,Oman,OM,,,,21.51,55.92,1180,6,176,998,2020-04-18 00:00:00+00:00
