,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Panama,PA,,,,8.54,-80.78,1,0,0,1,2020-03-10 00:00:00+00:00
1,Panama,PA,,,,8.54,-80.78,8,1,0,7,2020-03-11 00:00:00+00:00
2,Panama,PA,,,,8.54,-80.78,11,1,0,10,2020-03-12 00:00:00+00:00
3,Panama,PA,,,,8.54,-80.78,27,1,0,26,2020-03-13 00:00:00+00:00
4,Panama,PA,,,,8.54,-80.78,36,1,0,35,2020-03-14 00:00:00+00:00
5,Panama,PA,,,,8.54,-80.78,43,1,0,42,2020-03-15 00:00:00+00:00
6,Panama,PA,,,,8.54,-80.78,55,1,0,54,2020-03-16 00:00:00+00:00
7,Panama,PA,,,,8.54,-80.78,69,1,0,68,2020-03-17 00:00:00+00:00
8,Panama,PA,,,,8.54,-80.78,86,1,0,85,2020-03-18 00:00:00+00:00
9,Panama,PA,,,,8.54,-80.78,109,1,0,108,2020-03-19 00:00:00+00:00
10,Panama,PA,,,,8.54,-80.78,137,1,0,136,2020-03-20 00:00:00+00:00
11,Panama,PA,,,,8.54,-80.78,200,1,0,199,2020-03-21 00:00:00+00:00
12,Panama,PA,,,,8.54,-80.78,313,3,0,310,2020-03-22 00:00:00+00:00
13,Panama,PA,,,,8.54,-80.78,345,6,0,339,2020-03-23 00:00:00+00:00
14,Panama,PA,,,,8.54,-80.78,345,6,1,338,2020-03-24 00:00:00+00:00
15,Panama,PA,,,,8.54,-80.78,443,8,1,434,2020-03-25 00:00:00+00:00
16,Panama,PA,,,,8.54,-80.78,558,8,2,548,2020-03-26 00:00:00+00:00
17,Panama,PA,,,,8.54,-80.78,674,9,2,663,2020-03-27 00:00:00+00:00
18,Panama,PA,,,,8.54,-80.78,786,14,2,770,2020-03-28 00:00:00+00:00
19,Panama,PA,,,,8.54,-80.78,901,17,4,880,2020-03-29 00:00:00+00:00
20,Panama,PA,,,,8.54,-80.78,989,24,4,961,2020-03-30 00:00:00+00:00
21,Panama,PA,,,,8.54,-80.78,1181,30,9,1142,2020-03-31 00:00:00+00:00
22,Panama,PA,,,,8.54,-80.78,1181,30,9,1142,2020-04-01 00:00:00+00:00
23,Panama,PA,,,,8.54,-80.78,1317,32,9,1276,2020-04-02 00:00:00+00:00
24,Panama,PA,,,,8.54,-80.78,1475,37,10,1428,2020-04-03 00:00:00+00:00
25,Panama,PA,,,,8.54,-80.78,1673,41,13,1619,2020-04-04 00:00:00+00:00
26,Panama,PA,,,,8.54,-80.78,1801,46,13,1742,2020-04-05 00:00:00+00:00
27,Panama,PA,,,,8.54,-80.78,1988,54,13,1921,2020-04-06 00:00:00+00:00
28,Panama,PA,,,,8.54,-80.78,2100,55,14,2031,2020-04-07 00:00:00+00:00
29,Panama,PA,,,,8.54,-80.78,2249,59,16,2174,2020-04-08 00:00:00+00:00
30,Panama,PA,,,,8.54,-80.78,2528,63,16,2449,2020-04-09 00:00:00+00:00
31,Panama,PA,,,,8.54,-80.78,2752,66,16,2670,2020-04-10 00:00:00+00:00
32,Panama,PA,,,,8.54,-80.78,2974,74,17,2883,2020-04-11 00:00:00+00:00
33,Panama,PA,,,,8.54,-80.78,3234,79,23,3132,2020-04-12 00:00:00+00:00
34,Panama,PA,,,,8.54,-80.78,3400,87,29,3284,2020-04-13 00:00:00+00:00
35,Panama,PA,,,,8.54,-80.78,3472,94,61,3317,2020-04-14 00:00:00+00:00
36,Panama,PA,,,,8.54,-80.78,3574,95,72,3407,2020-04-15 00:00:00+00:00
37,Panama,PA,,,,8.54,-80.78,3751,103,75,3573,2020-04-16 00:00:00+00:00
38,Panama,PA,,,,8.54,-80.78,4016,109,98,3809,2020-04-17 00:00:00+00:00
39,Panama,PA,,,,8.54,-80.78,4210,116,122,3972,2020-04-18 00:00:00+00:00
40,Panama,PA,,,,8.54,-80.78,4273,120,140,4013,2020-04-19 00:00:00+00:00
41,Panama,PA,,,,8.54,-80.78,4467,126,165,4176,2020-04-20 00:00:00+00:00
42,Panama,PA,,,,8.54,-80.78,4658,136,204,4318,2020-04-21 00:00:00+00:00
43,Panama,PA,,,,8.54,-80.78,4821,141,231,4449,2020-04-22 00:00:00+00:00
44,Panama,PA,,,,8.54,-80.78,5166,146,271,4749,2020-04-23 00:00:00+00:00
45,Panama,PA,,,,8.54,-80.78,5338,154,319,4865,2020-04-24 00:00:00+00:00
46,Panama,PA,,,,8.54,-80.78,5538,159,338,5041,2020-04-25 00:00:00+00:00
47,Panama,PA,,,,8.54,-80.78,5779,165,338,5276,2020-04-26 00:00:00+00:00
48,Panama,PA,,,,8.54,-80.78,6021,167,455,5399,2020-04-27 00:00:00+00:00
49,Panama,PA,,,,8.54,-80.78,6021,167,455,5399,2020-04-28 00:00:00+00:00
50,Panama,PA,,,,8.54,-80.78,6378,178,527,5673,2020-04-29 00:00:00+00:00
51,Panama,PA,,,,8.54,-80.78,6532,188,576,5768,2020-04-30 00:00:00+00:00
52,Panama,PA,,,,8.54,-80.78,6720,192,622,5906,2020-05-01 00:00:00+00:00
53,Panama,PA,,,,8.54,-80.78,7090,197,641,6252,2020-05-02 00:00:00+00:00
54,Panama,PA,,,,8.54,-80.78,7090,197,641,6252,2020-05-03 00:00:00+00:00
55,Panama,PA,,,,8.54,-80.78,7197,200,641,6356,2020-05-04 00:00:00+00:00
