,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Peru,PE,,,,-9.19,-75.02,7519,193,1798,5528,2020-04-13 00:00:00+00:00
1,Peru,PE,,,,-9.19,-75.02,9784,216,2642,6926,2020-04-14 00:00:00+00:00
2,Peru,PE,,,,-9.19,-75.02,10303,230,2869,7204,2020-04-15 00:00:00+00:00
3,Peru,PE,,,,-9.19,-75.02,11475,254,3108,8113,2020-04-16 00:00:00+00:00
4,Peru,PE,,,,-9.19,-75.02,12491,274,6120,6097,2020-04-17 00:00:00+00:00
5,Peru,PE,,,,-9.19,-75.02,13489,300,6541,6648,2020-04-18 00:00:00+00:00
6,Peru,PE,,,,-9.19,-75.02,14420,348,6684,7388,2020-04-19 00:00:00+00:00
7,Peru,PE,,,,-9.19,-75.02,15628,400,6811,8417,2020-04-20 00:00:00+00:00
8,Peru,PE,,,,-9.19,-75.02,16325,445,6968,8912,2020-04-21 00:00:00+00:00
9,Peru,PE,,,,-9.19,-75.02,17837,484,6982,10371,2020-04-22 00:00:00+00:00
10,Peru,PE,,,,-9.19,-75.02,19250,530,7027,11693,2020-04-23 00:00:00+00:00
11,Peru,PE,,,,-9.19,-75.02,20914,572,7422,12920,2020-04-24 00:00:00+00:00
12,Peru,PE,,,,-9.19,-75.02,21648,634,7496,13518,2020-04-25 00:00:00+00:00
13,Peru,PE,,,,-9.19,-75.02,25331,700,7797,16834,2020-04-26 00:00:00+00:00
14,Peru,PE,,,,-9.19,-75.02,27517,728,8088,18701,2020-04-27 00:00:00+00:00
15,Peru,PE,,,,-9.19,-75.02,28699,782,8425,19492,2020-04-28 00:00:00+00:00
16,Peru,PE,,,,-9.19,-75.02,45928,1286,13550,31092,2020-05-04 00:00:00+00:00
17,Peru,PE,,,,-9.19,-75.02,47372,1344,14427,31601,2020-05-05 00:00:00+00:00
18,Peru,PE,,,,-9.19,-75.02,51189,1444,15413,34332,2020-05-06 00:00:00+00:00
